match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_wasFouled,stat_dispossessed,stat_unsuccessfulTouch,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_keyPass,stat_bigChanceCreated,stat_totalOffside,stat_savedShotsFromInsideTheBox
14025068,home,Brentford,Caoimhin Kelleher,,,caoimhin-kelleher,C. Kelleher,G,1,188.0,9953,M,caoimhinkelleher98,827362,EUR,911779200,G,1,1,False,26.0,15.0,25.0,14.0,0.0,3.0,3.0,12.0,23.0,1.0,7.0,1.0,2.0,1.0,90.0,32.0,7.3,11.0,0.00835364,4.2368686550329,1.0,-0.42,-0.42,0.0095,0,0.1324,0.25,-0.02,0.21,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025068,home,Brentford,Michael Kayode,,,michael-kayode,M. Kayode,D,33,179.0,2419,M,,1137431,EUR,1089417600,D,33,33,False,12.0,12.0,1.0,1.0,0.0,5.0,5.0,7.0,7.0,2.0,4.0,,,,85.0,33.0,8.0,6.0,0.0126458,,,,,,0,,0.07,0.15,0.79,,1.0,1.0,4.0,7.0,1.0,2.0,1.0,3.0,1.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
14025068,home,Brentford,Nathan Collins,,,nathan-collins,N. Collins,D,22,193.0,1556,M,,958916,EUR,988588800,D,22,22,False,18.0,14.0,3.0,2.0,0.0,11.0,11.0,3.0,7.0,11.0,5.0,,,,90.0,35.0,7.3,4.0,0.01221,,,,,,0,,0.06,0.23,0.53,,2.0,2.0,2.0,4.0,,,,,1.0,1.0,,1.0,True,1.0,,,,,,,,,,,,,,,,,,
14025068,home,Brentford,Sepp van den Berg,,,sepp-van-den-berg,S. van den Berg,D,4,192.0,2094,M,,924378,EUR,1008806400,D,4,4,False,15.0,10.0,2.0,1.0,0.0,7.0,7.0,3.0,8.0,9.0,2.0,,,,90.0,28.0,7.2,5.0,0.00073041,32.353554891918,5.0,2.625,3.255,,0,,-0.04,0.2,0.78,,4.0,4.0,5.0,4.0,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
14025068,home,Brentford,Keane Lewis-Potter,,,keane-lewis-potter,K. Lewis-Potter,D,23,170.0,1089,M,,972421,EUR,982800000,D,23,23,False,11.0,8.0,3.0,1.0,0.0,4.0,4.0,4.0,7.0,2.0,4.0,,,,90.0,32.0,7.0,11.0,0.00381946,59.820134621764,5.0,30.555,25.935,,0,,0.09,0.1,0.2,,2.0,,3.0,4.0,,1.0,1.0,,1.0,1.0,1.0,,,2.0,1.0,3.0,26.122951766598,1.0,,,,,,,,,,,,,,
14025068,home,Brentford,Jordan Henderson,,,jordan-henderson,J. Henderson,M,6,183.0,6378,M,jordanhenderson,42694,EUR,645580800,M,6,6,False,17.0,12.0,4.0,2.0,0.0,9.0,11.0,3.0,6.0,,4.0,,,,69.0,29.0,6.7,6.0,0.00352626,25.286643419152,3.0,-18.585,3.15,,1,,0.06,-0.04,0.17,,1.0,,3.0,3.0,1.0,,,1.0,2.0,2.0,,1.0,,1.0,,1.0,,,1.0,0.0327,-0.13,,,,,,,,,,,
14025068,home,Brentford,Yehor Yarmolyuk,,,yarmoliuk-yehor,Y. Yarmolyuk,M,18,180.0,2555,M,,1031258,EUR,1078099200,M,18,18,False,10.0,10.0,,,0.0,8.0,8.0,2.0,2.0,4.0,4.0,,,,79.0,31.0,7.2,2.0,0.0115968,,,,,,1,,0.07,0.0,0.36,,2.0,,4.0,6.0,,1.0,1.0,,2.0,5.0,3.0,1.0,,,1.0,1.0,,,,0.0277,-0.06,1.0,1.0,1.0,,,,,,,,
14025068,home,Brentford,Dango Ouattara,Dango Ouattara,,dango-ouattara,D. Ouattara,F,19,177.0,33926,M,d.ouattara15,1106451,EUR,1013385600,M,19,19,False,12.0,5.0,6.0,1.0,0.0,1.0,3.0,4.0,9.0,5.0,6.0,,,,84.0,35.0,7.6,13.0,0.0227105,,,,,,2,,-0.17,0.27,0.18,,1.0,3.0,8.0,10.0,1.0,4.0,2.0,,,4.0,2.0,4.0,,1.0,,3.0,,,,0.7698,0.4,1.0,,,1.0,2.0,1.0,1.3602,,,,
14025068,home,Brentford,Mikkel Damsgaard,,,damsgaard-mikkel,M. Damsgaard,M,24,180.0,3593,M,,907072,EUR,962582400,M,24,24,False,22.0,18.0,2.0,,0.0,9.0,9.0,9.0,13.0,2.0,7.0,,,,90.0,55.0,7.5,15.0,0.242808,,,,,,1,,0.47,0.33,0.22,,1.0,,6.0,6.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,,,1.0,2.0,2.0,,,,0.0605,-0.33,7.0,3.0,1.0,,,,,3.0,,,
14025068,home,Brentford,Kevin Schade,,,kevin-schade,K. Schade,M,7,183.0,3191,M,,1006387,EUR,1006819200,M,7,7,False,11.0,3.0,1.0,,0.0,,2.0,3.0,9.0,1.0,5.0,,,,79.0,26.0,6.9,11.0,0.0153383,,,,,,1,,-0.37,0.38,0.22,,2.0,3.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,,,1.0,0.0997,-0.24,2.0,1.0,,,,,,1.0,,,
