match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_totalClearance,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_totalCross,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_fouls,player_firstName,player_lastName,stat_wonContest,stat_unsuccessfulTouch,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goalAssist,stat_outfielderBlock
11407499,home,Inter,Yann Sommer,yann-sommer,Y. Sommer,G,1,183,12749,M,yannsommer,16206,EUR,598320000,G,1,1,False,43.0,40.0,6.0,3.0,40.0,42.0,1.0,9.0,2.0,5.0,90.0,55.0,8.0,3.0,0.00014569,0,0.7954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407499,home,Inter,Yann Bisseck,yann-bisseck,Y. Bisseck,D,31,194,5415,M,,906275,EUR,975456000,D,31,31,False,63.0,59.0,1.0,1.0,49.0,51.0,12.0,6.0,,,90.0,70.0,8.3,4.0,0.00333725,4,,10.0,3.0,3.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.2046,0.5319,,,,,,,,,,,,,,,,,,,,
11407499,home,Inter,Francesco Acerbi,francesco-acerbi,F. Acerbi,D,15,192,5573,M,,126816,EUR,571449600,D,15,15,False,61.0,54.0,3.0,2.0,40.0,43.0,18.0,5.0,,,90.0,69.0,7.5,7.0,0.278251,1,,14.0,1.0,3.0,1.0,5.0,,1.0,,,3.0,,0.164,0.0222,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,
11407499,home,Inter,Alessandro Bastoni,alessandro-bastoni,A. Bastoni,D,95,190,15274,M,alessandrobastoni,826188,EUR,923961600,D,95,95,False,70.0,68.0,6.0,5.0,38.0,39.0,35.0,5.0,,,90.0,89.0,7.2,12.0,0.0190764,0,,30.0,3.0,2.0,10.0,5.0,,,,,2.0,2.0,,,,2.0,,1.0,1.0,1.0,4.0,1.0,1.0,3.0,2.0,,,,,,,,,
11407499,home,Inter,Matteo Darmian,matteo-darmian,M. Darmian,M,36,182,3779,M,,19352,EUR,628560000,M,36,36,False,48.0,38.0,9.0,3.0,25.0,28.0,21.0,2.0,,,90.0,66.0,6.8,17.0,0.0542497,1,,13.0,,,4.0,3.0,,1.0,,,1.0,,0.0323,0.0131,,,,2.0,1.0,1.0,1.0,2.0,,2.0,1.0,,,1.0,3.0,,,,,
11407499,home,Inter,Nicolò Barella,nicolo-barella,N. Barella,M,23,175,21290,M,nicolo_barella,363856,EUR,855273600,M,23,23,False,68.0,62.0,5.0,3.0,22.0,24.0,45.0,2.0,,,89.0,85.0,7.6,13.0,0.577944,2,,41.0,,,12.0,4.0,,1.0,,1.0,,1.0,0.7282,0.961,,,,1.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,,,2.0,1.0,1.0,1.0,1.0,,
11407499,home,Inter,Hakan Çalhanoğlu,hakan-calhanoglu,H. Çalhanoğlu,M,20,178,32988,M,HÇalhanoğlu,135700,EUR,760665600,M,20,20,False,55.0,52.0,5.0,4.0,26.0,26.0,45.0,2.0,,,75.0,77.0,7.6,15.0,0.498333,1,,31.0,1.0,,2.0,2.0,,,,,,1.0,0.0351,,,,,1.0,1.0,4.0,16.0,,,,1.0,,,,1.0,5.0,,1.0,1.0,
11407499,home,Inter,Henrikh Mkhitaryan,henrikh-mkhitaryan,H. Mkhitaryan,M,22,178,8680,M,micki_taryan,37151,EUR,601344000,M,22,22,False,61.0,55.0,2.0,2.0,20.0,21.0,43.0,8.0,,,89.0,82.0,7.3,14.0,0.275121,3,,36.0,1.0,,6.0,4.0,2.0,,,,,,0.3517,,,,,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,,,2.0,3.0,1.0,,1.0,,
11407499,home,Inter,Carlos Augusto,carlos-augusto,C. Augusto,D,30,184,7355,M,,929199,EUR,915667200,M,30,30,False,39.0,33.0,,,15.0,19.0,24.0,2.0,,,84.0,54.0,7.0,13.0,0.516209,1,,19.0,1.0,3.0,5.0,3.0,1.0,,,,1.0,,0.0384,,,,,,,2.0,4.0,1.0,1.0,2.0,,,,,,1.0,1.0,,,1.0
11407499,home,Inter,Marcus Thuram,marcus-thuram,M. Thuram,F,9,192,25521,M,m_thuram,791702,EUR,870825600,F,9,9,False,23.0,18.0,,,9.0,12.0,12.0,1.0,,,84.0,38.0,6.6,11.0,0.267628,2,,10.0,1.0,4.0,4.0,7.0,2.0,,,,,2.0,0.6846,,1.0,,,1.0,1.0,,1.0,,1.0,2.0,,,,,3.0,1.0,,,,
11407499,home,Inter,Marko Arnautović,marko-arnautovic,M. Arnautović,F,89,192,8675,M,m.arnautovic7,21927,EUR,608947200,F,8,8,False,20.0,18.0,,,4.0,5.0,15.0,2.0,,,90.0,33.0,7.6,3.0,0.45995,3,,14.0,1.0,,2.0,5.0,2.0,1.0,,,,4.0,0.5196,0.1909,1.0,1.0,,1.0,,2.0,,1.0,,,,,,,1.0,,1.0,,1.0,
11407499,home,Inter,Kristjan Asllani,kristjan-asllani,K. Asllani,M,23,179,5914,M,KristjanAsllani,996820,EUR,1015632000,M,21,21,True,22.0,21.0,1.0,,13.0,13.0,15.0,,,,15.0,31.0,7.1,7.0,0.133521,1,,9.0,,,1.0,1.0,,1.0,,,,,0.0224,0.0943,,,,1.0,,1.0,6.0,,,1.0,,,,,,1.0,1.0,,,
