match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_keyPass,stat_outfielderBlock,stat_unsuccessfulTouch,captain,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_goalAssist,stat_dispossessed,stat_bigChanceCreated,stat_wonContest,stat_hitWoodwork,stat_goals,stat_savedShotsFromInsideTheBox,stat_saves,player_sofascoreId
10382192,home,FC Utrecht,Vasilis Barkas,,,vasilis-barkas,V. Barkas,G,1,196,390,M,347726,EUR,770256000,G,1,1,False,28.0,20.0,15.0,7.0,16.0,18.0,4.0,10.0,2.0,2.0,8.0,1.0,2.0,90.0,33.0,6.9,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382192,home,FC Utrecht,Hidde ter Avest,,,hidde-ter-avest,H. t. Avest,D,24,182,95,M,361788,EUR,864086400,D,5,5,False,54.0,46.0,1.0,,20.0,24.0,26.0,35.0,2.0,3.0,4.0,,,90.0,80.0,7.1,16.0,1,5.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10382192,home,FC Utrecht,Mike van der Hoorn,,,mike-van-der-hoorn,M. v. d. Hoorn,D,3,190,158,M,152414,EUR,719107200,D,33,33,False,68.0,62.0,11.0,7.0,40.0,42.0,22.0,26.0,5.0,6.0,6.0,1.0,,90.0,75.0,7.5,6.0,2,,4.0,4.0,,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10382192,home,FC Utrecht,Modibo Sagnan,,,modibo-sagnan,M. Sagnan,D,27,187,577,M,904759,EUR,924048000,D,27,27,False,65.0,55.0,9.0,4.0,42.0,43.0,13.0,22.0,3.0,4.0,8.0,,,90.0,77.0,7.2,12.0,1,,6.0,6.0,,5.0,1.0,1.0,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,
10382192,home,FC Utrecht,Nick Viergever,,,nick-viergever,N. Viergever,D,24,182,150,M,46900,EUR,618105600,D,24,24,False,56.0,43.0,8.0,2.0,28.0,34.0,16.0,23.0,3.0,8.0,7.0,1.0,,90.0,85.0,7.3,23.0,0,1.0,1.0,4.0,,,4.0,3.0,1.0,,,,1.0,,1.0,True,1.0,1.0,1.0,3.0,,,,,,,,,
10382192,home,FC Utrecht,Can Bozdoğan,,,can-bozdogan,C. Bozdoğan,M,8,175,306,M,934249,EUR,986428800,M,6,6,False,62.0,57.0,7.0,3.0,23.0,25.0,37.0,45.0,,2.0,10.0,1.0,,90.0,83.0,7.8,14.0,1,8.0,,5.0,1.0,1.0,1.0,,3.0,1.0,,,3.0,,3.0,,3.0,1.0,,2.0,1.0,1.0,1.0,,,,,,
10382192,home,FC Utrecht,Jens Toornstra,,,jens-toornstra,J. Toornstra,M,18,178,203,M,99960,EUR,607651200,M,18,18,False,61.0,44.0,10.0,4.0,21.0,27.0,23.0,34.0,,3.0,10.0,,,90.0,79.0,7.1,21.0,2,,1.0,3.0,1.0,1.0,2.0,2.0,,,,1.0,1.0,,3.0,,,1.0,2.0,4.0,,,,1.0,,,,,
10382192,home,FC Utrecht,Taylor Booth,,,taylor-booth,T. Booth,M,8,173,530,M,906024,EUR,991267200,M,10,10,False,43.0,38.0,1.0,1.0,8.0,9.0,31.0,36.0,,4.0,1.0,3.0,,79.0,69.0,6.3,17.0,3,2.0,,6.0,1.0,,,,1.0,,1.0,1.0,,,6.0,,1.0,1.0,4.0,,,2.0,,1.0,,,,,
10382192,home,FC Utrecht,Sander van de Streek,,,sander-van-de-streek,S. v. d. Streek,M,22,180,185,M,220155,EUR,732931200,M,22,22,False,34.0,24.0,4.0,1.0,12.0,14.0,13.0,21.0,8.0,11.0,5.0,3.0,,79.0,48.0,7.3,12.0,2,1.0,1.0,3.0,2.0,1.0,,,,,,,3.0,1.0,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,
10382192,home,FC Utrecht,Othman Boussaid,,,othman-boussaid,O. Boussaid,M,49,166,244,M,877032,EUR,952387200,M,26,26,False,37.0,32.0,4.0,1.0,13.0,13.0,20.0,25.0,,1.0,5.0,1.0,,61.0,45.0,6.7,8.0,0,1.0,,2.0,,,,,,,,,1.0,,,,1.0,,1.0,2.0,,1.0,,,,,,,
