match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_aerialLost,stat_aerialWon,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_wonTackle,stat_outfielderBlock,stat_accurateCross,stat_keyPass,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_totalOffside,stat_goodHighClaim
10665965,home,Damac FC,Moustapha Zeghba,moustapha-zeghba,M. Zeghba,G,1,190.0,852,M,888378,EUR,659145600.0,G,30,30,False,50.0,43.0,16.0,9.0,41.0,41.0,2.0,9.0,1.0,1.0,19.0,1.0,1.0,2.0,2.0,2.0,90.0,63.0,7.5,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,
10665965,home,Damac FC,Abdullah Al-Hawsawi,abdullah-al-hawsawi,A. Al-Hawsawi,D,24,176.0,23,M,1127819,EUR,823132800.0,D,19,19,False,55.0,46.0,3.0,1.0,31.0,31.0,15.0,26.0,1.0,1.0,5.0,,,,,,90.0,72.0,6.4,16.0,0,Abdullah Al-Hawsawi,,2.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10665965,home,Damac FC,Farouk Chafaï,farouk-chafai,F. Chafaï,D,5,182.0,329,M,880083,EUR,646099200.0,D,15,15,False,76.0,61.0,9.0,5.0,40.0,47.0,21.0,29.0,8.0,3.0,1.0,,,,,,90.0,89.0,7.5,16.0,2,,,,3.0,,,1.0,2.0,,,True,3.0,5.0,1.0,2.0,1.0,1.0,,,,,,,
10665965,home,Damac FC,Hassan Alshammrani,hassan-alshammrani,H. Alshammrani,D,,184.0,3,M,923016,EUR,679536000.0,D,40,40,False,63.0,58.0,4.0,2.0,53.0,55.0,5.0,8.0,4.0,6.0,7.0,,,,,,90.0,78.0,7.1,9.0,2,,,,5.0,1.0,2.0,,,2.0,,,2.0,4.0,,2.0,1.0,,1.0,,,,,,
10665965,home,Damac FC,Abdullah Al-Amar,abdullah-al-amar,A. Al-Amar,D,,177.0,110,M,817911,EUR,762480000.0,D,13,13,False,40.0,37.0,2.0,1.0,26.0,26.0,12.0,19.0,2.0,3.0,5.0,,,,,,90.0,63.0,6.8,10.0,0,,,5.0,4.0,1.0,2.0,,1.0,,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,
10665965,home,Damac FC,Domagoj Antolić,domagoj-antolic,D. Antolić,M,8,180.0,103,M,67645,EUR,646704000.0,M,17,17,False,46.0,39.0,2.0,2.0,17.0,19.0,29.0,39.0,2.0,,2.0,,,,,,90.0,68.0,7.8,16.0,1,,,12.0,3.0,1.0,1.0,,,3.0,,,1.0,2.0,,1.0,,,,7.0,7.0,,,,
10665965,home,Damac FC,Adam Maher,adam-maher,A. Maher,M,,174.0,90,M,111719,EUR,743126400.0,M,6,6,False,63.0,56.0,6.0,4.0,38.0,39.0,19.0,27.0,3.0,2.0,11.0,,,,,,89.0,77.0,7.3,13.0,1,,,3.0,5.0,,2.0,,1.0,2.0,3.0,,,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,
10665965,home,Damac FC,Nono,nono,Nono,M,14,179.0,56,M,232434,EUR,733449600.0,M,10,10,False,39.0,36.0,1.0,1.0,16.0,17.0,20.0,22.0,4.0,,4.0,1.0,,,,,71.0,49.0,7.0,5.0,4,,,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,2.0,,,,,1.0,2.0,,,
10665965,home,Damac FC,El Arbi Hillel Soudani,el-arbi-hillel-soudani,E. A. Soudani,M,2,182.0,1269,M,173713,EUR,564796800.0,F,2,2,False,25.0,20.0,4.0,2.0,9.0,9.0,11.0,18.0,6.0,,4.0,2.0,,,,,89.0,48.0,6.6,17.0,1,,,2.0,8.0,1.0,,6.0,2.0,6.0,3.0,,1.0,,2.0,1.0,1.0,1.0,,,,,,,
10665965,home,Damac FC,Bruno Duarte,bruno-duarte,B. Duarte,F,17,182.0,1525,M,878830,EUR,827625600.0,F,9,9,False,21.0,18.0,1.0,1.0,4.0,5.0,14.0,16.0,3.0,3.0,4.0,,,,,,90.0,43.0,7.1,10.0,7,,,,5.0,,3.0,2.0,,2.0,,,,3.0,,5.0,,,,,2.0,1.0,1.0,1.0,
