match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_fouls,stat_keyPass,player_sofascoreId,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_dispossessed,stat_totalContest,captain,stat_challengeLost,stat_accurateCross,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_hitWoodwork,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,stat_goodHighClaim,stat_bigChanceMissed
12501595,home,Cagliari,Elia Caprile,,,elia-caprile,E. Caprile,G,1,191,1685,M,947954,EUR,998697600,G,25,25,False,35.0,14.0,27.0,7.0,0.0,11.0,13.0,3.0,22.0,10.0,1.0,1.0,1.0,1.0,90.0,40.0,6.4,21.0,0.00093473,0,-0.4666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501595,home,Cagliari,Gabriele Zappa,,,gabriele-zappa,G. Zappa,D,28,183,617,M,927304,EUR,945820800,D,28,28,False,33.0,24.0,5.0,1.0,0.0,12.0,16.0,12.0,20.0,2.0,,,,,90.0,53.0,6.5,13.0,0.119408,0,,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12501595,home,Cagliari,Yerry Mina,,,yerry-mina,Y. Mina,D,26,195,5988,M,360396,EUR,780278400,D,26,26,False,53.0,38.0,12.0,4.0,0.0,29.0,36.0,9.0,17.0,4.0,,,,,90.0,68.0,7.1,16.0,0.00320538,0,,,2.0,3.0,3.0,7.0,6.0,2.0,1.0,,yerrymina,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,
12501595,home,Cagliari,Sebastiano Luperto,,,sebastiano-luperto,S. Luperto,D,6,191,784,M,352736,EUR,841968000,D,6,6,False,37.0,29.0,5.0,,0.0,19.0,19.0,10.0,18.0,5.0,,,,,90.0,50.0,6.5,9.0,0.00414722,0,,,3.0,2.0,6.0,5.0,4.0,1.0,2.0,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,
12501595,home,Cagliari,Adam Obert,,,adam-obert,A. Obert,D,33,186,654,M,964153,EUR,1030060800,D,33,33,False,41.0,31.0,7.0,2.0,0.0,13.0,18.0,18.0,24.0,4.0,,,,,78.0,69.0,6.8,14.0,0.00598219,0,,1.0,2.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,,,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
12501595,home,Cagliari,Antoine Makoumbou,,,antoine-makoumbou,A. Makoumbou,M,29,186,535,M,920391,EUR,900720000,M,29,29,False,21.0,20.0,1.0,1.0,0.0,12.0,12.0,8.0,9.0,3.0,,,,,61.0,29.0,6.4,4.0,0.00372775,0,,,1.0,1.0,5.0,2.0,,,2.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12501595,home,Cagliari,Alessandro Deiola,,,alessandro-deiola,A. Deiola,M,14,189,280,M,328109,EUR,807235200,M,14,14,False,26.0,21.0,4.0,2.0,0.0,12.0,14.0,9.0,12.0,6.0,,,,,78.0,41.0,6.5,7.0,0.00524167,0,,,1.0,2.0,8.0,5.0,2.0,1.0,4.0,,,,1.0,,,3.0,2.0,,True,1.0,,,,,,,,,,,,,
12501595,home,Cagliari,Nadir Zortea,,,zortea-nadir,N. Zortea,M,20,187,1108,M,928104,EUR,929750400,M,19,19,False,10.0,4.0,3.0,,0.0,2.0,6.0,5.0,7.0,3.0,,,,,90.0,22.0,6.5,12.0,0.0522785,0,,3.0,1.0,1.0,3.0,1.0,,1.0,,3.0,,,,,4.0,,1.0,1.0,,,3.0,,,,,,,,,,,,
12501595,home,Cagliari,Nicolas Viola,,,nicolas-viola,N. Viola,F,10,180,280,M,21608,EUR,624153600,M,10,10,False,26.0,16.0,3.0,1.0,0.0,7.0,7.0,10.0,20.0,6.0,,,,,61.0,40.0,7.0,16.0,0.0112535,1,,1.0,2.0,2.0,6.0,6.0,,,1.0,,,,,,3.0,2.0,1.0,4.0,,,1.0,2.0,1.0,1.0,0.312,0.7565,,,,,,,
12501595,home,Cagliari,Florinel Coman,,,florinel-coman,F. Coman,M,7,182,5227,M,794254,EUR,892166400,M,9,9,False,9.0,8.0,,,0.0,2.0,2.0,6.0,7.0,1.0,,,,,31.0,12.0,6.8,2.0,0.00234473,1,,,,1.0,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,0.0302,,1.0,1.0,,,,,
