match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_shotOffTarget,stat_outfielderBlock,stat_penaltyConceded,stat_fouls,stat_expectedGoals,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_expectedGoalsOnTarget,stat_aerialLost,stat_interceptionWon,stat_wonTackle,stat_unsuccessfulTouch,stat_accurateCross,stat_keyPass,stat_goalAssist,stat_dispossessed,stat_totalContest,stat_wonContest,captain,stat_blockedScoringAttempt,stat_wasFouled,stat_bigChanceCreated,stat_totalOffside,stat_hitWoodwork,stat_bigChanceMissed
11067614,home,América Mineiro,Jory,,,jory,Jory,G,1,190,55,M,839762,EUR,826675200,G,12,12,False,26.0,12.0,21.0,7.0,8.0,9.0,4.0,17.0,2.0,1.0,2.0,1.0,2.0,11.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,90.0,41.0,6.6,14.0,0.00077123,0,0.2638,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067614,home,América Mineiro,Mateus Henrique,Mateus Henrique,,mateus-henrique,Mateus Henrique,D,75,178,168,M,1175493,EUR,1033516800,D,36,36,False,36.0,30.0,6.0,3.0,10.0,11.0,20.0,26.0,,1.0,,,2.0,3.0,,,,,,,,62.0,45.0,5.5,8.0,0.0428988,1,,1.0,1.0,1.0,1.0,2.0,0.0323,,,,,,,,,,,,,,,,,,,,,
11067614,home,América Mineiro,Ricardo Silva,,,ricardo-silva,R. Silva,D,45,190,76,M,599700,EUR,713664000,D,45,45,False,15.0,15.0,1.0,1.0,14.0,14.0,1.0,1.0,2.0,,3.0,,,1.0,,,,,,,,37.0,19.0,7.4,,0.00047691,1,,,,1.0,,,0.3224,1.0,1.0,1.0,0.7759,,,,,,,,,,,,,,,,,
11067614,home,América Mineiro,Júlio César,Júlio César,,julio-cesar,Júlio César,D,18,186,62,M,1185832,EUR,1064793600,D,18,18,False,33.0,28.0,6.0,4.0,21.0,24.0,7.0,9.0,6.0,4.0,7.0,,4.0,3.0,,,,,,,,90.0,46.0,7.1,6.0,0.00152789,0,,,,4.0,,2.0,,,,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
11067614,home,América Mineiro,Marlon Lopes,,,marlon-lopes,Marlon,D,6,177,100,M,870933,EUR,761097600,D,6,6,False,34.0,26.0,6.0,1.0,16.0,20.0,11.0,18.0,2.0,1.0,4.0,,4.0,1.0,,,,,,,,90.0,68.0,6.6,13.0,0.0148548,0,,4.0,,1.0,,1.0,,,,2.0,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,
11067614,home,América Mineiro,Lucas Kal,,,lucas-kal,Lucas Kal,M,21,186,179,M,840118,EUR,826934400,M,21,21,False,33.0,30.0,3.0,1.0,16.0,16.0,14.0,19.0,,3.0,,,5.0,1.0,,,,,,,,90.0,44.0,6.7,6.0,0.0181181,1,,2.0,1.0,,,1.0,0.0135,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,
11067614,home,América Mineiro,Everaldo,,,everaldo,Everaldo,M,,172,208,M,923951,EUR,770083200,M,37,37,False,20.0,18.0,2.0,2.0,8.0,9.0,10.0,13.0,,5.0,2.0,,,3.0,,,,,,,,74.0,32.0,6.3,10.0,0.0158499,0,,2.0,,,,,0.0321,,,1.0,,,,1.0,1.0,,,,2.0,4.0,1.0,,,,,,,
11067614,home,América Mineiro,Juninho,,,juninho,Juninho,M,28,173,218,M,330691,EUR,561945600,M,8,8,False,21.0,15.0,2.0,,7.0,10.0,8.0,11.0,2.0,1.0,5.0,,1.0,5.0,,,,,,,,74.0,32.0,6.6,6.0,0.0287915,2,,,1.0,,,,0.0859,,,1.0,,1.0,2.0,1.0,,,1.0,,,,,True,1.0,2.0,,,,
11067614,home,América Mineiro,Emmanuel Martínez,,,emmanuel-martinez,E. Martinez,M,6,177,616,M,794312,EUR,770688000,M,5,5,False,33.0,31.0,2.0,1.0,12.0,13.0,20.0,24.0,,1.0,3.0,,,4.0,,,,,,,,45.0,45.0,7.5,7.0,0.337972,0,,4.0,,,,,,,,2.0,,,,1.0,1.0,1.0,3.0,1.0,,2.0,1.0,,,,1.0,,,
11067614,home,América Mineiro,Rodriguinho,Rodriguinho,,rodriguinho,Rodriguinho,M,75,170,859,M,1174770,EUR,1054771200,M,75,75,False,41.0,31.0,3.0,1.0,16.0,22.0,16.0,21.0,2.0,4.0,6.0,1.0,4.0,6.0,,,,,,,,90.0,59.0,7.4,16.0,0.442078,1,,2.0,1.0,1.0,,,0.0289,,,1.0,,2.0,1.0,1.0,2.0,1.0,2.0,1.0,,3.0,2.0,,,1.0,1.0,,,
