match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_keyPass,stat_totalContest,stat_wonContest,stat_dispossessed,stat_bigChanceCreated,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_penaltyWon,stat_totalOffside,stat_goalAssist,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_outfielderBlock,stat_penaltyConceded
10437925,home,Vitória SC,Bruno Varela,bruno-varela,B. Varela,G,14,191,628,M,138895,EUR,783907200,G,14,14,False,True,17.0,9.0,9.0,1.0,8.0,9.0,1.0,8.0,9.0,90.0,22.0,6.0,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437925,home,Vitória SC,André Amaro,andre-amaro,A. Amaro,D,13,185,207,M,1095752,EUR,1029196800,D,13,13,False,,59.0,47.0,5.0,4.0,27.0,33.0,20.0,26.0,10.0,90.0,67.0,7.2,13.0,2,André Amaro,,3.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10437925,home,Vitória SC,Ibrahima Bamba,ibrahima-bamba,I. Bamba,D,22,184,312,M,1131044,EUR,1019433600,D,22,22,False,,47.0,40.0,9.0,4.0,23.0,25.0,17.0,22.0,9.0,68.0,52.0,6.3,8.0,1,Ibrahima Bamba,,,2.0,,,1.0,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
10437925,home,Vitória SC,Mikel Villanueva,mikel-villanueva,M. Villanueva,D,17,192,343,M,836279,EUR,734745600,D,3,3,False,,59.0,48.0,6.0,3.0,26.0,28.0,22.0,31.0,4.0,90.0,64.0,6.5,12.0,0,,,3.0,3.0,5.0,,,,,,1.0,1.0,,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,
10437925,home,Vitória SC,Zé Carlos,ze-carlos,Z. Carlos,M,6,172,109,M,1138915,EUR,1004400000,M,28,28,False,,39.0,35.0,1.0,1.0,16.0,17.0,20.0,29.0,4.0,77.0,66.0,6.9,10.0,0,Zé Carlos,,1.0,4.0,8.0,1.0,,,,,3.0,1.0,,,2.0,1.0,6.0,7.0,1.0,1.0,,,,,,,,,,,,,,,
10437925,home,Vitória SC,Tiago Silva,tiago-silva,T. Silva,M,77,170,351,M,252095,EUR,738979200,M,10,10,False,,54.0,45.0,5.0,4.0,20.0,21.0,25.0,38.0,1.0,68.0,66.0,7.2,14.0,1,,,1.0,5.0,5.0,,,1.0,1.0,,,2.0,1.0,,4.0,1.0,1.0,5.0,,,1.0,1.0,,,,,,,,,,,,,
10437925,home,Vitória SC,André André,andre-andre,A. André,M,11,174,123,M,59777,EUR,620092800,M,21,21,False,,74.0,69.0,4.0,2.0,31.0,32.0,40.0,44.0,6.0,90.0,89.0,6.9,8.0,0,,,,6.0,3.0,1.0,,,,,2.0,1.0,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,
10437925,home,Vitória SC,Afonso Freitas,afonso-freitas,A. Freitas,D,25,180,35,M,928812,EUR,955065600,M,72,72,False,,24.0,19.0,1.0,1.0,4.0,4.0,15.0,20.0,1.0,54.0,42.0,6.5,12.0,0,,,1.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,
10437925,home,Vitória SC,Nelson Luz,nelson-luz,N. Luz,M,10,177,198,M,841743,EUR,886550400,F,20,20,False,,35.0,30.0,1.0,,7.0,7.0,23.0,31.0,1.0,90.0,59.0,6.4,16.0,2,,,,9.0,2.0,,,2.0,,,,,,1.0,,2.0,2.0,3.0,,1.0,4.0,,3.0,,,,,,,,,,,,
10437925,home,Vitória SC,Anderson Silva,anderson-silva,A. Silva,F,33,186,530,M,892272,EUR,880070400,F,33,33,False,,8.0,8.0,,,3.0,3.0,5.0,5.0,2.0,90.0,24.0,6.2,8.0,3,,,1.0,11.0,4.0,,2.0,,,,,,,2.0,2.0,3.0,3.0,,,,3.0,,3.0,,1.0,1.0,1.0,2.0,,,,,,,
10437925,home,Vitória SC,Michael Johnston,michael-johnston,M. Johnston,M,11,171,843,M,847125,EUR,924480000,F,90,90,False,,28.0,20.0,1.0,,3.0,3.0,17.0,27.0,3.0,90.0,42.0,6.7,13.0,2,,,,6.0,5.0,,1.0,,,,2.0,2.0,1.0,,2.0,2.0,2.0,2.0,,1.0,3.0,1.0,1.0,,,1.0,,,,,,,,,
10437925,home,Vitória SC,Rúben Lameiras,ruben-lameiras,R. Lameiras,M,22,175,78,M,793154,EUR,788054400,M,7,7,True,,21.0,17.0,2.0,2.0,2.0,2.0,16.0,23.0,2.0,36.0,35.0,7.2,12.0,2,,,1.0,3.0,2.0,,,2.0,,,,1.0,1.0,,1.0,,,4.0,1.0,2.0,2.0,,,,,,,,1.0,,,,,,
10437925,home,Vitória SC,Nicolas Janvier,nicolas-janvier,N. Janvier,M,17,171,91,M,802150,EUR,902793600,F,98,98,True,,15.0,14.0,1.0,1.0,4.0,4.0,12.0,15.0,,22.0,22.0,7.7,4.0,2,,,1.0,3.0,1.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,4.0,2.0,2.0,1.0,,,1.0,,,,,,,,,,,
10437925,home,Vitória SC,Alisson Safira,allison-safira,A. Safira,F,25,178,356,M,870927,EUR,795398400,F,9,9,True,,4.0,3.0,,,2.0,2.0,1.0,2.0,1.0,22.0,9.0,6.6,2.0,2,,,2.0,2.0,3.0,,,2.0,,1.0,,,,1.0,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,
10437925,home,Vitória SC,Jota Silva,jota-silva,J. Silva,F,26,179,2828,M,1011895,EUR,933465600,F,11,11,True,,9.0,4.0,1.0,1.0,1.0,4.0,5.0,9.0,2.0,13.0,21.0,7.2,8.0,1,,,,,3.0,,,,,,,,,,,,1.0,4.0,2.0,2.0,2.0,2.0,,,,1.0,,,,,,,,,
10437925,home,Vitória SC,Celton Biai,celton-biai,C. Biai,G,63,188,249,M,976399,EUR,966124800,G,63,63,True,,,,,,,,,,,,,,,0,Celton,Biai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437925,home,Vitória SC,Mamadou Tounkara,mamadou-tounkara,M. Tounkara,D,29,192,198,M,208636,EUR,1008288000,D,83,83,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437925,home,Vitória SC,Indio,indio,Indio,M,23,182,109,M,979864,EUR,935712000,M,23,23,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437925,home,Vitória SC,Dani Silva,daniel-silva,D. Silva,M,80,180,228,M,974863,EUR,955411200,M,80,80,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437925,home,Vitória SC,Ryoya Ogawa,ryoya-ogawa,R. Ogawa,M,7,182,155,M,790973,EUR,848793600,D,25,25,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437925,away,Boavista,Rafael Bracali,rafael-bracali,R. Bracali,G,,182,29,,44676,EUR,357868800,G,1,1,False,True,21.0,12.0,14.0,6.0,6.0,7.0,6.0,14.0,8.0,90.0,34.0,7.1,9.0,0,,,,1.0,,,,,,4.0,,,,,,1.0,,,,,,,,,,,,,,5.0,1.0,6.0,3.0,,
10437925,away,Boavista,Reggie Cannon,reggie-cannon,R. Cannon,D,4,180,224,M,864226,EUR,897523200,D,2,2,False,,33.0,25.0,9.0,3.0,24.0,27.0,1.0,6.0,4.0,90.0,41.0,6.4,9.0,0,,,,2.0,2.0,,,,,1.0,1.0,1.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,1.0,
10437925,away,Boavista,Vincent Sasso,vincent-sasso,V. Sasso,D,23,190,44,M,74071,EUR,666662400,D,23,23,False,,25.0,20.0,5.0,2.0,18.0,20.0,2.0,5.0,5.0,90.0,44.0,7.0,6.0,1,,,2.0,2.0,6.0,,,1.0,1.0,7.0,2.0,4.0,3.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0
