match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_aerialWon,stat_totalTackle,stat_wonTackle,captain,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goalAssist,stat_bigChanceCreated,stat_keyPass,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_totalOffside,stat_punches,stat_totalKeeperSweeper,stat_hitWoodwork,stat_errorLeadToAGoal
10913615,away,Abha,Devis Epassy,devis-epassy,D. Epassy,G,1,187.0,1481,M,362758,EUR,728611200,G,16,16,False,40.0,32.0,12.0,4.0,30.0,31.0,2.0,9.0,2.0,1.0,9.0,,1.0,3.0,3.0,90.0,53.0,6.4,8.0,0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,
10913615,away,Abha,Fahad Bin Jumayah,fahad-bin-jumayah,F. B. Jumayah,D,14,170.0,22,M,893514,EUR,800064000,D,14,14,False,55.0,47.0,5.0,,20.0,23.0,28.0,36.0,5.0,3.0,8.0,3.0,,,,90.0,81.0,6.2,13.0,0,4.0,,6.0,1.0,1.0,,,1.0,4.0,,,,2.0,2.0,True,,,,,,,1.0,,,,,,,,,
10913615,away,Abha,Saad Natiq,saad-natiq,S. Natiq,D,,188.0,510,M,836756,EUR,764035200,D,4,4,False,74.0,58.0,10.0,5.0,46.0,51.0,12.0,23.0,10.0,4.0,11.0,1.0,,,,90.0,88.0,6.8,16.0,0,,2.0,2.0,,,,,,,,,4.0,4.0,3.0,,1.0,1.0,,,,,,,,,,,,,,
10913615,away,Abha,Amine Attouchi,amine-attouchi,A. Atouchi,D,,186.0,95,M,866170,EUR,709948800,D,19,19,False,73.0,67.0,6.0,3.0,48.0,51.0,19.0,22.0,2.0,2.0,8.0,,,,,90.0,80.0,6.2,8.0,0,,3.0,5.0,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
10913615,away,Abha,Abdullah Al-Zoari,abdullah-al-zoari,A. Z. Aldossary,D,,178.0,7,M,118137,EUR,555811200,D,3,3,False,48.0,41.0,6.0,2.0,21.0,22.0,20.0,27.0,3.0,2.0,4.0,1.0,,,,90.0,69.0,6.5,13.0,0,1.0,1.0,3.0,,1.0,,3.0,2.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
10913615,away,Abha,Zakaria Al-Sudani,zakaria-al-sudani,Z. Al-Sudani,M,,183.0,5,M,328851,EUR,712195200,M,21,21,False,52.0,52.0,,,21.0,21.0,31.0,31.0,2.0,,4.0,1.0,,,,64.0,56.0,6.4,1.0,0,,1.0,3.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
10913615,away,Abha,Uroš Matić,uros-matic,U. Matić,M,,185.0,66,M,63273,EUR,643420800,M,8,8,False,60.0,51.0,7.0,4.0,20.0,22.0,31.0,38.0,3.0,,7.0,,,,,90.0,71.0,6.8,12.0,2,,,1.0,,,,2.0,2.0,,,,1.0,1.0,1.0,,2.0,1.0,,,,1.0,,1.0,1.0,,,,,,,
10913615,away,Abha,Nawaf Al Sadi,nawaf-alsadi,N. A. Sadi,M,18,172.0,64,M,1115888,EUR,972086400,M,18,18,False,49.0,42.0,3.0,2.0,11.0,12.0,33.0,40.0,7.0,,5.0,1.0,,,,90.0,71.0,7.5,15.0,2,3.0,,5.0,2.0,2.0,,,2.0,1.0,Nawaf Alsadi,,1.0,2.0,2.0,,3.0,3.0,2.0,,,,2.0,,,1.0,,,,,,
10913615,away,Abha,Saad Bguir,bguir-saad,S. Bguir,M,18,178.0,637,M,563030,EUR,764294400,M,10,10,False,71.0,62.0,8.0,7.0,17.0,17.0,45.0,60.0,3.0,,3.0,,,,,90.0,92.0,7.3,21.0,2,6.0,1.0,1.0,,,,,6.0,,Saad,Bguir,,3.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,
10913615,away,Abha,Saleh Al-Amri,saleh-al-amri,S. Al-Amri,M,93,176.0,147,M,791578,EUR,750556800,M,7,7,False,68.0,53.0,,,16.0,18.0,37.0,52.0,9.0,,4.0,2.0,,,,90.0,95.0,7.2,25.0,2,2.0,3.0,9.0,,4.0,,2.0,4.0,2.0,,,4.0,1.0,,,2.0,2.0,2.0,1.0,,5.0,,,,,,,,,1.0,
