match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_bigChanceCreated,stat_interceptionWon,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalCross,stat_unsuccessfulTouch,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_blockedScoringAttempt,stat_outfielderBlock,stat_shotOffTarget,stat_totalOffside,stat_bigChanceMissed,player_sofascoreId,stat_goodHighClaim,stat_goals,stat_ownGoals,stat_hitWoodwork
13981648,home,Parma,Edoardo Corvi,,,edoardo-corvi,E. Corvi,G,40,183.0,241,M,990411,EUR,985305600,G,40,40,False,25.0,20.0,8.0,3.0,0.0,18.0,18.0,2.0,7.0,1.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,90.0,33.0,6.5,5.0,0.00097546,73.795648632742,10.0,40.058821606449,0.9268,0,0.1203,0.04,0.01,-0.79,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981648,home,Parma,Enrico Del Prato,,,enrico-del-prato,E. Del Prato,D,15,183.0,860,M,928103,EUR,942192000,D,15,15,False,38.0,35.0,3.0,2.0,0.0,21.0,22.0,14.0,16.0,6.0,3.0,,,,,,,90.0,59.0,6.5,4.0,0.312072,170.77053101392,17.0,65.836682932319,,0,,0.41,0.03,-0.47,,True,2.0,2.0,2.0,2.0,1.0,1.0,20.709936410473,27.620495940515,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
13981648,home,Parma,Mariano Troilo,Mariano Troilo,,mariano-troilo,M. Troilo,D,37,194.0,1556,M,1516324,EUR,1056240000,D,37,37,False,43.0,38.0,2.0,1.0,0.0,26.0,27.0,12.0,16.0,5.0,4.0,,,,,,,90.0,61.0,6.2,7.0,0.0996057,128.68954901433,17.0,15.18954681513,,0,,0.08,0.03,-0.61,,,1.0,1.0,4.0,8.0,,3.0,,,,,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
13981648,home,Parma,Alessandro Circati,,,alessandro-circati,A. Circati,D,39,190.0,800,M,1155423,EUR,1065744000,D,39,39,False,50.0,45.0,2.0,1.0,0.0,31.0,33.0,14.0,17.0,5.0,4.0,,,,,,,90.0,66.0,6.2,8.0,0.0815913,332.4151721562,36.0,180.38261211746,,0,,0.25,0.24,-0.56,,,,1.0,5.0,5.0,,1.0,27.090261666699,79.409284815437,3.0,,,1.0,,,2.0,2.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,,,,
13981648,home,Parma,Emanuele Valeri,,,emanuele-valeri,E. Valeri,D,14,180.0,818,M,891346,EUR,912988800,D,14,14,False,29.0,21.0,3.0,1.0,0.0,12.0,15.0,9.0,14.0,,3.0,,,,,,,90.0,49.0,5.7,18.0,0.0403896,177.64498863094,15.0,111.16968761892,,1,,0.06,0.28,-0.78,,,,,1.0,1.0,,2.0,25.539273073298,89.694605750416,3.0,,1.0,,1.0,1.0,,,,,9.0,1.0,1.0,1.0,0.0122,0.0387,-0.05,,,,,,,,,,
13981648,home,Parma,Adrián Bernabé,,,adrian-bernabe,A. Bernabé,M,10,170.0,2308,M,934384,EUR,990835200,M,10,10,False,27.0,24.0,1.0,1.0,0.0,11.0,12.0,13.0,15.0,1.0,3.0,,,,,,,74.0,37.0,6.3,8.0,0.0887602,87.924242163352,11.0,32.353684525595,,0,,0.11,0.1,-0.28,,,,,2.0,,,2.0,17.464110699666,21.137860085638,1.0,3.0,1.0,1.0,,,,,,,1.0,3.0,,,,,,,,,,,,,,,
13981648,home,Parma,Hans Nicolussi Caviglia,,,hans-nicolussi-caviglia,H. N. Caviglia,M,41,184.0,1622,M,876259,EUR,961286400,M,41,41,False,29.0,26.0,4.0,3.0,0.0,15.0,15.0,11.0,14.0,3.0,1.0,,,,,,,65.0,42.0,6.6,7.0,0.0109874,89.009879731633,12.0,18.889548420138,,1,,-0.17,0.07,-0.01,,,,2.0,2.0,2.0,,,,,,,,1.0,,,,,,1.0,2.0,1.0,,,0.0389,,0.01,1.0,1.0,,,,,,,,
13981648,home,Parma,Mandela Keita,Mandela Keita,,mandela-keita,M. Keita,M,16,180.0,1230,M,1110136,EUR,1020988800,M,16,16,False,32.0,26.0,2.0,2.0,0.0,9.0,10.0,17.0,22.0,,9.0,,,,,,,90.0,54.0,7.3,11.0,0.0168997,281.96284252567,19.0,189.32882665861,,0,,0.02,0.33,-0.08,,,,,2.0,10.0,,1.0,54.065749773523,147.21249208467,3.0,,,2.0,1.0,1.0,3.0,3.0,6.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
13981648,home,Parma,Gaetano Oristanio,,,gaetano-oristanio,G. Oristanio,F,21,174.0,968,M,965009,EUR,1033171200,M,21,21,False,10.0,7.0,,,0.0,3.0,4.0,4.0,6.0,,2.0,,,,,,,45.0,21.0,5.8,7.0,0.0063918,74.839373635117,8.0,21.917315841515,,3,,-0.28,0.09,-0.24,,,1.0,,5.0,1.0,,1.0,24.613499452549,26.167764921751,1.0,,3.0,,2.0,1.0,,,,,1.0,2.0,,1.0,0.0945,0.0665,-0.26,1.0,,1.0,1.0,,,,,,
13981648,home,Parma,Jacob Ondrejka,,,ondrejka-jacob,J. Ondrejka,M,17,180.0,1012,M,1004790,EUR,1030924800,M,17,17,False,16.0,14.0,,,0.0,1.0,1.0,13.0,15.0,,2.0,,,,,,,75.0,31.0,5.7,12.0,0.0660825,174.8364473051,13.0,98.970497396855,,0,,0.2,0.16,-0.24,,,2.0,,11.0,,,2.0,23.947580997688,99.411928383897,5.0,,,1.0,8.0,,,,,,1.0,,,,,,,,,,,,,,,,
