match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_aerialWon,stat_outfielderBlock,stat_fouls,player_firstName,player_lastName,stat_unsuccessfulTouch,stat_keyPass,stat_totalCross,stat_challengeLost,stat_onTargetScoringAttempt,stat_penaltyWon,stat_bigChanceCreated,captain,stat_accurateCross,stat_bigChanceMissed,stat_penaltyMiss,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_penaltyConceded,stat_goalAssist,stat_goals
11360025,home,FC Gütersloh,Jarno Peters,jarno-peters,J. Peters,G,13,191.0,1,M,132572,EUR,740966400.0,G,13,13,False,38.0,24.0,25.0,12.0,18.0,21.0,6.0,17.0,13.0,5.0,6.0,1.0,1.0,90.0,50.0,7.7,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11360025,home,FC Gütersloh,Julian Schauerte,julian-schauerte,J. Schauerte,D,,177.0,3,M,40445,EUR,575942400.0,D,6,6,False,39.0,30.0,9.0,5.0,21.0,25.0,9.0,14.0,6.0,,,,,90.0,65.0,6.5,12.0,2,1.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11360025,home,FC Gütersloh,Lars Beuckmann,lars-beuckmann,L. Beuckmann,D,4,194.0,0,M,875833,EUR,622684800.0,D,4,4,False,16.0,15.0,,,12.0,12.0,3.0,4.0,1.0,,,,,90.0,32.0,7.0,1.0,1,7.0,8.0,6.0,,,,,1.0,6.0,4.0,1.0,,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
11360025,home,FC Gütersloh,Jeffrey Obst,jeffrey-obst,J. Obst,D,,186.0,1,M,247831,EUR,754185600.0,D,23,23,False,40.0,32.0,4.0,,26.0,29.0,6.0,11.0,3.0,,,,,90.0,49.0,6.5,9.0,0,2.0,3.0,2.0,,,,,,1.0,2.0,1.0,,,1.0,1.0,1.0,Jeffrey,Obst,1.0,1.0,,,,,,,,,,,,,,,
11360025,home,FC Gütersloh,Pascal Widdecke,pascal-widdecke,P. Widdecke,D,24,,1,M,948178,EUR,,D,24,24,False,36.0,26.0,3.0,1.0,13.0,18.0,13.0,19.0,8.0,,,,,90.0,58.0,6.3,15.0,1,,6.0,3.0,2.0,1.0,,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,3.0,,,,,,,,,,,,,
11360025,home,FC Gütersloh,Markus Esko,esko-markus,M. Esko,M,22,,1,M,1516795,EUR,952128000.0,M,22,22,False,14.0,9.0,1.0,1.0,4.0,5.0,5.0,9.0,7.0,,,,,67.0,29.0,7.8,10.0,4,1.0,4.0,5.0,,3.0,1.0,2.0,,,,3.0,3.0,1.0,,,,,,3.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,
11360025,home,FC Gütersloh,Patrik Twardzik,patrik-twardzik,P. Twardzik,M,18,185.0,9,M,94102,EUR,729302400.0,M,18,18,False,30.0,16.0,5.0,2.0,7.0,9.0,9.0,22.0,9.0,,,,,90.0,49.0,7.1,18.0,1,2.0,7.0,6.0,1.0,5.0,3.0,1.0,,,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,2.0,1.0,,,,1.0,,,,,,,,,,
11360025,home,FC Gütersloh,Tim Manstein,tim-manstein,T. Manstein,M,,182.0,1,M,121944,EUR,622684800.0,M,16,16,False,20.0,14.0,6.0,2.0,6.0,7.0,9.0,18.0,3.0,,,,,70.0,35.0,6.8,14.0,0,,1.0,2.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,5.0,1.0,,,,True,1.0,,,,,,,,
11360025,home,FC Gütersloh,Allan Firmino Dantas,allan-firmino-dantas,A. F. Dantas,M,8,178.0,1,M,845810,EUR,854409600.0,M,8,8,False,16.0,9.0,2.0,1.0,4.0,6.0,7.0,18.0,4.0,,,,,89.0,40.0,7.0,17.0,2,1.0,7.0,5.0,,4.0,2.0,,1.0,,,1.0,1.0,2.0,,,2.0,,,2.0,2.0,8.0,2.0,1.0,,,,2.0,,,,,,,,
11360025,home,FC Gütersloh,Kevin Freiberger,kevin-freiberger,K. Freiberger,F,,175.0,2,M,40561,EUR,595641600.0,F,19,19,False,17.0,12.0,,,7.0,7.0,5.0,10.0,2.0,,,,,90.0,25.0,6.5,10.0,1,7.0,11.0,4.0,1.0,2.0,,,,,,,,,4.0,,1.0,,,2.0,1.0,,,1.0,,,,,,,,,,,,
