match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_errorLeadToAShot,stat_keyPass,stat_challengeLost,stat_interceptionWon,stat_wasFouled,stat_dispossessed,stat_onTargetScoringAttempt,stat_totalOffside,player_sofascoreId,captain,stat_blockedScoringAttempt,stat_hitWoodwork,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches
11453014,home,Al-Ettifaq,Paulo Victor,,,paulo-victor,P. Victor,G,48,187.0,212,M,34142,EUR,537408000,G,48,48,False,23.0,22.0,6.0,5.0,20.0,20.0,2.0,3.0,4.0,90.0,26.0,6.2,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453014,home,Al-Ettifaq,Radhi Al-Oteibi,,,radhi-al-oteibi,R. Al-Oteibi,D,61,170.0,28,M,963642,EUR,960768000,D,61,61,False,40.0,35.0,5.0,3.0,12.0,13.0,24.0,32.0,5.0,90.0,56.0,6.9,10.0,0,5.0,1.0,2.0,5.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
11453014,home,Al-Ettifaq,Marcel Tisserand,,,marcel-tisserand,M. Tisserand,D,32,190.0,461,M,338651,EUR,726624000,D,32,32,False,90.0,82.0,12.0,7.0,47.0,48.0,35.0,43.0,4.0,90.0,100.0,6.9,11.0,1,1.0,,2.0,4.0,1.0,1.0,3.0,,,,2.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11453014,home,Al-Ettifaq,Jack Hendry,,,jack-hendry,J. Hendry,D,4,195.0,333,M,795696,EUR,799804800,D,4,4,False,73.0,70.0,8.0,6.0,53.0,53.0,17.0,20.0,4.0,90.0,75.0,6.4,4.0,0,,,3.0,1.0,,,1.0,,,,1.0,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
11453014,home,Al-Ettifaq,Abdullah Al Khateeb,,,abdullah-al-khateeb,A. A. Khateeb,D,70,173.0,38,M,920498,EUR,794966400,D,70,70,False,52.0,47.0,1.0,,20.0,24.0,27.0,28.0,6.0,90.0,73.0,7.0,6.0,0,,,5.0,8.0,2.0,1.0,1.0,,2.0,2.0,,2.0,,1.0,,,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,
11453014,home,Al-Ettifaq,Ali Hazazi,,,ali-hazazi,A. Hazazi,M,11,185.0,62,M,818699,EUR,761529600,M,11,11,False,52.0,47.0,,,14.0,14.0,33.0,38.0,3.0,87.0,61.0,7.0,8.0,1,,,3.0,2.0,1.0,,,,1.0,1.0,,1.0,,,,,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
11453014,home,Al-Ettifaq,Jordan Henderson,,,jordan-henderson,J. Henderson,M,6,183.0,6336,M,42694,EUR,645580800,M,10,10,False,45.0,40.0,4.0,4.0,18.0,19.0,23.0,29.0,3.0,90.0,58.0,7.0,8.0,1,3.0,1.0,4.0,3.0,,,,1.0,2.0,1.0,1.0,1.0,,,,,,3.0,1.0,1.0,,,,jordanhenderson,True,1.0,,,,,,,,
11453014,home,Al-Ettifaq,Georginio Wijnaldum,,,georginio-wijnaldum,G. Wijnaldum,M,8,175.0,8339,M,22126,EUR,658281600,M,25,25,False,40.0,36.0,,,9.0,9.0,27.0,31.0,4.0,90.0,54.0,7.0,9.0,3,,,5.0,3.0,5.0,2.0,1.0,,1.0,,1.0,1.0,,,2.0,,1.0,,,,1.0,1.0,,gwijnaldum,,,1.0,,,,,,,
11453014,home,Al-Ettifaq,Mohammed Al-Kuwaykibi,,,mohammed-al-kuwaykibi,M. Al-Kuwaykibi,F,7,168.0,101,M,847233,EUR,786326400,F,7,7,False,15.0,13.0,2.0,2.0,2.0,2.0,14.0,20.0,1.0,78.0,33.0,7.7,10.0,2,7.0,3.0,3.0,2.0,2.0,1.0,,,,,2.0,,,,1.0,,3.0,2.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,
11453014,home,Al-Ettifaq,Moussa Dembélé,,,moussa-dembele,M. Dembélé,F,9,183.0,2632,M,318653,EUR,837129600,F,9,9,False,12.0,12.0,,,6.0,6.0,6.0,6.0,1.0,90.0,23.0,6.9,5.0,3,,,7.0,,2.0,,1.0,,,,3.0,1.0,4.0,,1.0,,1.0,,,,,2.0,1.0,,,,,,,1.0,1.0,,,
