match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,player_sofascoreId,stat_aerialWon,stat_wonContest,stat_wonTackle,stat_wasFouled,stat_challengeLost,stat_ownGoals,stat_keyPass,stat_onTargetScoringAttempt,stat_totalOffside,stat_dispossessed,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,captain,stat_penaltyWon,stat_outfielderBlock,stat_penaltyFaced,stat_punches,stat_penaltyConceded
10389985,home,AS Monaco,Alexander Nübel,,,alexander-nubel,A. Nübel,G,33,193,2042,M,584722,EUR,844041600,G,16,16,False,24.0,22.0,6.0,4.0,21.0,22.0,1.0,2.0,1.0,14.0,1.0,1.0,2.0,90.0,38.0,6.9,2.0,0.0,0.0,0.0006432,0,-0.5672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389985,home,AS Monaco,Vanderson,Vanderson,,vanderson,Vanderson,D,2,173,6111,M,1090694,EUR,993081600,D,2,2,False,35.0,32.0,7.0,5.0,14.0,16.0,18.0,21.0,,1.0,,,,66.0,52.0,6.7,10.0,0.0,0.0,0.0114589,0,,2.0,2.0,6.0,1.0,2.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10389985,home,AS Monaco,Axel Disasi,,,axel-disasi,A. Disasi,D,4,190,9725,M,827243,EUR,889574400,D,6,6,False,65.0,59.0,7.0,5.0,32.0,33.0,27.0,32.0,2.0,9.0,,,,90.0,73.0,6.8,6.0,0.0,0.0,0.0232766,0,,,1.0,2.0,3.0,1.0,,1.0,,1.0,axel_disasi,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10389985,home,AS Monaco,Benoît Badiashile,,,benoit-badiashile,B. Badiashile,D,5,194,10555,M,904827,EUR,985564800,D,5,5,False,62.0,57.0,11.0,8.0,38.0,40.0,19.0,22.0,1.0,4.0,,,,66.0,68.0,7.0,5.0,0.0,0.0,0.00681137,0,,,1.0,1.0,3.0,,1.0,1.0,,,badiashile,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
10389985,home,AS Monaco,Caio Henrique,,,caio-henrique,C. Henrique,D,12,178,3679,M,845170,EUR,870307200,D,12,12,False,43.0,38.0,6.0,1.0,20.0,20.0,18.0,27.0,1.0,4.0,,,,90.0,72.0,6.6,14.0,0.0,0.0,0.123153,0,,4.0,,2.0,5.0,1.0,1.0,3.0,2.0,,,,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
10389985,home,AS Monaco,Krépin Diatta,,,krepin-diatta,K. Diatta,M,27,173,13115,M,873534,EUR,919900800,M,27,27,False,31.0,24.0,,,5.0,6.0,19.0,28.0,,3.0,,,,90.0,46.0,7.0,15.0,0.0319,0.3638,0.0328639,1,,3.0,,2.0,7.0,3.0,,2.0,4.0,,krepindiatta,2.0,2.0,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,
10389985,home,AS Monaco,Youssouf Fofana,,,youssouf-fofana,Y. Fofana,M,19,185,6182,M,945062,EUR,915926400,M,19,19,False,37.0,31.0,3.0,2.0,13.0,13.0,18.0,24.0,,6.0,,,,71.0,43.0,6.6,10.0,0.0,0.0,0.0346598,0,,,1.0,4.0,2.0,3.0,,1.0,1.0,,YFofana19_,,1.0,,,,,,,,1.0,,,,,,,,,,,,
10389985,home,AS Monaco,Mohamed Camara,,,camara-mohamed,M. Camara,M,4,175,3786,M,1008849,EUR,947116800,M,4,4,False,53.0,50.0,3.0,1.0,32.0,32.0,18.0,21.0,,7.0,,,,90.0,71.0,7.5,5.0,0.0,0.0,0.0227006,0,,,,4.0,8.0,,4.0,6.0,1.0,1.0,camara_mohamed6,,,4.0,2.0,2.0,,2.0,,,1.0,,,,,,,,,,,,
10389985,home,AS Monaco,Aleksandr Golovin,,,aleksandr-golovin,A. Golovin,M,10,180,8439,M,318963,EUR,833414400,M,17,17,False,23.0,17.0,2.0,2.0,5.0,6.0,13.0,20.0,,3.0,,,,66.0,41.0,7.8,11.0,0.266,0.0,0.358468,2,,3.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,1.0,alex_golovin17,,1.0,2.0,2.0,,,2.0,,,,1.0,1.0,1.0,2.0,,,,,,,,
10389985,home,AS Monaco,Breel Embolo,,,breel-embolo,B. Embolo,F,7,185,4494,M,352296,EUR,855878400,F,36,36,False,11.0,8.0,,,,1.0,8.0,10.0,,1.0,,,,45.0,19.0,7.8,7.0,0.4426,0.531,0.010277,2,,,2.0,6.0,2.0,3.0,,,,,breelembolo97,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,
