match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_wonContest,stat_outfielderBlock,captain,stat_interceptionWon,stat_wonTackle,stat_totalOffside,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_challengeLost,stat_bigChanceCreated,stat_shotOffTarget,stat_accurateCross,stat_blockedScoringAttempt,stat_goodHighClaim,stat_goals
12504390,home,Fiorentina,David De Gea,,,david-de-gea,D. De Gea,G,43,192,23723,M,d_degea,69378,EUR,657936000,G,43,43,False,39.0,33.0,16.0,10.0,0.0,28.0,29.0,5.0,10.0,4.0,2.0,2.0,90.0,45.0,6.6,6.0,0.00184218,1.0,0,-0.8622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504390,home,Fiorentina,Dodô,,,dodo,Dodô,D,2,166,3348,M,,822518,EUR,911260800,D,2,2,False,38.0,29.0,,,0.0,21.0,24.0,8.0,15.0,9.0,,,90.0,66.0,6.3,20.0,0.00472793,,0,,1.0,1.0,1.0,4.0,5.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,
12504390,home,Fiorentina,Marin Pongračić,,,marin-pongracic,M. Pongračić,D,5,193,2505,M,,847467,EUR,873936000,D,5,5,False,73.0,66.0,3.0,1.0,0.0,53.0,56.0,13.0,17.0,2.0,,,90.0,85.0,6.9,9.0,0.166175,1.0,0,,,,2.0,1.0,4.0,,1.0,4.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12504390,home,Fiorentina,Luca Ranieri,,,luca-ranieri,L. Ranieri,D,6,187,1115,M,,893998,EUR,924825600,D,6,6,False,68.0,59.0,9.0,2.0,0.0,49.0,51.0,10.0,17.0,4.0,,,90.0,86.0,7.3,10.0,0.00489132,,0,,,,1.0,,8.0,,2.0,6.0,4.0,1.0,1.0,,2.0,1.0,True,2.0,3.0,1.0,,,,,,,,,,,
12504390,home,Fiorentina,Robin Gosens,,,robin-gosens,R. Gosens,D,21,183,3165,M,,377118,EUR,773366400,D,21,21,False,28.0,23.0,,,0.0,19.0,20.0,4.0,9.0,2.0,,,70.0,47.0,6.4,10.0,0.00285596,,1,,1.0,,2.0,2.0,4.0,,2.0,2.0,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,0.0618,0.105,,,,,,,
12504390,home,Fiorentina,Danilo Cataldi,,,danilo-cataldi,D. Cataldi,M,32,180,952,M,,317301,EUR,776131200,M,32,32,False,19.0,17.0,,,0.0,15.0,16.0,2.0,4.0,2.0,,,55.0,23.0,6.5,3.0,0.00102541,,0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
12504390,home,Fiorentina,Rolando Mandragora,,,rolando-mandragora,R. Mandragora,M,8,183,2103,M,,548178,EUR,867542400,M,8,8,False,27.0,18.0,3.0,1.0,0.0,14.0,17.0,4.0,10.0,2.0,,,70.0,31.0,6.6,9.0,0.031772,1.0,0,,,,,2.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,
12504390,home,Fiorentina,Michael Folorunsho,,,michael-folorunsho,M. Folorunsho,M,90,190,1521,M,,869795,EUR,886809600,M,90,90,False,21.0,14.0,1.0,,0.0,7.0,10.0,7.0,12.0,4.0,,,90.0,44.0,7.0,12.0,0.0166677,,1,,1.0,5.0,3.0,7.0,11.0,1.0,,,3.0,2.0,5.0,1.0,,,,1.0,2.0,,,1.0,0.0247,0.0884,,,,,,,
12504390,home,Fiorentina,Nicolò Fagioli,,,nicolo-fagioli,N. Fagioli,M,44,178,4280,M,nicolofagioli,901850,EUR,981936000,M,44,44,False,48.0,39.0,9.0,5.0,0.0,20.0,24.0,19.0,28.0,4.0,,,90.0,66.0,7.0,15.0,0.105911,,0,,4.0,,,4.0,10.0,,2.0,1.0,6.0,1.0,3.0,1.0,1.0,,,,3.0,,,,,,2.0,,,,,,
12504390,home,Fiorentina,Lucas Beltrán,,,lucas-beltran,L. Beltrán,M,15,177,3780,M,beltranlucass,962029,EUR,985824000,M,9,9,False,18.0,10.0,1.0,,0.0,2.0,6.0,8.0,12.0,2.0,,,90.0,33.0,5.8,19.0,0.0281278,1.0,0,,,4.0,1.0,13.0,2.0,7.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
