match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_unsuccessfulTouch,stat_totalOffside,stat_keyPass,player_firstName,player_lastName,stat_errorLeadToAShot,stat_fouls,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_challengeLost,stat_totalContest,stat_wonContest,stat_dispossessed,stat_shotOffTarget,stat_bigChanceMissed,stat_hitWoodwork,captain,stat_goals,stat_goodHighClaim,stat_goalsPrevented,stat_savedShotsFromInsideTheBox,stat_saves,stat_outfielderBlock
12530827,home,Fenerbahçe,Dominik Livaković,dominik-livakovic,D. Livaković,G,40,186,12815,M,Livakovic40,190419,EUR,789609600,G,40,40,False,10.0,6.0,8.0,4.0,0.0,3.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,32.0,12.0,6.7,4.0,0.00071228,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530827,home,Fenerbahçe,Bright Osayi-Samuel,bright-osayi-samuel,B. Osayi-Samuel,D,26,175,5509,M,,791616,EUR,883526400,D,21,21,False,32.0,27.0,2.0,1.0,0.0,14.0,16.0,13.0,16.0,1.0,3.0,,,63.0,46.0,6.7,9.0,0.0325014,0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530827,home,Fenerbahçe,Rodrigo Becão,rodrigo-becao,R. Becão,D,50,191,1867,M,,880207,EUR,822009600,D,50,50,False,40.0,34.0,,,0.0,20.0,25.0,14.0,15.0,5.0,2.0,,,78.0,50.0,6.7,6.0,0.00989124,0,1.0,9.0,3.0,9.0,2.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
12530827,home,Fenerbahçe,Çağlar Söyüncü,caglar-soyuncu,Ç. Söyüncü,D,4,187,4168,M,soyuncu_caglar,758608,EUR,832809600,D,4,4,False,45.0,39.0,2.0,1.0,0.0,22.0,26.0,17.0,19.0,3.0,,,,90.0,58.0,7.3,6.0,0.0461938,1,3.0,4.0,5.0,7.0,5.0,,,,,,,2.0,1.0,2.0,2.0,1.0,0.0412,0.1673,,,,,,,,,,,,,,,,,,
12530827,home,Fenerbahçe,Filip Kostić,filip-kostic,F. Kostić,M,18,184,7055,M,filipkostic,126588,EUR,720576000,D,18,18,False,41.0,37.0,5.0,2.0,1.0,9.0,11.0,31.0,45.0,2.0,5.0,,,90.0,78.0,7.7,17.0,0.101694,2,,,,,1.0,,,3.0,,,,,,,,,0.0325,,15.0,3.0,1.0,2.0,,,,,,,,,,,,,,
12530827,home,Fenerbahçe,Fred,fred,Fred,M,7,169,11619,M,fred08,243623,EUR,731289600,M,13,13,False,60.0,50.0,3.0,1.0,0.0,17.0,20.0,33.0,41.0,4.0,4.0,,,90.0,78.0,7.4,12.0,0.109045,2,3.0,1.0,7.0,8.0,,1.0,,1.0,,,,3.0,1.0,2.0,1.0,4.0,0.0308,0.0995,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
12530827,home,Fenerbahçe,Sofyan Amrabat,sofyan-amrabat,S. Amrabat,M,34,183,27456,M,sofyanamrabat,359272,EUR,840585600,M,34,34,False,51.0,40.0,4.0,1.0,0.0,25.0,27.0,15.0,26.0,1.0,3.0,,,63.0,62.0,6.4,14.0,0.00560466,3,1.0,,3.0,2.0,,,,,,,,2.0,,1.0,,,0.1457,,2.0,,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,
12530827,home,Fenerbahçe,İrfan Can Kahveci,irfan-can-kahveci,İ. C. Kahveci,M,71,180,4224,M,irfankahveci,226986,EUR,805766400,M,17,17,False,28.0,22.0,2.0,1.0,0.0,6.0,6.0,17.0,28.0,,5.0,,,55.0,47.0,6.9,12.0,0.0609344,2,1.0,1.0,3.0,3.0,1.0,1.0,,2.0,,,,1.0,1.0,1.0,,1.0,0.1495,0.1948,6.0,1.0,,,1.0,,,,1.0,,,,,,,,,
12530827,home,Fenerbahçe,Sebastian Szymański,sebastian-szymanski,S. Szymański,M,17,174,10874,M,szymanski_11,847983,EUR,926294400,M,53,53,False,28.0,24.0,1.0,,1.0,5.0,6.0,19.0,23.0,2.0,4.0,,,90.0,40.0,7.1,8.0,0.0891304,1,,,3.0,3.0,,2.0,,2.0,,,,2.0,,2.0,1.0,1.0,0.0455,,1.0,,,1.0,,,,1.0,,,,,,,,,,
12530827,home,Fenerbahçe,Oğuz Aydın,oguz-aydin,O. Aydın,M,70,183,3374,M,,999396,EUR,972604800,M,70,70,False,31.0,26.0,,,0.0,3.0,3.0,24.0,30.0,,5.0,,,55.0,40.0,7.2,8.0,0.127417,2,3.0,,3.0,1.0,,2.0,,3.0,,,,,,1.0,1.0,,0.2649,,2.0,1.0,,,,,,,2.0,1.0,1.0,,,,,,,
