match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_outfielderBlock,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_shotOffTarget,stat_goals,captain,stat_bigChanceMissed,stat_totalOffside,stat_goalAssist,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,player_sofascoreId,stat_hitWoodwork
10406818,home,KV Mechelen,Gaëtan Coucke,gaetan-coucke,G. Coucke,G,98,187,160,M,794989,EUR,910051200,G,1,1,False,30.0,22.0,15.0,7.0,18.0,20.0,4.0,10.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,32.0,6.3,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406818,home,KV Mechelen,Jannes Van Hecke,jannes-van-hecke,J. V. Hecke,M,78,175,70,M,965741,EUR,1011052800,D,6,6,False,36.0,28.0,3.0,,7.0,9.0,22.0,28.0,,3.0,,4.0,,,89.0,55.0,6.6,13.0,0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,
10406818,home,KV Mechelen,David Bates,david-bates,D. Bates,D,4,193,95,M,839675,EUR,844473600,D,27,27,False,49.0,44.0,6.0,5.0,39.0,41.0,5.0,8.0,2.0,4.0,1.0,5.0,,,90.0,55.0,6.5,5.0,0,,,2.0,3.0,1.0,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,
10406818,home,KV Mechelen,Dries Wouters,dries-wouters,D. Wouters,D,5,189,35,M,339269,EUR,854409600,D,4,4,False,59.0,52.0,7.0,5.0,44.0,47.0,8.0,12.0,,2.0,5.0,5.0,,,90.0,74.0,6.7,9.0,0,,,1.0,2.0,,1.0,,1.0,,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,
10406818,home,KV Mechelen,Alec Van Hoorenbeeck,alec-van-hoorenbeeck,A. V. Hoorenbeeck,D,18,187,120,M,974203,EUR,914976000,D,18,18,False,33.0,23.0,3.0,,10.0,17.0,13.0,17.0,4.0,8.0,1.0,7.0,,,90.0,57.0,6.5,14.0,0,1.0,,1.0,3.0,2.0,,,1.0,2.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,
10406818,home,KV Mechelen,Alessio Da Cruz,alessio-da-cruz,A. D. Cruz,F,77,184,273,M,780206,EUR,853545600,M,22,22,False,29.0,22.0,1.0,,5.0,8.0,18.0,22.0,,,,6.0,,,85.0,44.0,6.0,15.0,2,1.0,1.0,1.0,8.0,4.0,2.0,,1.0,,,4.0,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,
10406818,home,KV Mechelen,Dimitri Lavalėe,dimitri-lavalee,D. Lavalėe,D,24,187,148,M,857458,EUR,853113600,M,14,14,False,51.0,39.0,9.0,3.0,21.0,26.0,18.0,25.0,1.0,5.0,2.0,6.0,,,90.0,66.0,6.4,14.0,1,,,,8.0,6.0,,,2.0,2.0,1.0,2.0,,2.0,,,,1.0,2.0,2.0,,1.0,,,,,,,,,,
10406818,home,KV Mechelen,Geoffry Hairemans,geoffry-hairemans,G. Hairemans,F,11,184,140,M,58917,EUR,688003200,M,7,7,False,50.0,40.0,4.0,2.0,12.0,13.0,30.0,42.0,3.0,5.0,,5.0,,,90.0,73.0,7.8,21.0,3,5.0,2.0,3.0,9.0,1.0,2.0,1.0,2.0,,,5.0,,2.0,2.0,,,,3.0,2.0,2.0,,1.0,1.0,,,,,,,,
10406818,home,KV Mechelen,Kerim Mrabti,kerim-mrabti,K. Mrabti,F,19,175,187,M,338869,EUR,769392000,M,19,19,False,45.0,34.0,7.0,4.0,16.0,21.0,19.0,25.0,2.0,2.0,1.0,13.0,,,90.0,68.0,7.0,18.0,0,1.0,1.0,,5.0,2.0,2.0,1.0,6.0,,,5.0,,1.0,1.0,,,1.0,,,,,,,True,,,,,,,
10406818,home,KV Mechelen,Nikola Storm,nikola-storm,N. Storm,F,26,178,277,M,149796,EUR,780883200,M,11,11,False,35.0,30.0,,,10.0,13.0,22.0,25.0,,2.0,1.0,7.0,,,90.0,52.0,7.1,10.0,3,3.0,2.0,,2.0,,2.0,1.0,,1.0,1.0,2.0,,,2.0,,,,1.0,1.0,2.0,,1.0,1.0,,2.0,1.0,,,,,
