match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_wasFouled,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_shotOffTarget,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_totalOffside,stat_hitWoodwork,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,player_sofascoreId,stat_goals
11067569,home,Fortaleza,João Ricardo,joao-ricardo,J. Ricardo,G,1,188,675,M,839761,EUR,589507200,G,1,1,False,18.0,14.0,11.0,8.0,14.0,16.0,2.0,2.0,1.0,90.0,20.0,5.7,4.0,0.0,0.0,0.00011365,0,-0.5257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067569,home,Fortaleza,Emanuel Brítez,emanuel-britez,E. Brítez,D,33,178,532,M,789395,EUR,701568000,D,19,19,False,54.0,46.0,4.0,2.0,13.0,15.0,43.0,2.0,,90.0,80.0,7.5,12.0,0.0233,0.048,0.161377,1,,35.0,4.0,2.0,1.0,4.0,4.0,10.0,4.0,4.0,1.0,3.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
11067569,home,Fortaleza,Marcelo Benevenuto,marcelo-benevenuto,Marcelo,D,14,180,199,M,841808,EUR,820972800,D,5,5,False,55.0,48.0,3.0,3.0,34.0,38.0,17.0,9.0,,90.0,62.0,6.8,8.0,0.0,0.0,0.00605819,0,,14.0,,,1.0,3.0,3.0,4.0,,,,3.0,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
11067569,home,Fortaleza,Titi,titi,Titi,D,4,187,324,M,243435,EUR,574128000,D,4,4,False,58.0,52.0,5.0,2.0,31.0,34.0,24.0,9.0,,90.0,64.0,6.6,6.0,0.0535,0.0,0.0157813,2,,21.0,,,2.0,1.0,4.0,2.0,,,,1.0,,2.0,,,1.0,1.0,,True,1.0,1.0,,,,,,,,,,,,
11067569,home,Fortaleza,Marinho,marinho,Marinho,M,7,169,2296,M,798127,EUR,643939200,M,15,15,False,16.0,14.0,2.0,2.0,2.0,2.0,21.0,1.0,,64.0,38.0,6.7,12.0,0.0688,0.0,0.0781128,2,,15.0,7.0,3.0,1.0,,7.0,6.0,6.0,3.0,,,3.0,2.0,2.0,,,,1.0,,,2.0,,,1.0,,,,,,,,,
11067569,home,Fortaleza,Caio Alexandre,caio-alexandre,C. Alexandre,M,19,174,1777,M,1008832,EUR,919814400,M,8,8,False,55.0,50.0,5.0,3.0,17.0,18.0,39.0,3.0,,73.0,61.0,6.3,9.0,0.0,0.0,0.0333196,0,,33.0,2.0,,,,4.0,2.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
11067569,home,Fortaleza,Zé Welison,ze-welison,Zé Welison,M,28,177,354,M,551422,EUR,794880000,M,17,17,False,69.0,54.0,8.0,4.0,13.0,18.0,55.0,12.0,,90.0,92.0,7.6,21.0,0.0446,0.0,0.0841214,2,,42.0,4.0,1.0,1.0,2.0,4.0,11.0,6.0,4.0,,,1.0,,2.0,,4.0,3.0,,,2.0,,,,,1.0,,,,,,,,
11067569,home,Fortaleza,Bruno Pacheco,bruno-pacheco,B. Pacheco,D,91,174,374,M,870691,EUR,692150400,M,6,6,False,46.0,36.0,6.0,3.0,13.0,17.0,32.0,5.0,,74.0,88.0,6.9,21.0,0.0,0.0,0.0979846,0,,24.0,3.0,1.0,2.0,3.0,8.0,12.0,4.0,1.0,,1.0,5.0,2.0,2.0,,3.0,3.0,3.0,,,,,,1.0,,1.0,,,,,,,
11067569,home,Fortaleza,Tomás Pochettino,tomas-pochettino,T. Pochettino,M,7,178,994,M,824626,EUR,823132800,F,7,7,False,21.0,19.0,4.0,3.0,8.0,8.0,22.0,4.0,,63.0,50.0,7.5,18.0,0.1073,0.2356,0.152387,3,,13.0,9.0,2.0,2.0,1.0,7.0,5.0,5.0,2.0,3.0,,,,2.0,,2.0,2.0,3.0,,,,,,,2.0,1.0,,,,,,,
11067569,home,Fortaleza,Juan Martín Lucero,juan-martin-lucero,J. M. Lucero,F,9,179,1899,M,359024,EUR,691459200,F,9,9,False,13.0,11.0,1.0,1.0,,1.0,12.0,1.0,,90.0,23.0,6.8,6.0,0.0874,0.3217,0.022964,2,,11.0,,,1.0,2.0,4.0,3.0,1.0,,1.0,,1.0,2.0,1.0,,,,3.0,,1.0,,,,,,,2.0,,,,,,
