match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_expectedGoals,stat_aerialWon,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_wonTackle,stat_errorLeadToAGoal,player_firstName,player_lastName,stat_challengeLost,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_punches
10385601,home,Brentford,David Raya,david-raya,D. Raya,G,1,183.0,26174,M,d_raya1,581310,EUR,811123200,G,1,1,False,31.0,13.0,27.0,9.0,6.0,7.0,7.0,24.0,3.0,1.0,1.0,90.0,34.0,6.4,18.0,0.00289561,0,-0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385601,home,Brentford,Aaron Hickey,hickey-aaron,A. Hickey,D,2,185.0,842,M,,966869,EUR,1023667200,D,2,2,False,28.0,25.0,3.0,1.0,19.0,19.0,6.0,11.0,5.0,,,90.0,43.0,6.7,7.0,0.00378037,2,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1264,,,,,,,,,,,,,,,,,,,,,,,,,
10385601,home,Brentford,Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194.0,1052,M,,855864,EUR,738633600,D,5,5,False,27.0,22.0,2.0,1.0,17.0,20.0,5.0,7.0,5.0,,,90.0,40.0,7.2,6.0,0.0821262,0,,,,,4.0,,,,,4.0,1.0,,,2.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
10385601,home,Brentford,Ben Mee,ben-mee,B. Mee,D,15,180.0,577,M,,137774,EUR,622339200,D,16,16,False,44.0,27.0,10.0,1.0,15.0,19.0,12.0,25.0,6.0,,,90.0,59.0,6.9,18.0,0.00446951,0,,,2.0,3.0,13.0,4.0,3.0,,,2.0,1.0,,,9.0,8.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
10385601,home,Brentford,Rico Henry,rico-henry,R. Henry,D,3,175.0,712,M,,599128,EUR,868320000,D,3,3,False,30.0,22.0,11.0,7.0,12.0,13.0,10.0,18.0,6.0,,,90.0,48.0,6.3,12.0,0.0142346,1,,1.0,1.0,4.0,3.0,1.0,,,1.0,1.0,1.0,1.0,0.0377,2.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,
10385601,home,Brentford,Mathias Jensen,mathias-jensen,M. Jensen,M,8,180.0,1047,M,,799251,EUR,820454400,M,8,8,False,21.0,14.0,4.0,2.0,5.0,6.0,10.0,19.0,6.0,,,89.0,45.0,7.4,16.0,0.0291915,2,,4.0,1.0,5.0,7.0,3.0,2.0,1.0,,,4.0,1.0,0.0987,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.0479,,,,,,,,,,
10385601,home,Brentford,Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185.0,9605,M,,135256,EUR,763257600,M,6,6,False,19.0,15.0,3.0,1.0,10.0,10.0,5.0,9.0,4.0,,,45.0,25.0,6.6,5.0,0.00588548,0,,,,2.0,4.0,1.0,1.0,,,,3.0,1.0,,,,,,,,1.0,,,,1.0,,,,,True,,,,,,,,,
10385601,home,Brentford,Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184.0,1191,M,,814873,EUR,894758400,M,27,27,False,24.0,16.0,3.0,2.0,5.0,9.0,11.0,15.0,5.0,,,76.0,28.0,6.6,9.0,0.0185631,0,,,,3.0,2.0,,,,,1.0,1.0,2.0,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,2.0,,,,,,,,
10385601,home,Brentford,Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173.0,110440,M,bryan_m19,927083,EUR,933984000,F,19,19,False,30.0,20.0,3.0,3.0,8.0,11.0,14.0,31.0,5.0,,,90.0,63.0,8.2,26.0,0.349354,3,,12.0,3.0,7.0,10.0,6.0,5.0,1.0,1.0,1.0,2.0,1.0,0.6423,2.0,1.0,,2.0,1.0,4.0,,,,,2.0,2.0,1.0,1.0,0.1647,,,1.0,2.0,1.0,,,,,
10385601,home,Brentford,Ivan Toney,ivan-toney,I. Toney,F,17,185.0,12673,M,ivantoney,290927,EUR,826934400,F,17,17,False,17.0,12.0,2.0,1.0,2.0,3.0,10.0,14.0,3.0,,,90.0,29.0,7.9,9.0,0.386964,3,,,2.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,0.4038,,,,3.0,2.0,3.0,,,,,,,1.0,1.0,0.158,,2.0,,1.0,,1.0,,,,
