match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_interceptionWon,stat_shotOffTarget,stat_unsuccessfulTouch,stat_expectedGoals,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_hitWoodwork,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_goals,stat_errorLeadToAShot,stat_bigChanceMissed
12450917,home,Angers,Yahia Fofana,yahia-fofana,Y. Fofana,G,75,194,3568,M,yahia.fofana_,877977,EUR,966816000,G,30,30,False,13.0,9.0,7.0,3.0,0.0,6.0,7.0,3.0,6.0,13.0,5.0,7.0,90.0,33.0,7.9,4.0,0.00058262,0,1.3437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450917,home,Angers,Carlens Arcus,carlens-arcus,C. Arcus,D,2,180,5908,M,,794373,EUR,835920000,D,2,2,False,38.0,34.0,1.0,1.0,0.0,22.0,22.0,13.0,21.0,3.0,,,90.0,71.0,6.9,15.0,0.0567159,0,,5.0,1.0,1.0,4.0,7.0,10.0,1.0,1.0,2.0,2.0,9.0,3.0,2.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,
12450917,home,Angers,Abdoulaye Bamba,abdoulaye-bamba,A. Bamba,D,25,182,172,M,,121180,EUR,641001600,D,25,25,False,30.0,24.0,2.0,,0.0,20.0,24.0,4.0,6.0,4.0,,,90.0,36.0,6.2,6.0,0.00139142,0,,,,,1.0,,2.0,,,,,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12450917,home,Angers,Jordan Lefort,jordan-lefort,J. Lefort,D,21,184,183,M,,363042,EUR,741225600,D,21,21,False,34.0,27.0,6.0,2.0,0.0,16.0,18.0,11.0,17.0,,,,90.0,49.0,6.7,9.0,0.0116642,0,,1.0,,,,,1.0,,,,,9.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
12450917,home,Angers,Florent Hanin,florent-hanin,F. Hanin,D,26,177,69,M,,170129,EUR,634089600,D,26,26,False,33.0,28.0,3.0,,0.0,10.0,11.0,20.0,26.0,3.0,,,76.0,50.0,6.7,9.0,0.127894,1,,4.0,2.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0154,,,,,,,,,,,,,,
12450917,home,Angers,Jean-Eudes Aholou,jean-eudes-aholou,J. Aholou,M,6,187,438,M,,156004,EUR,764121600,M,6,6,False,21.0,19.0,1.0,,0.0,12.0,13.0,7.0,8.0,3.0,,,76.0,38.0,7.1,4.0,0.00526778,1,,,,2.0,1.0,5.0,6.0,,1.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,,2.0,3.0,,,0.0585,1.0,,,,,,,,,,,,,
12450917,home,Angers,Haris Belkebla,haris-belkebla,H. Belkebla,M,93,177,1877,M,,580642,EUR,759715200,M,93,93,False,32.0,28.0,1.0,1.0,0.0,10.0,13.0,18.0,20.0,3.0,,,90.0,44.0,6.8,5.0,0.0209207,0,,1.0,,2.0,1.0,2.0,4.0,,,,,3.0,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,
12450917,home,Angers,Jim Allevinah,jim-allevinah,J. Allevinah,M,18,172,920,M,,988632,EUR,793843200,M,18,18,False,15.0,14.0,,,0.0,6.0,6.0,8.0,9.0,3.0,,,66.0,25.0,6.4,6.0,0.0130749,1,,,,,,5.0,2.0,,2.0,2.0,,,,,2.0,1.0,,,,,1.0,0.0445,,,,1.0,0.066,,,,,,,,,
12450917,home,Angers,Himad Abdelli,himad-abdelli,H. Abdelli,M,8,185,7344,M,,945830,EUR,942796800,M,10,10,False,50.0,41.0,7.0,4.0,0.0,13.0,16.0,28.0,35.0,6.0,,,90.0,65.0,7.2,14.0,0.232093,1,,1.0,,,,6.0,5.0,1.0,2.0,4.0,3.0,,1.0,1.0,1.0,2.0,2.0,,2.0,1.0,,0.0637,,,,,,True,,,,,,,,
12450917,home,Angers,Farid El Melali,farid-el-melali,F. El Melali,M,28,173,1171,M,,930584,EUR,862790400,M,28,28,False,14.0,9.0,1.0,,0.0,5.0,5.0,6.0,11.0,4.0,,,76.0,39.0,6.8,14.0,0.0588409,3,,2.0,2.0,,,8.0,7.0,1.0,3.0,6.0,3.0,1.0,2.0,,2.0,1.0,1.0,,,2.0,3.0,0.2054,,,,1.0,0.1493,,1.0,1.0,,,,,,
