match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,captain,stat_challengeLost,stat_onTargetScoringAttempt,stat_lastManTackle,stat_errorLeadToAGoal,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,stat_shotOffTarget,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_fouls,stat_totalCross,stat_accurateCross,stat_dispossessed,player_firstName,player_lastName,stat_bigChanceCreated,stat_errorLeadToAShot,stat_goals,stat_punches,stat_totalOffside,stat_bigChanceMissed,stat_clearanceOffLine
14025280,home,Everton,Jordan Pickford,jordan-pickford,J. Pickford,G,1,185.0,7610,M,jpickford1,138530,EUR,762998400,G,1,1,False,42.0,28.0,30.0,16.0,0.0,15.0,16.0,13.0,26.0,1.0,1.0,10.0,1.0,3.0,3.0,3.0,3.0,90.0,52.0,6.6,14.0,0.0113676,80.6714039267,12.0,61.95,11.655,0.2533,0,-0.9038,0.25,0.02,-0.34,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025280,home,Everton,Jake O'Brien,jake-obrien,J. O'Brien,D,15,197.0,1429,M,,998253,EUR,989884800,D,15,15,False,41.0,30.0,5.0,2.0,0.0,14.0,21.0,16.0,20.0,5.0,3.0,9.0,,,,,,90.0,65.0,6.1,16.0,0.0203226,75.269851096966,8.0,10.5,15.12,,0,,-0.21,0.0,-0.54,,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025280,home,Everton,James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185.0,2558,M,,145188,EUR,722131200,D,6,6,False,39.0,29.0,5.0,2.0,0.0,18.0,21.0,11.0,18.0,16.0,9.0,3.0,3.0,,,,,90.0,62.0,6.8,10.0,0.059291,101.04228547612,9.0,74.235,25.935,,2,,0.1,0.07,-0.34,,3.0,9.0,4.0,,,,,5.0,3.0,True,1.0,2.0,1.0,1.0,0.2899,0.2748,60.372671922715,2.0,2.0,-0.57,,,,,,,,,,,,,,,,
14025280,home,Everton,Michael Keane,michael-keane,M. Keane,D,5,188.0,1573,M,,110846,EUR,726710400,D,5,5,False,38.0,31.0,3.0,,0.0,22.0,26.0,9.0,12.0,6.0,5.0,3.0,,,,,,90.0,51.0,5.7,9.0,0.0360602,47.782851157344,7.0,18.375,5.67,,2,,0.24,0.0,-0.76,,2.0,5.0,6.0,1.0,,,1.0,1.0,1.0,,2.0,,,,0.0769,,,,,-0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,
14025280,home,Everton,Vitaliy Mykolenko,vitaliy-mykolenko,V. Mykolenko,D,16,180.0,4082,M,mikola_16,876643,EUR,927936000,D,16,16,False,38.0,30.0,3.0,1.0,0.0,9.0,11.0,21.0,27.0,4.0,2.0,3.0,,,,,,90.0,60.0,6.0,18.0,0.0686443,76.136702481672,10.0,40.005,18.375,,0,,0.26,0.06,-0.63,,2.0,3.0,4.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,2.0,1.0,7.0,3.0,,,,,,,,,,
14025280,home,Everton,Tim Iroegbunam,tim-iroegbunam,T. Iroegbunam,M,42,182.0,764,M,,1085950,EUR,1056931200,M,42,42,False,28.0,25.0,,,0.0,11.0,13.0,14.0,15.0,9.0,,8.0,,,,,,77.0,51.0,7.0,9.0,0.0230846,79.665709507931,9.0,20.265,19.53,,1,,0.16,0.46,-0.15,,2.0,1.0,7.0,2.0,2.0,,2.0,6.0,4.0,,1.0,,,,0.0999,,23.048611671856,1.0,,-0.51,1.0,,3.0,1.0,,,3.0,,,,,,,,,
14025280,home,Everton,James Garner,james-garner,J. Garner,M,37,182.0,3008,M,,927361,EUR,984441600,M,37,37,False,49.0,44.0,3.0,1.0,0.0,19.0,21.0,25.0,28.0,12.0,1.0,8.0,1.0,,,,,90.0,75.0,7.5,16.0,0.133467,153.18192179286,20.0,29.925,12.6,,1,,0.23,0.27,-0.14,,,1.0,2.0,4.0,3.0,,,7.0,4.0,,,,,,0.0439,,,,2.0,-0.3,,1.0,,,8.0,1.0,1.0,,,,,,,,,
14025280,home,Everton,Tyler Dibling,tyler-dibling,T. Dibling,M,20,178.0,2847,M,,1174472,EUR,1140134400,M,20,20,False,7.0,6.0,,,0.0,3.0,4.0,3.0,3.0,2.0,,1.0,1.0,,,,,45.0,18.0,6.1,7.0,0.0017969,24.611684995022,4.0,-1.575,5.985,,1,,-0.09,0.3,-0.04,,2.0,,8.0,1.0,,,,1.0,1.0,,,,,,0.0772,,7.3602228906467,1.0,,-0.32,,1.0,2.0,3.0,1.0,,2.0,Tyler,Dibling,,,,,,,
14025280,home,Everton,Dwight McNeil,dwight-mcneil,D. McNeil,M,7,183.0,1973,M,,935543,EUR,943228800,M,7,7,False,8.0,7.0,2.0,1.0,0.0,2.0,3.0,5.0,5.0,1.0,,2.0,,,,,,45.0,16.0,7.1,4.0,0.211955,10.430254759878,2.0,5.04,4.41,,1,,0.35,0.04,-0.05,,,,2.0,1.0,1.0,,,,,,,1.0,,,0.0384,0.3041,,,1.0,0.22,,,1.0,1.0,2.0,1.0,1.0,Dwight,McNeil,,,,,,,
14025280,home,Everton,Jack Grealish,jack-grealish,J. Grealish,M,18,180.0,58418,M,JGrealish,189061,EUR,810691200,M,18,18,False,35.0,29.0,1.0,1.0,2.0,5.0,6.0,24.0,29.0,7.0,,4.0,1.0,,,,,90.0,58.0,7.7,16.0,0.20059,388.11297374247,31.0,211.995,25.2,,0,,0.21,0.62,-0.41,,1.0,1.0,2.0,4.0,4.0,,1.0,1.0,,,1.0,,,,,,190.9699007509,10.0,4.0,,,,6.0,,6.0,3.0,,,,1.0,1.0,,,,,
