match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_outfielderBlock,stat_fouls,stat_totalCross,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,captain,stat_challengeLost,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_shotOffTarget,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine,stat_totalOffside,stat_lastManTackle
14025283,home,Manchester City,Gianluigi Donnarumma,gianluigi-donnarumma,G. Donnarumma,G,25,196,69953,M,donnarumma,824509,EUR,919900800,G,25,25,False,26.0,20.0,10.0,4.0,0.0,17.0,17.0,3.0,9.0,1.0,2.0,3.0,10.0,1.0,1.0,1.0,4.0,2.0,90.0,38.0,6.2,6.0,0.00066765,0.0862,0,0.5424,0.09,0.04,-0.45,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025283,home,Manchester City,Matheus Nunes,matheus-nunes,M. Nunes,D,27,183,19609,M,matheusnunes,945122,EUR,904176000,D,27,27,False,47.0,35.0,4.0,1.0,0.0,18.0,23.0,17.0,24.0,,6.0,2.0,9.0,,3.0,,,,90.0,70.0,6.6,17.0,0.0145482,,0,,-0.12,0.27,-0.09,,,,3.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
14025283,home,Manchester City,Rúben Dias,ruben-dias,R. Dias,D,3,188,40519,M,RúbenD,318941,EUR,863568000,D,3,3,False,38.0,35.0,2.0,1.0,0.0,21.0,23.0,14.0,15.0,,,6.0,,,,,,,90.0,48.0,6.8,4.0,0.00501257,,0,,0.25,0.03,-0.06,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14025283,home,Manchester City,Joško Gvardiol,josko-gvardiol,J. Gvardiol,D,24,186,50085,M,JGvardiol,964994,EUR,1011744000,D,24,24,False,36.0,32.0,2.0,1.0,0.0,18.0,21.0,14.0,15.0,1.0,4.0,3.0,1.0,,2.0,,,,90.0,46.0,6.7,5.0,0.00378816,,0,,0.03,0.06,-0.06,,,,,2.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14025283,home,Manchester City,Nico O'Reilly,nico-o-reilly,N. O’Reilly,D,33,193,15962,M,,1142703,EUR,1111363200,D,33,33,False,39.0,32.0,,,0.0,13.0,18.0,19.0,21.0,3.0,5.0,6.0,,,,,,,90.0,60.0,8.5,11.0,0.120147,,2,,0.15,0.57,-0.01,,Nico,O’Reilly,,1.0,,2.0,2.0,,,,2.0,,1.0,3.0,1.0,1.0,2.0,1.0,0.3319,0.1773,1.0,0.49,,,,,,,,,,,
14025283,home,Manchester City,Bernardo Silva,bernardo-silva,B. Silva,M,20,173,62967,M,BSilva,331209,EUR,776476800,M,20,20,False,69.0,61.0,4.0,4.0,0.0,30.0,33.0,31.0,36.0,,2.0,,4.0,,,,,,89.0,80.0,6.5,13.0,0.0218219,,0,,-0.04,0.12,-0.1,,,,,5.0,1.0,1.0,,1.0,2.0,1.0,,,2.0,2.0,,,,,,,,,True,1.0,,,,,,,,,
14025283,home,Manchester City,Nico González,nico-gonzalez,N. González,M,14,186,19859,M,nico14,954056,EUR,1010016000,M,14,14,False,65.0,58.0,4.0,1.0,0.0,24.0,28.0,34.0,37.0,1.0,4.0,1.0,9.0,,2.0,,,,90.0,80.0,7.1,13.0,0.0328177,,0,,0.35,0.24,0.19,,,,1.0,3.0,1.0,,,3.0,1.0,1.0,4.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,
14025283,home,Manchester City,Phil Foden,phil-foden,P. Foden,M,47,171,175652,M,Foden,859765,EUR,959472000,M,47,47,False,46.0,43.0,3.0,1.0,1.0,14.0,14.0,29.0,32.0,,4.0,,3.0,,3.0,,,,89.0,64.0,6.4,10.0,0.150969,,1,,-0.3,0.44,-0.07,,,,,3.0,1.0,,,,1.0,,1.0,,1.0,8.0,3.0,,,,0.0567,,3.0,-0.29,,1.0,1.0,,,,,,,,
14025283,home,Manchester City,Rayan Cherki,cherki-rayan,R. Cherki,M,10,176,76914,M,rayan_cherki,979128,EUR,1061078400,M,10,10,False,48.0,41.0,2.0,1.0,2.0,18.0,20.0,23.0,28.0,,3.0,,3.0,,,,,,73.0,69.0,6.7,19.0,0.238757,,3,,0.17,0.23,-0.09,,,,,7.0,,6.0,,,3.0,3.0,4.0,,,1.0,,,1.0,,0.241,0.3239,2.0,-0.27,,1.0,1.0,2.0,1.0,,,,,,
14025283,home,Manchester City,Jérémy Doku,jeremy-doku,J. Doku,M,11,173,69678,M,Dokss,934386,EUR,1022457600,M,11,11,False,27.0,25.0,,,0.0,2.0,3.0,23.0,24.0,,6.0,,2.0,,,,,,73.0,47.0,7.2,12.0,0.171222,,0,,0.64,0.35,-0.08,,,,1.0,11.0,3.0,9.0,5.0,1.0,1.0,,3.0,,2.0,,,,,,,,4.0,,,1.0,,2.0,,,,,,,
