match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_totalTackle,stat_fouls,stat_challengeLost,stat_outfielderBlock,stat_unsuccessfulTouch,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_wonContest,stat_blockedScoringAttempt,stat_wonTackle,stat_keyPass,stat_dispossessed,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper
12514217,home,Santa Clara,Gabriel Batista,,,gabriel-batista,G. Batista,G,1,188,348,M,822526,EUR,896832000,G,1,1,False,True,25.0,18.0,11.0,4.0,0.0,16.0,20.0,2.0,5.0,8.0,1.0,1.0,90.0,31.0,6.6,7.0,0.00166272,0,-0.4138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514217,home,Santa Clara,Sidney Lima,Sidney,,sidney-lima,S. Lima,D,23,182,139,M,1131145,EUR,853459200,D,23,23,False,,59.0,49.0,6.0,3.0,0.0,29.0,30.0,20.0,31.0,,,,90.0,74.0,6.6,16.0,0.00925857,0,,2.0,1.0,2.0,3.0,3.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
12514217,home,Santa Clara,Luís Rocha,,,luis-rocha,L. Rocha,D,13,186,44,M,141012,EUR,524275200,D,13,13,False,,52.0,49.0,4.0,2.0,0.0,38.0,39.0,11.0,13.0,5.0,,,90.0,60.0,6.5,5.0,0.00379041,0,,,1.0,1.0,6.0,1.0,5.0,,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
12514217,home,Santa Clara,Matheus Araújo,Matheus,,matheus-araujo,M. Araújo,D,32,185,323,M,1105841,EUR,983404800,D,32,32,False,,62.0,49.0,15.0,8.0,0.0,34.0,38.0,15.0,24.0,7.0,,,90.0,79.0,7.4,15.0,0.0109855,2,,,,2.0,2.0,3.0,5.0,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,0.1408,0.4732,,,,,,,,,,,,
12514217,home,Santa Clara,Lucas Soares,,,lucas-soares,L. Soares,M,42,176,85,M,991358,EUR,894240000,M,42,42,False,,34.0,25.0,5.0,2.0,0.0,12.0,13.0,15.0,26.0,6.0,,,90.0,59.0,7.1,16.0,0.0640799,2,,5.0,,,3.0,4.0,3.0,3.0,1.0,1.0,,3.0,2.0,,,,,,0.0988,,2.0,1.0,2.0,2.0,1.0,,,,,,,
12514217,home,Santa Clara,Serginho,,,serginho,Serginho,M,35,181,94,M,1019184,EUR,944006400,M,35,35,False,,30.0,24.0,2.0,1.0,0.0,9.0,11.0,15.0,22.0,7.0,,,85.0,49.0,7.2,12.0,0.0436353,3,,3.0,,1.0,5.0,5.0,2.0,2.0,1.0,1.0,,,,,3.0,1.0,,2.0,0.9462,1.0903,,,,1.0,1.0,3.0,1.0,,,,,
12514217,home,Santa Clara,Adriano Firmino,,,adriano-firmino,A. Firmino,M,6,187,127,M,989383,EUR,941673600,M,6,6,False,,54.0,45.0,6.0,2.0,0.0,24.0,24.0,21.0,30.0,8.0,,,90.0,70.0,7.2,12.0,0.0204938,2,,,,,,4.0,2.0,1.0,,,1.0,2.0,1.0,,1.0,,1.0,2.0,0.1265,0.0388,,1.0,1.0,,,,,,,,,
12514217,home,Santa Clara,Diogo Calila,,,diogo-calila,D. Calila,M,2,173,593,M,892083,EUR,907977600,M,2,2,False,,27.0,21.0,3.0,,0.0,6.0,9.0,16.0,19.0,2.0,,,90.0,48.0,6.8,9.0,0.0516335,2,,1.0,1.0,1.0,4.0,3.0,4.0,1.0,,1.0,,,1.0,2.0,,,,1.0,0.1591,,1.0,,,,1.0,1.0,,1.0,,,,
12514217,home,Santa Clara,Vinícius Lopes,,,vinicius-lopes,V. Lopes,F,70,175,316,M,1001753,EUR,926035200,F,70,70,False,,22.0,11.0,2.0,,0.0,1.0,1.0,10.0,23.0,3.0,,,78.0,33.0,7.3,15.0,0.677432,1,,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,,,1.0,2.0,1.0,,,,1.0,0.0465,,,1.0,,,2.0,,1.0,2.0,,,,
12514217,home,Santa Clara,Gabriel Silva,Gabriel Silva,,gabriel-silva,Gabriel Silva,F,10,177,795,M,1046794,EUR,1016755200,F,11,11,False,,12.0,9.0,,,0.0,3.0,3.0,6.0,10.0,2.0,,,85.0,23.0,6.5,7.0,0.132838,3,,1.0,2.0,1.0,6.0,3.0,,1.0,2.0,1.0,,2.0,2.0,1.0,1.0,,,,0.6427,0.7109,,1.0,1.0,,1.0,,1.0,,,,,
12514217,home,Santa Clara,Gustavo Klismahn,Klismahn,,gustavo-klismahn,G. Klismahn,M,77,179,89,M,1162051,EUR,943315200,F,77,77,False,,21.0,14.0,2.0,,1.0,4.0,5.0,11.0,17.0,5.0,,,54.0,29.0,7.0,9.0,0.0750044,0,,1.0,,,2.0,1.0,,,,2.0,,2.0,,,,,2.0,1.0,,,1.0,,,,2.0,,,,,,,
12514217,home,Santa Clara,Ricardinho,,,ricardinho,Ricardinho,M,21,178,116,M,1094399,EUR,902361600,M,10,10,True,,10.0,8.0,,,0.0,2.0,2.0,7.0,9.0,2.0,,,36.0,22.0,6.6,7.0,0.0463555,1,,1.0,,,4.0,3.0,1.0,,,1.0,,1.0,5.0,1.0,,,,1.0,0.014,,1.0,2.0,,,,,,,1.0,,,
12514217,home,Santa Clara,Matheusinho,,,matheusinho,Matheusinho,M,98,164,481,M,822523,EUR,887155200,M,7,7,True,,4.0,4.0,,,0.0,,,4.0,4.0,,,,12.0,6.0,6.4,2.0,0.0078934,0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
12514217,home,Santa Clara,Daniel Borges,Daniel Borges,,daniel-borges,D. Borges,M,41,183,73,M,1117007,EUR,1049587200,M,41,41,True,,2.0,1.0,,,0.0,,,1.0,2.0,,,,15.0,3.0,6.6,1.0,0.0001227,0,,,,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12514217,home,Santa Clara,João Costa,,,joao-costa,J. Costa,F,17,185,78,M,1511976,EUR,952387200,F,17,17,True,,6.0,3.0,,,0.0,1.0,2.0,2.0,4.0,2.0,,,15.0,9.0,6.8,3.0,0.0555174,0,,,2.0,1.0,3.0,3.0,,2.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,
12514217,home,Santa Clara,Neneca,,,neneca,Neneca,G,12,192,90,M,1186955,EUR,1061942400,G,12,12,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514217,home,Santa Clara,Habraão,,,habraao,Habraão,D,28,184,133,M,1167540,EUR,993513600,D,28,28,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514217,home,Santa Clara,Guilherme Ramos,,,guilherme-ramos,G. Ramos,D,13,191,220,M,827192,EUR,871257600,D,27,27,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514217,home,Santa Clara,Frederico Venâncio,,,frederico-venancio,F. Venâncio,D,21,186,71,M,254815,EUR,728784000,D,21,21,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514217,home,Santa Clara,Vital Maia,Vital Maia,,vital-maia,V. Maia,F,15,181,8,M,2040449,EUR,1171670400,F,15,15,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514217,away,Casa Pia,Patrick Sequeira,,,patrick-sequeira,P. Sequeira,G,1,190,969,M,821628,EUR,920246400,G,1,1,False,,31.0,24.0,7.0,,0.0,24.0,27.0,,4.0,6.0,,4.0,90.0,41.0,6.6,7.0,3.614e-05,0,0.3132,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0
