match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_outfielderBlock,stat_fouls,stat_keyPass,player_firstName,player_lastName,captain,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_unsuccessfulTouch,stat_penaltyConceded,stat_challengeLost,stat_totalContest,stat_totalOffside,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,player_sofascoreId,stat_goalAssist,stat_punches,stat_hitWoodwork,stat_penaltyWon,stat_penaltyMiss
11067480,home,Athletico,Léo Linck,leo-linck,L. Linck,G,24,194,1042,M,1119887,EUR,983577600,G,23,23,False,16.0,13.0,5.0,2.0,12.0,12.0,1.0,4.0,2.0,5.0,2.0,1.0,3.0,2.0,2.0,90.0,26.0,6.6,3.0,0.0,0.0,0.00135613,0,0.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067480,home,Athletico,Pedro Henrique,pedro-henrique,P. Henrique,D,14,188,417,M,551774,EUR,812592000,D,34,34,False,40.0,32.0,5.0,1.0,14.0,18.0,19.0,23.0,3.0,6.0,,,,,,90.0,49.0,6.6,8.0,0.0202,0.0,0.0800861,1,,1.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11067480,home,Athletico,Thiago Heleno,thiago-heleno,T. Heleno,D,44,185,283,M,33106,EUR,590457600,D,44,44,False,48.0,42.0,8.0,4.0,27.0,28.0,15.0,20.0,5.0,4.0,,,,,,90.0,61.0,6.9,6.0,0.0,0.0,0.0200477,0,,,,1.0,2.0,1.0,5.0,,,,,,,True,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11067480,home,Athletico,Zé Ivaldo,ze-ivaldo,Z. Ivaldo,D,2,185,1464,M,844602,EUR,856483200,D,3,3,False,56.0,46.0,4.0,2.0,33.0,36.0,13.0,20.0,1.0,10.0,,,,,,89.0,63.0,6.1,12.0,0.0,0.0,0.00370173,0,,,,1.0,4.0,3.0,5.0,,,2.0,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
11067480,home,Athletico,Khellven,khellven,Khellven,D,12,176,2672,M,984896,EUR,983059200,M,2,2,False,20.0,16.0,1.0,1.0,9.0,11.0,9.0,13.0,,5.0,,,,,,71.0,41.0,6.8,13.0,0.0,0.0,0.0534529,0,,4.0,2.0,1.0,1.0,3.0,1.0,,1.0,,2.0,,,,3.0,,,,3.0,,1.0,1.0,1.0,,,,,,,,,,,,,
11067480,home,Athletico,Erick,erick,Erick,M,14,176,1116,M,874063,EUR,879465600,M,26,26,False,33.0,26.0,,,8.0,10.0,18.0,23.0,1.0,4.0,,,,,,90.0,51.0,6.6,13.0,0.443,0.0,0.60145,4,,,,2.0,1.0,9.0,5.0,4.0,,3.0,1.0,,,,1.0,3.0,2.0,,2.0,,2.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,
11067480,home,Athletico,Hugo Moura,hugo-moura,H. Moura,M,25,177,1953,M,973293,EUR,883785600,M,17,17,False,28.0,24.0,1.0,1.0,13.0,13.0,11.0,15.0,,2.0,,,,,,45.0,34.0,7.1,5.0,0.0,0.0,0.0681906,0,,,,,,1.0,3.0,,,1.0,1.0,,,,1.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,
11067480,home,Athletico,Christian,christian,Christian,M,88,178,1761,M,981733,EUR,977184000,M,88,88,False,35.0,28.0,3.0,1.0,9.0,9.0,20.0,29.0,,1.0,,,,,,71.0,49.0,6.6,12.0,0.642,0.0,0.231615,2,,3.0,1.0,1.0,1.0,5.0,2.0,2.0,,2.0,1.0,,,,,,,1.0,1.0,,,,,2.0,,1.0,1.0,,,,,,,,,
11067480,home,Athletico,Vitor Bueno,vitor-bueno,Vitor Bueno,M,15,183,625,M,808785,EUR,778723200,F,8,8,False,51.0,43.0,3.0,3.0,8.0,8.0,39.0,54.0,,4.0,,,,,,90.0,82.0,8.9,18.0,1.1734,0.9841,0.361936,8,,11.0,4.0,,1.0,3.0,7.0,3.0,,2.0,7.0,,,,,,,1.0,1.0,,,5.0,,1.0,5.0,,,2.0,3.0,1.0,,,,,,
11067480,home,Athletico,Agustín Canobbio,agustin-canobbio,A. Canobbio,M,17,175,3082,M,846413,EUR,907200000,F,14,14,False,36.0,30.0,,,5.0,6.0,25.0,30.0,,4.0,,,,,,79.0,46.0,6.9,7.0,0.1775,0.3984,0.0619896,3,,,,1.0,2.0,9.0,5.0,1.0,,3.0,1.0,,,,,,,,1.0,,5.0,3.0,,,3.0,,,1.0,1.0,,,,,,,
