match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_totalTackle,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_clearanceOffLine,stat_outfielderBlock,stat_errorLeadToAGoal,stat_keyPass,player_firstName,player_lastName,stat_fouls,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,player_sofascoreId,stat_totalOffside
12530762,home,Kayserispor,Bilal Bayazit,bilal-bayazit,B. Bayazit,G,25,185,235,M,825850,EUR,923529600,G,25,25,False,30.0,14.0,25.0,9.0,0.0,10.0,13.0,4.0,17.0,1.0,3.0,8.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,90.0,39.0,7.0,16.0,0.00248277,0,0.5363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530762,home,Kayserispor,Gökhan Sazdağı,gokhan-sazdagi,G. Sazdağı,D,25,179,949,M,595396,EUR,780019200,D,11,11,False,34.0,24.0,7.0,5.0,0.0,15.0,18.0,9.0,17.0,2.0,8.0,3.0,5.0,,,,,,,90.0,64.0,7.1,17.0,0.00738068,0,,1.0,4.0,6.0,2.0,1.0,1.0,5.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
12530762,home,Kayserispor,Dimitris Kolovetsios,dimitris-kolovetsios,D. Kolovetsios,D,,183,103,M,68228,EUR,687571200,D,4,4,False,29.0,21.0,10.0,3.0,0.0,16.0,19.0,5.0,10.0,,2.0,1.0,2.0,,,,,,,90.0,43.0,6.7,8.0,0.00453216,0,,,1.0,1.0,,,,7.0,2.0,1.0,,True,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12530762,home,Kayserispor,Arif Kocaman,kocaman-arif,A. Kocaman,D,43,184,69,M,1173638,EUR,1063497600,D,54,54,False,15.0,10.0,6.0,2.0,0.0,10.0,11.0,,4.0,2.0,2.0,2.0,,,,,,,,45.0,22.0,6.4,5.0,0.00010092,0,,,1.0,2.0,,,,6.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
12530762,home,Kayserispor,Hasan Ali Kaldırım,hasan-ali-kaldirim,H. A. Kaldırım,D,3,182,94,M,39847,EUR,629164800,D,33,33,False,28.0,20.0,12.0,7.0,0.0,9.0,13.0,11.0,15.0,1.0,2.0,3.0,1.0,,,,,,,90.0,39.0,6.4,9.0,0.0150014,0,,,,3.0,1.0,,,4.0,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,
12530762,home,Kayserispor,Ali Karimi,ali-karimi,A. Karimi,M,24,186,411,M,803869,EUR,760924800,M,6,6,False,30.0,17.0,4.0,2.0,0.0,9.0,11.0,8.0,20.0,3.0,3.0,5.0,,,,,,,,85.0,47.0,6.7,16.0,0.170976,3,,1.0,6.0,10.0,1.0,,,5.0,2.0,,,,,2.0,,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,0.0784,0.0693,,,,,,
12530762,home,Kayserispor,Kartal Kayra Yılmaz,kartal-kayra-yilmaz,K. K. Yılmaz,M,17,177,1057,M,966811,EUR,973296000,M,8,8,False,31.0,22.0,1.0,,0.0,12.0,14.0,10.0,22.0,1.0,4.0,9.0,3.0,,,,,,,90.0,51.0,7.2,16.0,0.0231671,3,,5.0,,4.0,,,,3.0,,2.0,,,,,,,,,3.0,2.0,,3.0,,,0.0812,0.1993,,,,,,
12530762,home,Kayserispor,Carlos Mané,carlos-mane,C. Mané,M,20,172,381,M,859748,EUR,763344000,M,20,20,False,25.0,20.0,2.0,1.0,1.0,8.0,10.0,13.0,16.0,2.0,2.0,4.0,,,,,,,,77.0,33.0,6.9,7.0,0.227741,1,,1.0,1.0,3.0,,,,,2.0,,2.0,,,,,2.0,,,2.0,,1.0,,,,0.1811,,1.0,1.0,1.0,,,
12530762,home,Kayserispor,Mehdi Bourabia,mehdi-bourabia,M. Bourabia,M,,183,403,M,98003,EUR,681523200,M,10,10,False,29.0,21.0,3.0,2.0,1.0,9.0,11.0,12.0,18.0,1.0,1.0,3.0,,,,,,,,77.0,39.0,7.0,13.0,0.180721,0,,,1.0,4.0,,1.0,,1.0,1.0,,3.0,,,,,3.0,,,1.0,1.0,,,,,,,,1.0,,,,
12530762,home,Kayserispor,Miguel Cardoso,miguel-cardoso,M. Cardoso,M,7,176,326,M,344009,EUR,771984000,M,7,7,False,13.0,11.0,2.0,1.0,1.0,6.0,7.0,5.0,12.0,2.0,7.0,2.0,2.0,3.0,,,,,,89.0,32.0,8.2,11.0,0.124767,2,,6.0,1.0,6.0,1.0,,,,,2.0,2.0,,,,,1.0,,,3.0,1.0,,2.0,,,0.2123,0.8108,,1.0,,1.0,,
