match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_totalContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,player_firstName,player_lastName,stat_aerialLost,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_sofascoreId,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_bigChanceCreated,stat_goals,captain,stat_savedShotsFromInsideTheBox,stat_totalOffside
12499290,home,Lazio,Ivan Provedel,ivan-provedel,I. Provedel,G,94,194,1818,M,308182,EUR,763862400,G,94,94,False,37.0,28.0,18.0,10.0,0.0,25.0,27.0,3.0,10.0,2.0,2.0,2.0,17.0,1.0,7.0,1.0,1.0,90.0,52.0,7.3,9.0,0.00189812,0,-0.4625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499290,home,Lazio,Manuel Lazzari,manuel-lazzari,M. Lazzari,D,29,173,753,M,273405,EUR,754531200,D,29,29,False,32.0,28.0,2.0,2.0,0.0,13.0,14.0,15.0,23.0,,2.0,,1.0,,,,,89.0,50.0,6.8,11.0,0.00545418,0,,5.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12499290,home,Lazio,Mario Gila Fuentes,mario-gila-fuentes,M. Gila,D,34,183,1766,M,965828,EUR,967507200,D,34,34,False,80.0,71.0,5.0,4.0,0.0,43.0,46.0,28.0,34.0,2.0,6.0,2.0,4.0,,,,,90.0,91.0,7.0,10.0,0.021847,0,,,4.0,,,2.0,1.0,2.0,,,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
12499290,home,Lazio,Alessio Romagnoli,alessio-romagnoli,A. Romagnoli,D,13,185,1922,M,227864,EUR,789868800,D,13,13,False,72.0,67.0,6.0,3.0,0.0,55.0,57.0,12.0,15.0,2.0,3.0,,3.0,,,,,90.0,74.0,6.6,5.0,0.0035352,0,,,2.0,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
12499290,home,Lazio,Nuno Tavares,nuno-tavares,N. Tavares,D,17,185,4853,M,944973,EUR,948844800,D,30,30,False,41.0,34.0,2.0,1.0,0.0,18.0,19.0,17.0,27.0,1.0,7.0,3.0,5.0,,,,,90.0,72.0,6.8,17.0,0.0353646,3,,5.0,4.0,4.0,,1.0,1.0,3.0,,,,,3.0,,1.0,nuno_tavares71,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.2992,0.2864,,,,,,
12499290,home,Lazio,Mattéo Guendouzi,matteo-guendouzi,M. Guendouzi,M,6,185,7016,M,852404,EUR,924048000,M,8,8,False,59.0,55.0,3.0,2.0,0.0,25.0,26.0,30.0,33.0,,5.0,,1.0,,,,,90.0,74.0,7.1,7.0,0.020367,0,,,3.0,1.0,,3.0,1.0,1.0,,,1.0,2.0,2.0,2.0,1.0,MatteoGuendouzi,,,,1.0,,,,,,,,,,,
12499290,home,Lazio,Nicolò Rovella,nicolo-rovella,N. Rovella,M,6,179,2966,M,937324,EUR,1007424000,M,6,6,False,63.0,60.0,3.0,2.0,0.0,33.0,35.0,27.0,29.0,,3.0,1.0,3.0,,,,,81.0,70.0,7.1,4.0,0.0260364,1,,1.0,4.0,,,3.0,2.0,,,,2.0,,,2.0,1.0,,,,,,,1.0,,0.0146,0.124,,,,,,
12499290,home,Lazio,Gustav Isaksen,gustav-isaksen,G. Isaksen,M,18,181,3333,M,976381,EUR,987638400,M,18,18,False,29.0,23.0,1.0,1.0,0.0,8.0,8.0,16.0,25.0,,1.0,,,,,,,66.0,39.0,6.6,11.0,0.0127883,1,,4.0,4.0,1.0,,,,1.0,,,3.0,,,,,,1.0,,,,,,,0.0174,,1.0,,,,,
12499290,home,Lazio,Boulaye Dia,dia-boulaye,B. Dia,F,19,180,11046,M,960080,EUR,848102400,M,19,19,False,28.0,27.0,1.0,1.0,0.0,13.0,13.0,14.0,15.0,,4.0,,2.0,,,,,90.0,40.0,7.9,6.0,0.468634,2,,,5.0,3.0,,1.0,,,,,2.0,,4.0,2.0,2.0,boulaye_dia,,,1.0,3.0,,2.0,,0.142,0.7972,,1.0,1.0,,,
12499290,home,Lazio,Mattia Zaccagni,mattia-zaccagni,M. Zaccagni,M,10,176,4751,M,293581,EUR,803260800,M,10,10,False,26.0,19.0,1.0,1.0,2.0,2.0,2.0,19.0,30.0,1.0,4.0,,2.0,,,,,89.0,49.0,7.9,17.0,0.314428,2,,6.0,5.0,2.0,,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,5.0,,2.0,1.0,2.0,1.0,1.0,1.0,,0.4346,0.0339,1.0,1.0,,True,,
12499290,home,Lazio,Valentín Castellanos,valentin-castellanos,V. Castellanos,F,11,179,10645,M,877013,EUR,907372800,F,11,11,False,15.0,7.0,,,0.0,1.0,1.0,6.0,15.0,4.0,5.0,,,,,,,66.0,22.0,7.3,10.0,0.00225075,2,,1.0,5.0,1.0,,,,,,,3.0,,1.0,1.0,,tatycastellanos11,,1.0,,1.0,,1.0,1.0,0.2645,0.8992,,,1.0,,,
12499290,home,Lazio,Gaetano Castrovilli,gaetano-castrovilli,G. Castrovilli,M,8,185,640,M,587628,EUR,856137600,M,22,22,True,9.0,8.0,,,0.0,3.0,4.0,5.0,5.0,,1.0,,,,,,,24.0,13.0,6.7,2.0,0.00674619,1,,,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,,,,,,,,0.0171,,1.0,,,,,
12499290,home,Lazio,Loum Tchaouna,loum-tchaouna,L. Tchaouna,F,17,180,1357,M,1004505,EUR,1062979200,F,20,20,True,4.0,3.0,,,0.0,1.0,1.0,2.0,4.0,1.0,2.0,,1.0,,,,,24.0,9.0,6.8,2.0,0.00184892,2,,1.0,5.0,,,1.0,1.0,,,,3.0,,,1.0,,,,1.0,,,,1.0,,0.0493,0.153,1.0,,,,,
12499290,home,Lazio,Matías Vecino,matias-vecino,M. Vecino,M,15,187,1431,M,158615,EUR,682992000,M,5,5,True,8.0,7.0,,,0.0,1.0,1.0,6.0,7.0,,,,1.0,,,,,9.0,8.0,6.4,1.0,0.00304487,0,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
12499290,home,Lazio,Adam Marušić,adam-marusic,A. Marušić,D,77,185,1131,M,267619,EUR,719280000,D,77,77,True,,,,,0.0,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12499290,home,Lazio,Tijjani Noslin,tijjani-noslin,T. Noslin,F,14,177,1223,M,1069244,EUR,931305600,F,14,14,True,2.0,1.0,,,0.0,,,1.0,2.0,1.0,1.0,,,,,,,1.0,2.0,,1.0,0.00075738,0,,,2.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,
12499290,home,Lazio,Alessio Furlanetto,alessio-furlanetto,A. Furlanetto,G,55,191,176,M,984095,EUR,1013040000,G,55,55,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
