match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_challengeLost,stat_totalContest,stat_outfielderBlock,stat_wonContest,stat_blockedScoringAttempt,stat_goals,stat_bigChanceCreated,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalsPrevented,stat_errorLeadToAShot
12514166,home,FC Porto,Diogo Costa,diogo-costa,D. Costa,G,99,186,12694,M,diogomcosta99,843115,EUR,937699200,G,99,99,False,True,16.0,14.0,5.0,3.0,0.0,13.0,15.0,1.0,1.0,8.0,1.0,90.0,24.0,6.9,2.0,0.00264139,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514166,home,FC Porto,Martim Fernandes,martim-fernandes,M. Fernandes,D,52,181,1999,M,,1142585,EUR,1137542400,D,52,52,False,,32.0,24.0,5.0,1.0,0.0,13.0,14.0,12.0,24.0,2.0,,90.0,60.0,6.9,19.0,0.106362,0,,,6.0,1.0,4.0,2.0,6.0,4.0,1.0,2.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12514166,home,FC Porto,Nehuén Pérez,nehuen-perez,N. Pérez,D,18,184,3369,M,,913401,EUR,961804800,D,24,24,False,,66.0,62.0,4.0,3.0,0.0,43.0,43.0,19.0,23.0,3.0,,90.0,76.0,7.4,6.0,0.00753984,2,,,,,,5.0,2.0,6.0,,,2.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,0.3111,0.3787,1.0,,,,,,,,,,,,,,,
12514166,home,FC Porto,Otávio,otavio,Otávio,D,6,188,1431,M,,1069159,EUR,1019347200,D,4,4,False,,96.0,89.0,6.0,6.0,0.0,48.0,49.0,41.0,47.0,7.0,,90.0,108.0,7.5,10.0,0.0217124,0,,,,,,1.0,4.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,2.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,
12514166,home,FC Porto,Wenderson Galeno,wenderson-galeno,W. Galeno,M,13,178,4340,M,w_galeno90,845754,EUR,877478400,D,13,13,False,,55.0,45.0,6.0,2.0,0.0,15.0,17.0,30.0,38.0,6.0,,89.0,79.0,7.3,18.0,0.019807,2,,,,,,2.0,4.0,5.0,,3.0,,5.0,1.0,3.0,,2.0,,2.0,1.0,0.0861,,,1.0,,1.0,,,,,,,,,,,,
12514166,home,FC Porto,Nico González,nico-gonzalez,N. González,M,14,186,19859,M,nico14,954056,EUR,1010016000,M,16,16,False,,67.0,61.0,2.0,2.0,0.0,26.0,27.0,35.0,42.0,3.0,,90.0,86.0,8.3,10.0,0.0427977,2,,,2.0,,,4.0,4.0,14.0,1.0,1.0,,,4.0,2.0,,,1.0,4.0,3.0,0.3462,0.9312,,,3.0,1.0,2.0,1.0,1.0,,,,,,,,,
12514166,home,FC Porto,Stephen Eustaquio,stephen-eustaquio,S. Eustaquio,M,6,178,1808,M,,886223,EUR,851126400,M,6,6,False,,66.0,61.0,4.0,3.0,0.0,29.0,30.0,33.0,37.0,6.0,,89.0,79.0,7.1,6.0,0.032429,0,,,1.0,1.0,4.0,1.0,8.0,7.0,,2.0,,1.0,2.0,3.0,,,,4.0,,,,2.0,1.0,,1.0,,,,,,,,,,,,
12514166,home,FC Porto,Fábio Vieira,fabio-vieira,F. Vieira,M,20,170,6618,M,fabiodfvieira,904835,EUR,959644800,M,10,10,False,,34.0,22.0,5.0,1.0,1.0,9.0,11.0,17.0,31.0,4.0,,84.0,54.0,8.3,17.0,0.340325,2,,,8.0,4.0,1.0,2.0,4.0,5.0,,1.0,,,2.0,2.0,,1.0,1.0,1.0,,0.1727,0.1961,5.0,,1.0,,,,,2.0,1.0,,,,,,,
12514166,home,FC Porto,Danny Namaso,danny-namaso,D. Namaso,F,19,182,4899,M,,867440,EUR,967420800,M,19,19,False,,21.0,18.0,1.0,,0.0,2.0,2.0,18.0,21.0,2.0,,68.0,36.0,6.9,10.0,0.157701,1,,,2.0,2.0,1.0,3.0,9.0,7.0,4.0,,1.0,1.0,2.0,1.0,,,,1.0,1.0,0.0215,,,1.0,3.0,,1.0,1.0,,,,,,,,,,
12514166,home,FC Porto,Pepê,pepe,Pepê,F,11,175,5029,M,pepe,882664,EUR,856742400,M,11,11,False,,27.0,21.0,1.0,,0.0,7.0,8.0,16.0,26.0,3.0,,69.0,52.0,7.1,15.0,0.057592,2,,,7.0,2.0,,2.0,4.0,8.0,,,,2.0,2.0,1.0,,1.0,,2.0,1.0,0.0784,,1.0,1.0,5.0,,3.0,1.0,,,,,,,,,,
