match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_bigChanceCreated,stat_keyPass,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_goals,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_dispossessed,stat_interceptionWon,captain,stat_blockedScoringAttempt,stat_penaltyWon,stat_totalOffside,stat_goodHighClaim,stat_penaltyFaced,stat_outfielderBlock,stat_penaltyConceded,stat_clearanceOffLine
13189388,home,Manchester City,Ederson,ederson,Ederson,G,31,188.0,48446,M,Ederson93,254491,EUR,745545600,G,31,31,False,45.0,37.0,12.0,4.0,0.0,35.0,38.0,2.0,7.0,1.0,7.0,2.0,2.0,1.0,1.0,90.0,54.0,7.2,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13189388,home,Manchester City,Jahmai Simpson-Pusey,jahmai-simpson-pusey,J. Simpson-Pusey,D,22,187.0,1904,M,,1402924,EUR,1131062400,D,66,66,False,59.0,53.0,4.0,2.0,0.0,32.0,35.0,21.0,24.0,3.0,6.0,,,,,90.0,65.0,7.0,6.0,1,Jahmai Simpson-Pusey,,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
13189388,home,Manchester City,Nathan Aké,nathan-ake,N. Aké,D,6,180.0,21204,M,nathanake,149663,EUR,793065600,D,6,6,False,26.0,26.0,1.0,1.0,0.0,19.0,19.0,7.0,7.0,,,,,,,45.0,26.0,6.9,,0,,,2.0,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
13189388,home,Manchester City,Nico O'Reilly,nico-o-reilly,N. O’Reilly,D,33,193.0,16113,M,,1142703,EUR,1111363200,D,75,75,False,69.0,61.0,3.0,,0.0,33.0,37.0,29.0,34.0,2.0,10.0,,,,,90.0,89.0,8.4,10.0,2,Nico,O’Reilly,,1.0,2.0,8.0,,1.0,4.0,3.0,,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
13189388,home,Manchester City,Matheus Nunes,matheus-nunes,M. Nunes,D,27,183.0,19609,M,matheusnunes,945122,EUR,904176000,M,27,27,False,53.0,45.0,6.0,3.0,1.0,19.0,23.0,26.0,30.0,1.0,3.0,,,,,90.0,73.0,7.4,14.0,0,,,1.0,1.0,3.0,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,2.0,,,,,,,,,,
13189388,home,Manchester City,James McAtee,james-mcatee,J. McAtee,M,24,180.0,10486,M,jamesmcatee_,1003334,EUR,1034899200,M,87,87,False,41.0,34.0,2.0,1.0,0.0,14.0,14.0,20.0,28.0,,5.0,,,,,90.0,57.0,9.5,12.0,4,,,3.0,,4.0,2.0,,3.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,3.0,2.0,1.0,,,1.0,,,,,,,,,
13189388,home,Manchester City,İlkay Gündoğan,ilkay-gundogan,İ. Gündoğan,M,20,180.0,50691,M,IGunny,45853,EUR,656726400,M,19,19,False,60.0,51.0,7.0,4.0,0.0,17.0,19.0,34.0,41.0,3.0,3.0,,,,,90.0,74.0,6.7,13.0,2,,,,2.0,4.0,4.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,2.0,1.0,2.0,1.0,,True,1.0,,,,,,,
13189388,home,Manchester City,Jack Grealish,jack-grealish,J. Grealish,M,18,180.0,57959,M,JGrealish,189061,EUR,810691200,M,10,10,False,39.0,32.0,1.0,1.0,2.0,9.0,11.0,23.0,31.0,,3.0,,,,,90.0,55.0,9.5,11.0,2,,,3.0,,6.0,7.0,,1.0,2.0,1.0,2.0,4.0,3.0,,,2.0,1.0,,1.0,,4.0,2.0,,,,1.0,1.0,,,,,,
13189388,home,Manchester City,Savinho,savio,Savinho,M,26,176.0,52195,M,Savinho,1046795,EUR,1081555200,F,26,26,False,14.0,12.0,,,0.0,4.0,5.0,8.0,10.0,,3.0,,,,,55.0,24.0,6.9,9.0,2,,,,,2.0,,,,,,,2.0,1.0,,1.0,,,2.0,,5.0,,,1.0,,,,,,,,,,
13189388,home,Manchester City,Jérémy Doku,jeremy-doku,J. Doku,M,11,173.0,71179,M,Dokss,934386,EUR,1022457600,F,11,11,False,18.0,18.0,,,2.0,2.0,2.0,17.0,19.0,,1.0,,,,,74.0,39.0,9.5,8.0,5,,,,,5.0,3.0,,2.0,1.0,,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,1.0,3.0,,,2.0,,,,,,,
13189388,home,Manchester City,Divin Mubama,mubama-divin,D. Mubama,F,9,183.0,2428,M,,1167025,EUR,1098662400,F,67,67,False,10.0,10.0,,,0.0,6.0,6.0,4.0,4.0,,2.0,,,,,90.0,21.0,7.2,6.0,1,,,3.0,1.0,5.0,4.0,,1.0,1.0,,,,,,,,,,1.0,5.0,2.0,1.0,1.0,,,,,4.0,,,,,
13189388,home,Manchester City,Manuel Akanji,manuel-akanji,M. Akanji,D,25,187.0,22626,M,manuel_akanji,383560,EUR,806112000,D,25,25,True,38.0,35.0,2.0,2.0,0.0,28.0,31.0,7.0,7.0,2.0,1.0,,,,,45.0,42.0,6.8,3.0,0,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,
