match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_challengeLost,stat_onTargetScoringAttempt,player_sofascoreId,stat_aerialLost,stat_goalAssist,stat_bigChanceCreated,stat_keyPass,stat_wonContest,captain,stat_shotOffTarget,stat_blockedScoringAttempt,stat_accurateCross,stat_totalOffside,stat_goals,stat_crossNotClaimed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal,stat_hitWoodwork,stat_bigChanceMissed
10385377,home,Crystal Palace,Vicente Guaita,vicente-guaita,V. Guaita,G,13,190,509,M,32023,EUR,537235200,G,13,13,False,24.0,13.0,13.0,2.0,11.0,13.0,2.0,11.0,1.0,1.0,3.0,9.0,4.0,4.0,1.0,90.0,37.0,8.0,11.0,0.0,0.0,0.00013675,0,0.7235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385377,home,Crystal Palace,Joel Ward,joel-ward,J. Ward,D,25,188,258,M,39183,EUR,625622400,D,2,2,False,36.0,27.0,6.0,2.0,6.0,7.0,21.0,30.0,1.0,4.0,10.0,6.0,,,,90.0,64.0,7.3,14.0,0.0,0.0,0.0318307,0,,,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10385377,home,Crystal Palace,Joachim Andersen,joachim-andersen,J. Andersen,D,5,190,2378,M,362682,EUR,833500800,D,16,16,False,48.0,32.0,12.0,2.0,25.0,30.0,7.0,18.0,6.0,7.0,7.0,8.0,,,,90.0,60.0,6.9,18.0,0.09,0.0356,0.00519969,1,,,,,2.0,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
10385377,home,Crystal Palace,Marc Guéhi,marc-guehi,M. Guéhi,D,15,182,22326,M,877994,EUR,963446400,D,6,6,False,41.0,32.0,7.0,5.0,19.0,25.0,13.0,16.0,1.0,3.0,1.0,10.0,,,,90.0,46.0,7.1,9.0,0.0,0.0,0.00817093,0,,,,,2.0,,,1.0,,1.0,1.0,,1.0,1.0,,,MarcGuehi13,1.0,,,,,,,,,,,,,,,,
10385377,home,Crystal Palace,Tyrick Mitchell,tyrick-mitchell,T. Mitchell,M,3,174,1388,M,988275,EUR,936144000,D,3,3,False,35.0,19.0,5.0,2.0,2.0,8.0,17.0,27.0,1.0,3.0,1.0,4.0,,,,90.0,48.0,7.4,17.0,0.0,0.0,0.349741,0,,,,,4.0,,,1.0,,2.0,2.0,,,1.0,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
10385377,home,Crystal Palace,Jeffrey Schlupp,jeffrey-schlupp,J. Schlupp,D,27,178,764,M,148710,EUR,725068800,M,15,15,False,29.0,22.0,3.0,,7.0,10.0,15.0,21.0,1.0,5.0,1.0,8.0,,,,90.0,47.0,6.5,15.0,0.0,0.0,0.0317905,0,,,,2.0,8.0,1.0,2.0,,1.0,2.0,2.0,4.0,1.0,3.0,,,,3.0,,,1.0,1.0,,,,,,,,,,,,
10385377,home,Crystal Palace,Luka Milivojević,luka-milivojevic,L. Milivojević,M,19,183,512,M,50294,EUR,670982400,M,4,4,False,43.0,33.0,2.0,1.0,11.0,14.0,22.0,29.0,4.0,8.0,4.0,4.0,,,,90.0,60.0,7.3,11.0,0.1608,0.0,0.0198201,3,,,,,4.0,1.0,,,2.0,4.0,3.0,,,1.0,,,,2.0,,,1.0,,True,2.0,1.0,,,,,,,,,
10385377,home,Crystal Palace,Eberechi Eze,eberechi-eze,E. Eze,F,10,178,55840,M,864921,EUR,899078400,M,10,10,False,30.0,26.0,4.0,2.0,6.0,6.0,21.0,28.0,,4.0,1.0,2.0,,,,63.0,47.0,7.1,11.0,0.1065,0.3145,0.15182,3,,,,4.0,5.0,1.0,3.0,,,2.0,1.0,1.0,,1.0,,1.0,eze,2.0,,,2.0,2.0,,2.0,,1.0,,,,,,,,
10385377,home,Crystal Palace,Michael Olise,michael-olise,M. Olise,M,17,185,76795,M,978838,EUR,1008115200,F,7,7,False,45.0,33.0,5.0,2.0,7.0,8.0,26.0,43.0,1.0,9.0,4.0,9.0,,,,86.0,73.0,7.1,24.0,0.0929,0.0,0.038729,2,,,,6.0,7.0,1.0,4.0,,,3.0,1.0,,3.0,2.0,1.0,,MOlise,1.0,,,1.0,2.0,,,2.0,,2.0,,,,,,,
10385377,home,Crystal Palace,Odsonne Édouard,odsonne-edouard,O. Édouard,F,11,187,6612,M,795228,EUR,884908800,F,22,22,False,15.0,12.0,,,1.0,1.0,11.0,14.0,1.0,4.0,,4.0,,,,75.0,29.0,7.4,9.0,0.2852,0.4117,0.0194826,2,,,,,7.0,3.0,2.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,2.0,,,3.0,1.0,,,1.0,,1.0,1.0,,,,,,
10385377,home,Crystal Palace,Wilfried Zaha,wilfried-zaha,W. Zaha,M,10,180,18787,M,111850,EUR,721353600,F,11,11,False,28.0,22.0,1.0,1.0,1.0,2.0,22.0,28.0,,12.0,,8.0,,,,90.0,52.0,7.2,13.0,0.1562,0.0,0.052723,1,,,,2.0,5.0,2.0,6.0,,,2.0,2.0,3.0,5.0,,1.0,,wilfriedzaha,1.0,,,2.0,5.0,,,1.0,1.0,2.0,,,,,,,
10385377,home,Crystal Palace,Jordan Ayew,jordan-ayew,J. Ayew,F,9,182,13272,M,103045,EUR,684547200,F,9,9,True,20.0,14.0,1.0,,4.0,4.0,10.0,16.0,1.0,4.0,1.0,3.0,,,,27.0,26.0,6.6,8.0,0.0,0.0,0.00554697,0,,,,,5.0,1.0,2.0,,,2.0,1.0,,,1.0,1.0,,jordanayew9,1.0,,,,1.0,,,,,,,,,,,,
