match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,player_id,player_name,playerName,reason,rescinded
10913503,FT,2.0,3.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,
10913503,,,,,90,5.0,,1,,,substitution,121596230.0,True,False,injury,,,,,
10913503,,2.0,3.0,,90,2.0,,1,,,goal,168206888.0,,False,regular,118368.0,Knowledge Musona,,,
10913503,,,,,77,,,14,,,substitution,121596217.0,True,True,injury,,,,,
10913503,,2.0,2.0,,70,,,21,,,goal,168206856.0,,True,regular,893307.0,Firas Al-Buraikan,,,
10913503,,,,,62,,,29,,,substitution,121596210.0,False,False,regular,,,,,
10913503,,,,,58,,,33,,,substitution,121596209.0,False,True,regular,,,,,
10913503,,,,,55,,,36,,,card,120644037.0,,True,yellow,818616.0,Mohammed Al-Fuhaid,Mohammed Al-Fuhaid,Foul,False
10913503,HT,1.0,2.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,
10913503,,,,,45,8.0,,1,,,substitution,121596205.0,True,False,injury,,,,,
10913503,,,,,45,1.0,,1,,,card,120644024.0,,False,yellow,887343.0,Alfa Semedo,Alfa Semedo,Foul,False
10913503,,,,,40,,,6,,,substitution,121596201.0,True,True,injury,,,,,
10913503,,1.0,2.0,,29,,,17,,,goal,168206752.0,,False,regular,979125.0,Guy Mbenza,,,
10913503,,1.0,1.0,,17,,,29,,,goal,168206715.0,,False,regular,118368.0,Knowledge Musona,,,
10913503,,1.0,0.0,,7,,,39,,,goal,168206696.0,,True,regular,893307.0,Firas Al-Buraikan,,,
