match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalCross,stat_bigChanceCreated,stat_outfielderBlock,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,captain,stat_shotOffTarget,stat_totalOffside,stat_expectedGoalsOnTarget,stat_wonContest,stat_goals,stat_goodHighClaim,stat_errorLeadToAGoal,stat_clearanceOffLine,stat_hitWoodwork
12421185,home,Standard Liège,Dennis Eckert Ayensa,,,dennis-eckert-ayensa,D. Eckert,F,181.0,542,M,812797,EUR,852768000,F,11,11,False,31.0,26.0,,,0.0,13.0,15.0,13.0,16.0,2.0,4.0,,,,,87.0,47.0,7.9,7.0,0.0242696,5,,10,3.0,1.0,6.0,4.0,1.0,1.0,,2.0,0.8456,1.0,1.0,,,,1.0,,,,2.0,,3.0,2.0,,1.0,,0.8843,2.0,1.0,,,,
12421185,home,Standard Liège,Sotiris Alexandropoulos,,,sotiris-alexandropoulos,S. Alexandropoulos,M,186.0,870,M,947477,EUR,1006732800,M,6,6,True,6.0,3.0,2.0,,0.0,,3.0,3.0,3.0,1.0,2.0,,,,,12.0,8.0,6.8,3.0,0.0113782,0,,14,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
12421185,home,Standard Liège,Andreas Hountondji,,,hountondji-andreas,A. Hountondji,F,190.0,3805,M,1112796,EUR,1026345600,F,77,77,True,4.0,3.0,,,0.0,2.0,2.0,1.0,2.0,1.0,2.0,,,,,12.0,9.0,6.6,3.0,0.00025784,0,,27,1.0,,3.0,2.0,1.0,,,,,,,,,,,,,,3.0,,,1.0,,,,,2.0,,,,,
12421185,home,Standard Liège,Boško Šutalo,,,bosko-sutalo,B. Šutalo,D,188.0,725,M,942992,EUR,946684800,D,4,4,True,1.0,,,,0.0,,1.0,,,3.0,,,,,,10.0,5.0,6.6,1.0,,0,,21,1.0,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
12421185,home,Standard Liège,Ibrahim Karamoko,,,karamoko-ibrahim,I. Karamoko,M,187.0,135,M,966263,EUR,995846400,D,20,20,True,4.0,2.0,1.0,,0.0,,1.0,2.0,3.0,3.0,1.0,,,,,10.0,8.0,6.7,2.0,0.00134775,1,,20,,1.0,,1.0,,,,,0.0521,,,,,,,,,,,,,,,1.0,,,,,,,,
12421185,home,Standard Liège,Souleyman Doumbia,,,souleyman-doumbia,S. Doumbia,D,175.0,137,M,366760,EUR,843523200,D,15,15,True,4.0,4.0,,,0.0,,,4.0,4.0,1.0,,,,,,1.0,7.0,,1.0,0.00259185,0,,15,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
12421185,home,Standard Liège,Tom Poitoux,Tom Poitoux,,tom-poitoux,T. Poitoux,G,185.0,74,M,1195762,EUR,1117843200,G,99,99,True,,,,,,,,,,,,,,,,,,,,,0,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421185,home,Standard Liège,Viktor Đukanović,,,viktor-dukanovic,V. Đukanović,M,184.0,528,M,1086448,EUR,1075334400,M,10,10,True,,,,,,,,,,,,,,,,,,,,,0,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421185,home,Standard Liège,Marko Bulat,,,marko-bulat,M. Bulat,M,178.0,837,M,905063,EUR,1001462400,M,7,7,True,,,,,,,,,,,,,,,,,,,,,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421185,home,Standard Liège,Soufiane Benjdida,Soufiane Benjdida,,soufiane-benjdida,S. Benjdida,F,178.0,988,M,1168800,EUR,999561600,F,21,21,True,,,,,,,,,,,,,,,,,,,,,0,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421185,away,KV Kortrijk,Lucas Pirard,,,lucas-pirard,L. Pirard,G,191.0,81,M,190379,EUR,794793600,G,95,95,False,31.0,29.0,9.0,7.0,0.0,26.0,27.0,3.0,4.0,2.0,10.0,3.0,4.0,2.0,2.0,90.0,46.0,7.6,3.0,0.00060514,0,0.7192,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
