match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_shotOffTarget,stat_totalTackle,stat_keyPass,stat_accurateCross,stat_bigChanceCreated,stat_outfielderBlock,stat_wonTackle,stat_goalAssist,stat_challengeLost,player_firstName,player_lastName,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_wasFouled,stat_totalOffside,stat_goals,captain,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_saves,stat_lastManTackle
10382047,home,AFC Ajax,Gerónimo Rulli,geronimo-rulli,G. Rulli,G,1,189,13348,M,gerorulli,128383,EUR,706320000,G,12,12,False,38.0,31.0,11.0,4.0,30.0,32.0,1.0,6.0,1.0,2.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,90.0,48.0,6.6,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382047,home,AFC Ajax,Devyne Rensch,devyne-rensch,D. Rensch,D,2,182,2450,M,,982778,EUR,1042848000,D,15,15,False,54.0,50.0,1.0,1.0,23.0,24.0,27.0,31.0,,3.0,3.0,3.0,,7.0,,,,,90.0,76.0,6.9,9.0,1,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10382047,home,AFC Ajax,Jurriën Timber,jurrien-timber,J. Timber,D,12,179,21701,M,jurrientimber,958959,EUR,992736000,D,2,2,False,90.0,85.0,1.0,1.0,42.0,42.0,43.0,48.0,,2.0,3.0,1.0,5.0,10.0,,,,,90.0,108.0,6.9,9.0,2,,,4.0,1.0,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10382047,home,AFC Ajax,Jorrel Hato,jorrel-hato,J. Hato,D,21,182,15501,M,,1153079,EUR,1141689600,D,57,57,False,79.0,73.0,2.0,1.0,36.0,37.0,38.0,43.0,2.0,6.0,1.0,1.0,1.0,4.0,,,,,90.0,95.0,7.5,9.0,0,1.0,1.0,3.0,2.0,,,,,,3.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,
10382047,home,AFC Ajax,Owen Wijndal,owen-wijndal,O. Wijndal,D,5,174,794,M,,836673,EUR,943747200,D,5,5,False,49.0,43.0,1.0,1.0,11.0,11.0,32.0,41.0,2.0,3.0,2.0,,,4.0,,,,,67.0,65.0,6.6,12.0,1,3.0,,3.0,,,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,
10382047,home,AFC Ajax,Edson Álvarez,edson-alvarez,E. Álvarez,M,11,190,10882,M,EdsonAlvarez19,847151,EUR,877651200,M,4,4,False,100.0,93.0,11.0,8.0,46.0,49.0,47.0,51.0,2.0,5.0,,,3.0,14.0,,,,,90.0,117.0,8.3,9.0,2,,2.0,5.0,2.0,,1.0,,1.0,2.0,3.0,4.0,,2.0,,1.0,,,,,,,,,,,,,,
10382047,home,AFC Ajax,Kenneth Taylor,kenneth-taylor,K. Taylor,M,24,182,3631,M,,959806,EUR,1021507200,M,8,8,False,66.0,57.0,1.0,1.0,23.0,24.0,34.0,42.0,1.0,8.0,2.0,1.0,,8.0,,,,,90.0,88.0,7.2,15.0,4,,,4.0,3.0,2.0,1.0,2.0,1.0,2.0,6.0,1.0,,,,5.0,,,,,,,,,,,,,,
10382047,home,AFC Ajax,Mohammed Kudus,mohammed-kudus,M. Kudus,M,20,176,89569,M,Kudus,905163,EUR,965174400,M,20,20,False,40.0,35.0,4.0,3.0,8.0,9.0,27.0,33.0,,15.0,11.0,9.0,,3.0,,,,,90.0,77.0,7.3,16.0,5,2.0,,6.0,4.0,1.0,,3.0,,1.0,2.0,,,,,2.0,,,,,2.0,3.0,4.0,1.0,,,,,,
10382047,home,AFC Ajax,Steven Bergwijn,steven-bergwijn,S. Bergwijn,M,34,178,5149,M,StevenBergwijn,361798,EUR,876268800,M,7,7,False,58.0,52.0,1.0,1.0,15.0,15.0,38.0,46.0,,4.0,7.0,4.0,,8.0,,,,,90.0,74.0,7.5,12.0,4,3.0,,5.0,1.0,1.0,,,,1.0,,3.0,1.0,,,,,1.0,,,1.0,2.0,,,1.0,,,,,
10382047,home,AFC Ajax,Dušan Tadić,dusan-tadic,D. Tadić,F,10,181,12245,M,dusantadic,38560,EUR,595987200,M,10,10,False,57.0,41.0,1.0,,3.0,5.0,45.0,69.0,,1.0,1.0,1.0,,1.0,,,,,90.0,87.0,7.4,31.0,2,17.0,1.0,5.0,3.0,,,1.0,,1.0,,8.0,7.0,,,,,1.0,,,1.0,1.0,,,,True,,,,
