match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,player_firstName,stat_fouls,stat_aerialWon,stat_shotOffTarget,stat_unsuccessfulTouch,player_lastName,stat_dispossessed,stat_totalContest,stat_wonContest,stat_wasFouled,stat_keyPass,stat_challengeLost,captain,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_accurateCross,player_sofascoreId,stat_blockedScoringAttempt
11453051,home,Al Wehda,Abdulquddus Atiah,abdulquddus-atiah,A. Atiah,G,13,183,100,M,925459,EUR,857174400,G,13,13,False,27.0,20.0,12.0,7.0,0.0,17.0,21.0,3.0,6.0,2.0,6.0,1.0,5.0,6.0,1.0,2.0,2.0,90.0,39.0,7.7,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453051,home,Al Wehda,Saeed Almuwallad,saeed-al-muwallad,S. Almuwallad,D,2,184,20,M,872205,EUR,668476800,D,2,2,False,28.0,22.0,5.0,2.0,0.0,17.0,21.0,5.0,10.0,,5.0,,,,,,,90.0,48.0,6.6,12.0,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11453051,home,Al Wehda,Ali Makki,ali-makki,A. Makki,D,5,174,20,M,1399144,EUR,924566400,D,22,22,False,20.0,16.0,4.0,1.0,0.0,14.0,18.0,2.0,2.0,5.0,3.0,,,,,,,90.0,32.0,6.6,5.0,0,,1.0,2.0,2.0,1.0,1.0,2.0,2.0,Ali Makki,1.0,,,,,,,,,,,,,,,,,,,
11453051,home,Al Wehda,Jawad El Yamiq,jawad-el-yamiq,J. E. Yamiq,D,18,190,4432,M,877103,EUR,699321600,D,5,5,False,25.0,22.0,3.0,1.0,0.0,19.0,19.0,3.0,6.0,5.0,5.0,,,,,,,90.0,35.0,6.8,4.0,1,,,,1.0,1.0,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11453051,home,Al Wehda,Islam Ahmed Hawsawi,islam-ahmed-hawsawi,I. A. Hawsawi,D,27,170,30,M,1106232,EUR,1009411200,D,27,27,False,8.0,7.0,1.0,1.0,0.0,,,7.0,8.0,1.0,2.0,,,,,,,83.0,24.0,6.7,5.0,0,,1.0,2.0,2.0,,2.0,,,Hawsawi Islam Ahmed,,,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
11453051,home,Al Wehda,Waleed Bakshween,waleed-bakshween,W. Bakshween,M,,176,23,M,911303,EUR,626832000,M,4,4,False,25.0,19.0,2.0,1.0,0.0,14.0,15.0,5.0,11.0,2.0,2.0,,,,,,,66.0,34.0,6.4,9.0,1,1.0,,3.0,1.0,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,2.0,,,,,,,,,
11453051,home,Al Wehda,Fayçal Fajr,faycal-fajr,F. Fajr,M,76,178,1037,M,143786,EUR,586396800,M,76,76,False,39.0,30.0,5.0,1.0,0.0,20.0,21.0,10.0,22.0,,5.0,,,,,,,90.0,55.0,6.8,17.0,0,4.0,,2.0,6.0,,,3.0,1.0,,,,,4.0,,,2.0,2.0,1.0,1.0,2.0,True,,,,,,,,
11453051,home,Al Wehda,Nawaf Alazizi,nawaf-al-azizi,N. Alazizi,M,,170,7,M,979394,EUR,934243200,M,16,16,False,16.0,12.0,,,0.0,7.0,10.0,5.0,6.0,,4.0,,,,,,,57.0,21.0,6.5,6.0,0,,,2.0,2.0,,,,,,,,,1.0,,1.0,,,2.0,1.0,1.0,,,,,,,,,
11453051,home,Al Wehda,Ala'a Al-Hejji,alaa-al-hejji,A. Al-Hejji,M,18,173,32,M,826242,EUR,817948800,M,88,88,False,35.0,23.0,5.0,3.0,0.0,10.0,13.0,13.0,22.0,1.0,3.0,,,,,,,83.0,47.0,6.6,18.0,0,,3.0,9.0,3.0,,1.0,2.0,,,1.0,,,2.0,,3.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,
11453051,home,Al Wehda,Abdulaziz Noor,abdulaziz-noor,A. Noor,M,24,173,80,M,1085115,EUR,916617600,M,24,24,False,11.0,9.0,,,0.0,5.0,5.0,4.0,6.0,,1.0,,,,,,,83.0,29.0,6.2,10.0,1,,2.0,11.0,6.0,,,2.0,2.0,Abdulaziz Noor,2.0,1.0,1.0,1.0,,2.0,5.0,,3.0,,,,,1.0,,,,,,
11453051,home,Al Wehda,Yahya Naji,yahya-naji,Y. Naji,F,80,170,27,M,984587,EUR,920332800,F,80,80,False,14.0,12.0,1.0,1.0,0.0,9.0,10.0,3.0,4.0,,1.0,,,,,,,90.0,25.0,7.2,7.0,2,,,3.0,3.0,,,1.0,1.0,,,2.0,,1.0,,1.0,2.0,,,,,,,,1.0,2.0,1.0,,,
11453051,home,Al Wehda,Vito van Crooij,vito-van-crooij,V. van Crooij,M,32,172,214,M,385708,EUR,822873600,F,7,7,True,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,,1.0,,,,,,,33.0,8.0,6.3,3.0,0,,,3.0,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,
