match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_challengeLost,stat_shotOffTarget,stat_expectedGoals,player_firstName,player_lastName,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_totalOffside,player_sofascoreId,stat_bigChanceMissed,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork
11406787,home,Hellas Verona,Lorenzo Montipò,lorenzo-montipo,L. Montipò,G,1,191,564,M,253391,EUR,820454400,G,1,1,False,33.0,24.0,15.0,8.0,23.0,25.0,1.0,8.0,1.0,8.0,1.0,1.0,2.0,3.0,90.0,44.0,7.2,9.0,0.00041854,0,0.2664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406787,home,Hellas Verona,Fabien Centonze,fabien-centonze,F. Centonze,D,18,182,177,M,802034,EUR,821750400,D,18,18,False,36.0,22.0,4.0,,12.0,15.0,11.0,28.0,9.0,3.0,1.0,1.0,,,90.0,68.0,6.7,26.0,0.0154085,0,,7.0,1.0,1.0,2.0,6.0,6.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
11406787,home,Hellas Verona,Diego Coppola,diego-coppola,D. Coppola,D,42,192,1399,M,1050692,EUR,1072569600,D,42,42,False,55.0,45.0,11.0,6.0,28.0,32.0,17.0,23.0,5.0,4.0,1.0,1.0,,,90.0,65.0,6.5,11.0,0.00962978,0,,,,5.0,4.0,6.0,,,3.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
11406787,home,Hellas Verona,Paweł Dawidowicz,pawel-dawidowicz,P. Dawidowicz,D,27,188,1744,M,288321,EUR,800928000,D,27,27,False,66.0,59.0,8.0,6.0,43.0,45.0,16.0,21.0,6.0,7.0,4.0,3.0,,,90.0,82.0,7.0,9.0,0.0054292,0,,,,6.0,2.0,8.0,,,4.0,,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
11406787,home,Hellas Verona,Juan Cabal,juan-cabal,J. Cabal,D,32,185,4400,M,988037,EUR,978912000,D,32,32,False,52.0,41.0,5.0,3.0,15.0,20.0,26.0,35.0,14.0,4.0,4.0,3.0,,,90.0,87.0,7.5,17.0,0.0283757,1,,3.0,,1.0,8.0,1.0,,,3.0,,3.0,2.0,2.0,,,,1.0,0.0353,,,,,,,,,,,,,,,,,,
11406787,home,Hellas Verona,Tomáš Suslov,tomas-suslov,T. Suslov,F,31,175,1258,M,964154,EUR,1023408000,M,31,31,False,10.0,9.0,1.0,,3.0,3.0,6.0,8.0,4.0,3.0,,,,,62.0,17.0,6.4,3.0,0.00370549,0,,1.0,,1.0,,3.0,2.0,1.0,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,
11406787,home,Hellas Verona,Ondrej Duda,ondrej-duda,O. Duda,M,11,181,1121,M,246319,EUR,786585600,M,33,33,False,30.0,25.0,5.0,5.0,18.0,21.0,8.0,10.0,2.0,4.0,1.0,,,,45.0,39.0,6.7,9.0,0.0243988,0,,1.0,1.0,1.0,,4.0,,,,1.0,1.0,3.0,1.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,
11406787,home,Hellas Verona,Suat Serdar,suat-serdar,S. Serdar,M,8,183,687,M,800408,EUR,860716800,M,25,25,False,58.0,49.0,7.0,5.0,24.0,27.0,25.0,32.0,6.0,8.0,2.0,2.0,,,83.0,76.0,7.0,14.0,0.0613482,2,,1.0,,,1.0,7.0,2.0,2.0,,,1.0,1.0,1.0,2.0,,2.0,,0.2248,,,3.0,1.0,1.0,0.0487,,,,,,,,,,,,
11406787,home,Hellas Verona,Darko Lazović,darko-lazovic,D. Lazović,M,88,181,680,M,41157,EUR,653356800,M,8,8,False,25.0,17.0,4.0,2.0,2.0,4.0,15.0,24.0,,2.0,,,,,62.0,36.0,7.1,14.0,0.367331,1,,3.0,,,,4.0,2.0,,,,,,,1.0,3.0,1.0,1.0,0.0194,,,1.0,,,,True,1.0,1.0,,,,,,,,,
11406787,home,Hellas Verona,Federico Bonazzoli,federico-bonazzoli,F. Bonazzoli,F,90,182,985,M,284363,EUR,864172800,F,99,99,False,18.0,12.0,2.0,1.0,7.0,8.0,5.0,11.0,4.0,,1.0,1.0,,,73.0,28.0,7.3,10.0,0.00258734,1,,1.0,,,1.0,1.0,,,1.0,,,2.0,2.0,2.0,,,,0.7077,,,,1.0,,0.1856,,,,1.0,1.0,,,,,,,
