match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_dispossessed,stat_totalCross,stat_accurateCross,stat_keyPass,captain,stat_fouls,stat_hitWoodwork,player_sofascoreId,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_goodHighClaim,stat_outfielderBlock,stat_goals
12499456,home,FC St. Pauli,Nikola Vasilj,,,nikola-vasilj,N. Vasilj,G,22,194,1626,M,325061,EUR,817862400,G,22,22,False,40.0,33.0,10.0,3.0,0.0,30.0,31.0,3.0,9.0,3.0,3.0,4.0,90.0,45.0,7.1,7.0,0.00542533,0,0.6525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499456,home,FC St. Pauli,David Nemeth,,,david-nemeth,D. Nemeth,D,4,191,155,M,966889,EUR,984873600,D,4,4,False,52.0,47.0,2.0,1.0,0.0,31.0,32.0,16.0,20.0,7.0,,,90.0,64.0,6.7,8.0,0.0115383,1,,3.0,2.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0753,,,,,,,,,,,,,,,,,,
12499456,home,FC St. Pauli,Hauke Wahl,,,hauke-wahl,H. Wahl,D,5,189,150,M,253469,EUR,766368000,D,5,5,False,79.0,72.0,2.0,1.0,0.0,49.0,53.0,23.0,26.0,11.0,,,90.0,86.0,6.5,8.0,0.0117334,1,,1.0,1.0,4.0,3.0,2.0,,,1.0,1.0,,1.0,1.0,,1.0,0.1226,1.0,,,,,,,,,,,,,,,,,
12499456,home,FC St. Pauli,Siebe Van Der Heyden,,,siebe-van-der-heyden,S. V. D. Heyden,D,44,185,270,M,842164,EUR,896486400,D,44,44,False,33.0,28.0,3.0,,0.0,12.0,13.0,16.0,20.0,,,,33.0,40.0,6.7,6.0,0.0070436,0,,,2.0,,4.0,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
12499456,home,FC St. Pauli,Manolis Saliakas,,,manolis-saliakas,M. Saliakas,M,2,175,358,M,280551,EUR,842486400,M,2,2,False,34.0,25.0,5.0,,0.0,9.0,11.0,17.0,26.0,3.0,,,64.0,40.0,6.4,12.0,0.0353984,0,,,,1.0,,1.0,,,,,1.0,,,,,,,3.0,1.0,,,,,,,,,,,,,,,
12499456,home,FC St. Pauli,Carlo Boukhalfa,,,carlo-boukhalfa,C. Boukhalfa,M,11,185,501,M,939623,EUR,925689600,M,16,16,False,36.0,32.0,1.0,1.0,0.0,9.0,10.0,23.0,27.0,1.0,,,90.0,52.0,6.4,12.0,0.0274418,0,,,,5.0,1.0,,2.0,,,1.0,,1.0,,1.0,,,3.0,1.0,,2.0,,,,,,,,,,,,,,
12499456,home,FC St. Pauli,Eric Smith,,,eric-smith,E. Smith,D,8,191,412,M,542038,EUR,852681600,M,8,8,False,82.0,72.0,9.0,3.0,0.0,33.0,35.0,39.0,49.0,3.0,,,90.0,88.0,6.5,13.0,0.0728727,0,,,1.0,3.0,2.0,1.0,,,,1.0,,,,,1.0,,1.0,2.0,,,True,1.0,,,,,,,,,,,,
12499456,home,FC St. Pauli,Philipp Treu,,,treu-philipp,P. Treu,M,29,172,176,M,979820,EUR,975801600,M,23,23,False,42.0,38.0,,,0.0,17.0,19.0,21.0,23.0,6.0,,,90.0,57.0,6.8,9.0,0.139943,0,,,1.0,2.0,3.0,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,
12499456,home,FC St. Pauli,Morgan Guilavogui,,,morgan-guilavogui,M. Guilavogui,F,29,188,3047,M,990743,EUR,889488000,F,29,29,False,20.0,14.0,,,0.0,2.0,5.0,12.0,15.0,2.0,,,76.0,27.0,6.4,8.0,0.0403714,2,,4.0,1.0,8.0,3.0,,,,1.0,,,,,,2.0,0.3304,2.0,,,,,2.0,,MorganGuila,1.0,1.0,1.0,0.063,,,,,,
12499456,home,FC St. Pauli,Danel Sinani,,,danel-sinani,D. Sinani,F,10,185,628,M,887500,EUR,860198400,F,10,10,False,36.0,30.0,,,0.0,7.0,8.0,27.0,34.0,4.0,,,64.0,48.0,7.5,9.0,0.335692,2,,,,1.0,2.0,,2.0,1.0,,,,,,,1.0,0.0599,,6.0,4.0,3.0,,,,,,,,,1.0,2.0,,,,
