match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_aerialWon,stat_challengeLost,stat_outfielderBlock,player_sofascoreId,stat_dispossessed,stat_keyPass,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_unsuccessfulTouch,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_accurateCross,stat_goalAssist,stat_totalOffside,stat_goals
11035056,home,Cremonese,Mouhamadou Sarr,mouhamadou-sarr,M. Sarr,G,1,190,145,M,954291,EUR,852422400,G,45,45,False,49.0,24.0,33.0,8.0,18.0,24.0,6.0,25.0,1.0,16.0,2.0,6.0,1.0,8.0,90.0,68.0,7.9,26.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11035056,home,Cremonese,Emanuel Aiwu,emanuel-aiwu,E. Aiwu,D,47,187,219,M,924690,EUR,977702400,D,4,4,False,32.0,22.0,7.0,2.0,21.0,26.0,1.0,7.0,5.0,4.0,,,,,73.0,55.0,6.3,12.0,1,,,1.0,1.0,4.0,6.0,1.0,4.0,3.0,3.0,1.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,
11035056,home,Cremonese,Matteo Bianchetti,matteo-bianchetti,M. Bianchetti,D,15,189,179,M,158037,EUR,732326400,D,15,15,False,28.0,18.0,9.0,3.0,12.0,17.0,6.0,11.0,2.0,7.0,,,,,63.0,32.0,6.5,10.0,0,,,,1.0,1.0,2.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
11035056,home,Cremonese,Johan Vásquez,johan-vasquez,J. Vásquez,D,22,185,4792,M,889785,EUR,909014400,D,5,5,False,44.0,35.0,7.0,5.0,24.0,25.0,11.0,19.0,4.0,6.0,,,,,90.0,59.0,7.0,9.0,0,,,,,4.0,5.0,,4.0,2.0,2.0,,,,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,
11035056,home,Cremonese,Charles Pickel,charles-pickel,C. Pickel,M,18,184,11714,M,758664,EUR,863654400,M,6,6,False,27.0,20.0,3.0,2.0,14.0,17.0,6.0,11.0,1.0,7.0,,,,,90.0,40.0,5.8,12.0,0,,,1.0,3.0,13.0,2.0,,1.0,1.0,1.0,,,1.0,1.0,6.0,,charlespickel,3.0,2.0,,,,,,,,,,,,,,,
11035056,home,Cremonese,Marco Benassi,marco-benassi,M. Benassi,M,,183,158,,249629,EUR,778982400,M,26,26,False,15.0,8.0,4.0,,5.0,7.0,3.0,9.0,2.0,1.0,,,,,76.0,28.0,6.3,8.0,0,,,1.0,,3.0,3.0,,,,,,3.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,
11035056,home,Cremonese,Michele Castagnetti,michele-castagnetti,M. Castagnetti,M,4,180,89,M,131910,EUR,630720000,M,19,19,False,26.0,16.0,5.0,1.0,8.0,10.0,8.0,16.0,1.0,6.0,,,,,45.0,28.0,6.4,10.0,0,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
11035056,home,Cremonese,Soualiho Meïté,soualiho-meite,S. Meïté,M,8,187,965,M,139229,EUR,763862400,M,28,28,False,33.0,30.0,1.0,,24.0,24.0,6.0,9.0,1.0,8.0,,,,,90.0,41.0,6.4,4.0,0,,,,,5.0,4.0,,,1.0,1.0,,,2.0,1.0,2.0,,,,,3.0,2.0,,,,,,,,,,,,,
11035056,home,Cremonese,Emanuele Valeri,emanuele-valeri,E. Valeri,D,14,180,836,M,891346,EUR,912988800,M,3,3,False,24.0,18.0,4.0,1.0,11.0,13.0,7.0,11.0,2.0,8.0,,,,,90.0,52.0,5.7,16.0,1,,,,,8.0,1.0,,1.0,,,,,,,2.0,,,,,7.0,1.0,1.0,2.0,,,,,,,,,,,
11035056,home,Cremonese,Frank Tsadjout,frank-tsadjout,F. Tsadjout,F,74,190,197,M,927188,EUR,933120000,F,74,74,False,9.0,6.0,,,3.0,4.0,3.0,5.0,1.0,,,,,,45.0,17.0,6.6,6.0,1,,,,3.0,3.0,2.0,,,,,,1.0,,1.0,,,,,,,,1.0,3.0,,,,,,,,,,,
