match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_keyPass,captain,stat_aerialLost,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_shotValueNormalized,stat_bigChanceCreated,stat_wasFouled,stat_onTargetScoringAttempt,stat_goals,stat_penaltyWon,stat_totalOffside,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_challengeLost,stat_punches
14025096,home,Brentford,Caoimhin Kelleher,,,caoimhin-kelleher,C. Kelleher,G,1,188,9953,M,caoimhinkelleher98,827362,EUR,911779200,G,1,1,False,26.0,24.0,4.0,2.0,0.0,22.0,22.0,2.0,4.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,90.0,37.0,6.7,3.0,0.00053346,41.713278735599,6.0,24.57,14.28,0.1176,0,-0.0433,0.04,0.02,-0.05,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025096,home,Brentford,Michael Kayode,,,michael-kayode,M. Kayode,D,33,179,2419,M,,1137431,EUR,1089417600,D,33,33,False,28.0,22.0,1.0,,0.0,11.0,13.0,11.0,15.0,4.0,3.0,,,,,,90.0,64.0,6.2,17.0,0.12318,73.799053044991,8.0,24.255,24.99,,0,,-0.01,0.08,-0.56,,2.0,1.0,2.0,3.0,5.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14025096,home,Brentford,Nathan Collins,,,nathan-collins,N. Collins,D,22,193,1556,M,,958916,EUR,988588800,D,22,22,False,54.0,44.0,9.0,4.0,0.0,32.0,35.0,12.0,19.0,17.0,10.0,,,,,,90.0,85.0,6.5,14.0,0.0117659,177.31355373565,15.0,128.73,30.555,,2,,0.15,-0.18,0.2,,,,3.0,7.0,6.0,4.0,2.0,3.0,1.0,1.0,1.0,,,1.0,True,4.0,1.0,2.0,2.0,1.0,0.643,-0.56,,,,,,,,,,
14025096,home,Brentford,Sepp van den Berg,,,sepp-van-den-berg,S. van den Berg,D,4,192,2094,M,,924378,EUR,1008806400,D,4,4,False,50.0,43.0,3.0,1.0,0.0,30.0,30.0,13.0,20.0,8.0,3.0,,,,,,90.0,59.0,7.0,7.0,0.011758,189.30986930182,20.0,127.05,23.1,,1,,0.25,0.12,-0.1,,,,6.0,2.0,6.0,,,,,,,,,1.0,,2.0,,,1.0,,0.0911,-0.01,1.0,,,,,,,,,
14025096,home,Brentford,Aaron Hickey,,,hickey-aaron,A. Hickey,D,2,185,842,M,,966869,EUR,1023667200,D,2,2,False,25.0,20.0,2.0,,0.0,8.0,10.0,12.0,15.0,7.0,4.0,,,,,,74.0,47.0,6.9,12.0,0.0353052,87.17842431197,5.0,59.64,37.59,,1,,0.02,0.08,0.19,,2.0,,4.0,5.0,6.0,2.0,,1.0,2.0,1.0,1.0,,,,,1.0,2.0,1.0,1.0,,0.2117,-0.04,,,,,,,,,,
14025096,home,Brentford,Jordan Henderson,,,jordan-henderson,J. Henderson,M,6,183,6378,M,jordanhenderson,42694,EUR,645580800,M,6,6,False,66.0,46.0,16.0,6.0,1.0,18.0,22.0,28.0,44.0,1.0,9.0,,,,,,90.0,77.0,7.3,23.0,0.0853171,188.24774639172,24.0,69.93,11.13,,0,,0.43,0.16,0.13,,4.0,1.0,1.0,2.0,3.0,,,2.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,
14025096,home,Brentford,Mathias Jensen,,,mathias-jensen,M. Jensen,M,8,180,1047,M,,799251,EUR,820454400,M,8,8,False,48.0,40.0,2.0,1.0,0.0,14.0,17.0,26.0,31.0,,5.0,,,,,,85.0,62.0,6.4,15.0,0.0174842,69.345413818332,12.0,28.56,8.085,,0,,0.09,0.04,-0.06,,3.0,,,5.0,2.0,1.0,1.0,,1.0,1.0,1.0,,2.0,,,1.0,2.0,,,,,,,,,,,,,,,
14025096,home,Brentford,Dango Ouattara,Dango Ouattara,,dango-ouattara,D. Ouattara,F,19,177,33926,M,d.ouattara15,1106451,EUR,1013385600,M,19,19,False,24.0,12.0,1.0,1.0,0.0,5.0,9.0,7.0,15.0,2.0,1.0,,,,,,90.0,52.0,8.6,25.0,0.232268,77.185605237644,8.0,30.66,14.91,,3,,0.29,0.37,0.14,,5.0,1.0,6.0,7.0,10.0,3.0,2.0,,1.0,1.0,4.0,,,2.0,,2.0,4.0,,2.0,,0.7734,0.48,1.0,1.0,1.0,1.0,1.0,1.0,0.386,,,
14025096,home,Brentford,Mikkel Damsgaard,,,damsgaard-mikkel,M. Damsgaard,M,24,180,3593,M,,907072,EUR,962582400,M,24,24,False,52.0,43.0,4.0,4.0,0.0,7.0,8.0,36.0,44.0,1.0,9.0,,,,,,90.0,76.0,7.6,19.0,0.220042,144.04368539226,20.0,93.975,22.26,,3,,0.51,0.42,-0.01,,7.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,,,2.0,,1.0,1.0,,1.0,,0.1703,-0.52,,1.0,1.0,,,,0.0093,1.0,,
14025096,home,Brentford,Kevin Schade,,,kevin-schade,K. Schade,M,7,183,3191,M,,1006387,EUR,1006819200,M,7,7,False,13.0,8.0,,,0.0,2.0,2.0,6.0,11.0,4.0,1.0,,,,,,75.0,30.0,6.5,12.0,0.0564986,50.188573909126,7.0,31.71,16.905,,0,,-0.09,0.01,0.14,,1.0,1.0,5.0,9.0,7.0,3.0,,1.0,,,3.0,,3.0,2.0,,1.0,1.0,,,1.0,,,,2.0,,,,1.0,,,1.0,
