match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_wasFouled,stat_fouls,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_keyPass,stat_challengeLost,stat_outfielderBlock,stat_wonTackle,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_interceptionWon,stat_totalContest,stat_wonContest,player_firstName,player_lastName,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,stat_penaltyWon,stat_bigChanceMissed,stat_totalOffside,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_errorLeadToAGoal
12504677,home,Bologna,Łukasz Skorupski,lukasz-skorupski,Ł. Skorupski,G,1,187,4421,M,lukaszskorupski28,44906,EUR,673401600,G,1,1,False,22.0,19.0,11.0,8.0,0.0,17.0,20.0,2.0,2.0,3.0,1.0,1.0,90.0,26.0,7.1,3.0,0.00093016,0,0.3957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504677,home,Bologna,Lorenzo De Silvestri,lorenzo-de-silvestri,L. De Silvestri,D,29,185,372,M,,14718,EUR,580348800,D,29,29,False,26.0,22.0,3.0,1.0,0.0,10.0,10.0,12.0,17.0,,,,50.0,31.0,6.6,5.0,0.010655,0,,True,1.0,3.0,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504677,home,Bologna,Sam Beukema,sam-beukema,S. Beukema,D,31,188,2235,M,,898815,EUR,911260800,D,31,31,False,57.0,49.0,11.0,5.0,0.0,35.0,38.0,14.0,19.0,5.0,,,90.0,64.0,7.0,9.0,0.0126857,0,,,,,2.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12504677,home,Bologna,Jhon Lucumí,jhon-lucumi,J. Lucumí,D,26,185,4571,M,,818481,EUR,898819200,D,26,26,False,63.0,59.0,3.0,2.0,0.0,39.0,40.0,20.0,23.0,7.0,,,90.0,68.0,7.0,6.0,0.00535184,0,,,,2.0,1.0,4.0,3.0,,1.0,,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12504677,home,Bologna,Juan Miranda,juan-miranda,J. Miranda,D,33,185,2208,M,,855829,EUR,948240000,D,33,33,False,60.0,52.0,8.0,3.0,0.0,21.0,24.0,33.0,42.0,4.0,,,90.0,86.0,7.4,15.0,0.0982443,1,,,6.0,,2.0,1.0,3.0,,1.0,2.0,1.0,,1.0,,,1.0,2.0,1.0,1.0,0.0158,0.1445,,,,,,,,,,,,,,,,,
12504677,home,Bologna,Remo Freuler,remo-freuler,R. Freuler,M,8,181,1928,M,,115516,EUR,703296000,M,8,8,False,65.0,58.0,6.0,4.0,0.0,26.0,28.0,32.0,37.0,6.0,,,90.0,79.0,7.0,9.0,0.0432946,1,,,,1.0,,8.0,1.0,,2.0,2.0,1.0,,1.0,3.0,,1.0,,,1.0,0.0274,0.0217,2.0,2.0,,,,,,,,,,,,,,,
12504677,home,Bologna,Nikola Moro,nikola-moro,N. Moro,M,6,182,2495,M,,814882,EUR,889660800,M,6,6,False,53.0,44.0,7.0,2.0,0.0,18.0,20.0,26.0,34.0,8.0,,,90.0,71.0,7.6,11.0,0.0408835,0,,,1.0,1.0,,2.0,9.0,3.0,1.0,,5.0,1.0,,,1.0,3.0,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,
12504677,home,Bologna,Dan Ndoye,dan-ndoye,D. Ndoye,M,14,184,4721,M,,944327,EUR,972432000,M,11,11,False,26.0,19.0,3.0,2.0,0.0,5.0,6.0,14.0,22.0,6.0,,,83.0,54.0,9.2,19.0,0.0232319,4,,,2.0,,,7.0,10.0,3.0,,,3.0,4.0,1.0,2.0,,3.0,,,2.0,1.2158,1.4043,2.0,,7.0,4.0,,,1.0,1.0,2.0,1.0,,,,,,,
12504677,home,Bologna,Jens Odgaard,jens-odgaard,J. Odgaard,M,21,188,1820,M,,826064,EUR,922838400,M,21,21,False,19.0,16.0,1.0,,0.0,3.0,3.0,13.0,16.0,3.0,,,83.0,38.0,7.3,9.0,0.0853644,4,,,,3.0,1.0,7.0,6.0,1.0,2.0,,3.0,4.0,1.0,,,3.0,,1.0,2.0,0.4325,0.0854,,2.0,3.0,1.0,,,2.0,,,,2.0,,,,,,
12504677,home,Bologna,Jesper Karlsson,jesper-karlsson,J. Karlsson,F,11,179,1272,M,,834597,EUR,901324800,M,10,10,False,24.0,19.0,,,0.0,4.0,6.0,15.0,20.0,3.0,,,64.0,35.0,6.3,11.0,0.0244719,2,,,2.0,,1.0,4.0,2.0,,2.0,1.0,1.0,2.0,,1.0,,,,,1.0,0.2931,0.2282,2.0,,,,,,,1.0,,,1.0,1.0,,,,,
12504677,home,Bologna,Santiago Castro,santiago-castro,S. Castro,F,9,178,6420,M,,1116577,EUR,1095465600,F,9,9,False,15.0,13.0,2.0,2.0,0.0,1.0,1.0,12.0,14.0,4.0,,,64.0,21.0,7.0,6.0,0.0237236,0,,,,2.0,,4.0,2.0,2.0,1.0,,,3.0,3.0,,,,,,,,,1.0,,,,Santiago Castro,,,,,,,,,,,,
12504677,home,Bologna,Emil Holm,emil-holm,E. Holm,D,2,191,1648,M,,965264,EUR,958176000,D,2,2,True,22.0,22.0,,,0.0,9.0,9.0,14.0,14.0,3.0,,,40.0,38.0,6.8,4.0,0.0878212,0,,,1.0,,1.0,2.0,4.0,,1.0,1.0,3.0,2.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,
