match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_aerialLost,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_keyPass,stat_blockedScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_totalOffside,stat_goals,player_sofascoreId,stat_goodHighClaim
14572778,home,FCSB,Ștefan Târnovanu,stefan-tarnovanu,Ș. Târnovanu,G,32,197.0,1736,M,914414,EUR,957830400,G,32,32,False,18.0,7.0,12.0,2.0,0.0,5.0,9.0,2.0,9.0,1.0,1.0,4.0,9.0,5.0,8.0,1.0,2.0,2.0,90.0,36.0,8.2,11.0,0.00164738,3.0518258469316,1.0,2.9943142507489,1.2189,0,1.1521,0.01,-0.02,-0.01,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572778,home,FCSB,Alexandru Pantea,alexandru-pantea,A. Pantea,D,28,172.0,327,M,1033266,EUR,1063238400,D,28,28,False,27.0,21.0,4.0,2.0,0.0,18.0,21.0,3.0,6.0,,4.0,1.0,4.0,,,,,,70.0,49.0,6.6,9.0,0.00373227,64.411442819537,9.0,21.778093832659,,0,,-0.06,0.17,-0.13,,,,1.0,2.0,1.0,2.0,4.0,3.0,2.0,1.0,8.0842935986656,18.390218296692,1.0,,,,,,,,,,,,,,,,,,,,,
14572778,home,FCSB,Siyabonga Ngezana,siyabonga-ngezana,S. Ngezana,D,30,188.0,1241,M,905541,EUR,868924800,D,30,30,False,33.0,25.0,8.0,2.0,0.0,23.0,28.0,2.0,5.0,2.0,2.0,6.0,3.0,,,,,,90.0,45.0,6.2,9.0,0.00064477,77.78937150138,11.0,17.110133042394,,2,,-0.04,0.03,-0.12,,,,,1.0,,,,,1.0,,,,,1.0,2.0,0.2137,-0.53,,,,,,,,,,,,,,,,,
14572778,home,FCSB,Daniel Graovac,daniel-graovac,D. Graovac,D,4,186.0,248,M,94815,EUR,744768000,D,4,4,False,22.0,21.0,2.0,1.0,0.0,17.0,17.0,4.0,5.0,2.0,3.0,9.0,,,,,,,90.0,36.0,6.8,2.0,0.00060279,41.530184449756,8.0,10.176175968005,,0,,0.01,0.01,0.25,,,,,2.0,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
14572778,home,FCSB,Risto Radunović,risto-radunovic,R. Radunović,D,33,184.0,500,M,117128,EUR,704937600,D,33,33,False,35.0,28.0,4.0,2.0,1.0,16.0,18.0,12.0,17.0,,3.0,2.0,4.0,,,,,,90.0,56.0,7.3,9.0,0.367511,91.394573216775,11.0,26.069678749071,,0,,0.5,0.07,-0.12,,,,5.0,2.0,,1.0,2.0,1.0,,1.0,11.144511855799,12.2,1.0,,,,,5.0,1.0,1.0,1.0,1.0,5.0,,,,,,,,,,,
14572778,home,FCSB,Mihai Lixandru,lixandru-mihai,M. Lixandru,M,16,184.0,359,M,1129974,EUR,991699200,M,16,16,False,30.0,21.0,1.0,,0.0,14.0,18.0,7.0,12.0,1.0,3.0,2.0,5.0,,,,,,90.0,50.0,6.6,14.0,0.00668348,121.72598619321,11.0,58.9947653921,,1,,-0.07,0.14,0.26,,,,,4.0,,3.0,,,2.0,1.0,30.229021603259,62.048058105378,2.0,,,0.0116,-0.06,,1.0,3.0,1.0,,,1.0,1.0,1.0,,,,,,,,
14572778,home,FCSB,Baba Alhassan,alhassan-baba,B. Alhassan,M,42,186.0,596,M,1085422,EUR,946857600,M,42,42,False,31.0,27.0,4.0,4.0,0.0,16.0,19.0,11.0,12.0,,5.0,,3.0,,,,,,90.0,48.0,7.1,11.0,0.206504,65.323196219648,6.0,42.290437255,,0,,0.37,0.16,0.15,,,,,6.0,,2.0,4.0,4.0,3.0,2.0,,,,,,,,,3.0,1.0,,1.0,1.0,,,1.0,,,,,,,,
14572778,home,FCSB,David Miculescu,david-miculescu,D. Miculescu,F,11,190.0,914,M,905096,EUR,988761600,M,11,11,False,3.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,,2.0,1.0,1.0,,,,,,45.0,12.0,6.6,2.0,0.00672459,17.806239667337,2.0,2.5151752337685,,2,,0.1,0.03,-0.03,,,,,1.0,,,,,1.0,,,,,,1.0,0.168,-0.48,,1.0,1.0,1.0,,1.0,,,1.0,2.0,1.0,0.2573,,,,,
14572778,home,FCSB,Darius Olaru,darius-olaru,D. Olaru,M,27,177.0,2518,M,812808,EUR,888883200,M,27,27,False,30.0,21.0,1.0,1.0,0.0,8.0,9.0,13.0,21.0,1.0,4.0,,5.0,,,,,,66.0,45.0,6.6,17.0,0.192007,140.34079996355,14.0,9.1730089697554,,2,,0.32,0.14,-0.09,,,,3.0,7.0,,,2.0,1.0,2.0,1.0,10.893895600187,12.574820714428,1.0,3.0,,0.5447,0.02,1.0,1.0,2.0,,1.0,2.0,,,1.0,2.0,2.0,0.8643,True,,,,
14572778,home,FCSB,Dennis Politic,dennis-politic,D. Politic,F,17,185.0,679,M,962999,EUR,952214400,M,20,20,False,8.0,5.0,,,0.0,2.0,3.0,3.0,5.0,,2.0,2.0,2.0,,,,,,45.0,21.0,6.4,6.0,0.00270159,36.568822220813,4.0,20.773122105985,,2,,-0.08,0.24,-0.07,,,,,3.0,1.0,1.0,1.0,1.0,1.0,,12.789360713295,24.623413451278,2.0,,,0.1853,-0.48,,2.0,1.0,1.0,,,1.0,,,,1.0,0.6404,,,,,
