match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,player_sofascoreId,captain,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_keyPass,stat_blockedScoringAttempt,stat_challengeLost,stat_dispossessed,stat_hitWoodwork,stat_outfielderBlock,stat_interceptionWon,stat_goalAssist,stat_accurateCross,stat_totalOffside,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_punches
11406766,home,Fiorentina,Oliver Christensen,oliver-christensen,O. Christensen,G,53,190,517,M,860306,EUR,922060800,G,53,53,False,30.0,29.0,6.0,5.0,29.0,30.0,1.0,8.0,1.0,2.0,2.0,90.0,38.0,6.7,1.0,0.00013993,0,-0.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406766,home,Fiorentina,Michael Kayode,michael-kayode,M. Kayode,D,33,179,2419,M,1137431,EUR,1089417600,D,33,33,False,34.0,31.0,,,17.0,19.0,1.0,4.0,,,,90.0,58.0,6.6,11.0,0.0215769,1,,,,14.0,16.0,1.0,1.0,1.0,4.0,7.0,3.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,0.0243,,,,,,,,,,,,,,,,,,,
11406766,home,Fiorentina,Lucas Martínez Quarta,lucas-martinez-quarta,L. M. Quarta,D,28,183,3115,M,795297,EUR,831686400,D,28,28,False,70.0,63.0,9.0,4.0,41.0,42.0,3.0,4.0,,,,71.0,78.0,7.6,8.0,0.00959795,2,,,,22.0,28.0,,,,3.0,1.0,,,1.0,1.0,1.0,1.0,,3.0,0.1087,chinomartinezquarta96,True,1.0,1.0,1.0,0.1092,1.0,,,,,,,,,,,,
11406766,home,Fiorentina,Luca Ranieri,luca-ranieri,L. Ranieri,D,6,187,1115,M,893998,EUR,924825600,D,16,16,False,90.0,81.0,8.0,5.0,55.0,57.0,1.0,6.0,,,,90.0,95.0,7.1,9.0,0.0158771,1,,,,26.0,33.0,,,5.0,1.0,5.0,,,,,,,,1.0,0.0932,,,,,,,1.0,1.0,,,,,,,,,,,
11406766,home,Fiorentina,Fabiano Parisi,fabiano-parisi,F. Parisi,D,65,178,788,M,972886,EUR,973728000,D,65,65,False,54.0,51.0,3.0,2.0,21.0,23.0,,7.0,,,,90.0,77.0,7.7,8.0,0.355228,1,,,,30.0,31.0,,3.0,1.0,9.0,8.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,,0.036,,,1.0,,,,3.0,,3.0,2.0,1.0,1.0,1.0,,,,,,
11406766,home,Fiorentina,Arthur,arthur,Arthur,M,29,172,8988,M,794927,EUR,839808000,M,6,6,False,80.0,76.0,7.0,6.0,33.0,34.0,1.0,6.0,,,,80.0,92.0,8.2,7.0,0.136389,0,,,,44.0,49.0,3.0,,1.0,2.0,5.0,1.0,1.0,,3.0,2.0,,,1.0,,arthurmelo,,,,,,3.0,,,1.0,,,1.0,2.0,1.0,,,,
11406766,home,Fiorentina,Alfred Duncan,alfred-duncan,A. Duncan,M,32,178,572,M,232224,EUR,731721600,M,32,32,False,78.0,69.0,5.0,4.0,33.0,34.0,,4.0,,,,90.0,91.0,7.2,16.0,0.128882,0,,,,37.0,49.0,5.0,3.0,2.0,7.0,6.0,3.0,2.0,,1.0,1.0,2.0,1.0,2.0,,,,,,,,1.0,,1.0,,,1.0,,,1.0,1.0,,,
11406766,home,Fiorentina,Jonathan Ikoné,jonathan-ikone,J. Ikoné,M,93,180,1415,M,802142,EUR,894067200,M,11,11,False,13.0,12.0,,,1.0,1.0,,1.0,,,,45.0,20.0,6.7,4.0,0.0150091,2,,,,11.0,12.0,,,1.0,2.0,3.0,4.0,2.0,1.0,,,1.0,,,0.3621,,,,1.0,,0.9038,,,,,,,,,,,1.0,,
11406766,home,Fiorentina,Antonín Barák,antonin-barak,A. Barák,M,72,190,780,M,330705,EUR,786412800,M,72,72,False,51.0,46.0,2.0,2.0,16.0,17.0,1.0,3.0,,,,90.0,60.0,8.5,8.0,0.243207,5,,,,30.0,34.0,,1.0,2.0,2.0,2.0,1.0,,2.0,,,2.0,,,0.6836,,,,3.0,1.0,1.5267,2.0,,,,1.0,,,1.0,,,1.0,,
11406766,home,Fiorentina,Riccardo Sottil,riccardo-sottil,R. Sottil,M,23,180,1381,M,893640,EUR,928368000,M,7,7,False,46.0,40.0,7.0,5.0,13.0,13.0,,3.0,,,,83.0,68.0,9.6,15.0,1.45267,3,,,,30.0,40.0,7.0,,,3.0,6.0,2.0,2.0,1.0,,,2.0,4.0,,0.356,,,3.0,1.0,1.0,0.406,4.0,1.0,,3.0,,,,2.0,3.0,,1.0,,
