match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_totalCross,stat_totalContest,stat_wonContest,player_sofascoreId,stat_goalAssist,stat_accurateCross,stat_dispossessed,captain,stat_bigChanceMissed,stat_totalOffside,stat_blockedScoringAttempt,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot
11407474,home,Udinese,Marco Silvestri,marco-silvestri,M. Silvestri,G,16,191.0,324,M,43970,EUR,667872000,G,1,1,False,21.0,11.0,16.0,6.0,7.0,9.0,4.0,12.0,1.0,1.0,8.0,1.0,2.0,1.0,1.0,90.0,29.0,5.7,11.0,0.00112253,0,-0.8357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407474,home,Udinese,João Ferreira,joao-ferreira,J. Ferreira,D,13,185.0,384,M,976401,EUR,985219200,D,13,13,False,36.0,24.0,7.0,2.0,16.0,21.0,8.0,15.0,4.0,5.0,4.0,,,,,90.0,58.0,6.6,15.0,0.00347819,0,,,,1.0,3.0,1.0,4.0,2.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407474,home,Udinese,Christian Kabasele,christian-kabasele,C. Kabasele,D,27,186.0,477,M,58351,EUR,667353600,D,27,27,False,16.0,15.0,,,15.0,16.0,,,4.0,5.0,2.0,,,,,90.0,41.0,7.4,3.0,0.00025117,3,,,,6.0,7.0,1.0,15.0,,1.0,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7375,0.939,1.0,,,,,,,,,,,,,,,,,
11407474,home,Udinese,Nehuén Pérez,nehuen-perez,N. Pérez,D,18,184.0,3369,M,913401,EUR,961804800,D,18,18,False,33.0,27.0,15.0,9.0,16.0,17.0,11.0,16.0,2.0,2.0,2.0,,,,,90.0,56.0,7.1,10.0,0.00380633,0,,,,1.0,6.0,,7.0,,1.0,5.0,5.0,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,
11407474,home,Udinese,Festy Ebosele,festy-ebosele,F. Ebosele,D,36,180.0,593,M,983059,EUR,1028246400,M,2,2,False,6.0,4.0,,,1.0,1.0,3.0,6.0,1.0,8.0,2.0,,,,,66.0,25.0,6.5,8.0,0.00846644,0,,,,1.0,5.0,1.0,2.0,,,,,,,,,2.0,,2.0,4.0,,,,1.0,4.0,2.0,,,,,,,,,,,,,,
11407474,home,Udinese,Lazar Samardžić,lazar-samardzic,L. Samardžić,M,10,183.0,4807,M,980624,EUR,1014508800,M,24,24,False,39.0,30.0,7.0,1.0,15.0,16.0,18.0,29.0,1.0,7.0,6.0,,,,,90.0,63.0,7.4,18.0,0.481498,2,,,,1.0,5.0,1.0,3.0,,1.0,2.0,2.0,1.0,,2.0,,1.0,,1.0,2.0,0.0668,0.1195,4.0,6.0,5.0,1.0,lakisamar10,1.0,3.0,,,,,,,,,,,
11407474,home,Udinese,Walace,walace,Walace,M,5,188.0,1455,M,553686,EUR,796953600,M,11,11,False,37.0,26.0,6.0,2.0,12.0,17.0,14.0,20.0,,6.0,7.0,,,,,90.0,54.0,6.4,16.0,0.00453423,0,,,,1.0,5.0,1.0,3.0,,1.0,1.0,1.0,,,,,3.0,,1.0,3.0,,,,,3.0,2.0,,,,1.0,,,,,,,,,,
11407474,home,Udinese,Martín Payero,martin-payero,M. Payero,M,32,182.0,791,M,895592,EUR,905472000,M,32,32,False,25.0,15.0,1.0,,9.0,12.0,6.0,13.0,2.0,9.0,15.0,,,,,88.0,49.0,6.8,17.0,0.00384576,0,,,,1.0,8.0,,2.0,1.0,2.0,5.0,3.0,,,,,3.0,,1.0,4.0,,,,,2.0,1.0,,,,2.0,,,,,,,,,,
11407474,home,Udinese,Jordan Zemura,jordan-zemura,J. Zemura,D,33,173.0,795,M,964119,EUR,942537600,M,33,33,False,16.0,9.0,3.0,,2.0,4.0,7.0,14.0,1.0,8.0,1.0,,,,,88.0,39.0,6.1,17.0,0.00883998,0,,,,,5.0,2.0,,,2.0,2.0,1.0,,,,,3.0,,1.0,1.0,,,,2.0,5.0,2.0,,,,1.0,,,,,,,,,,
11407474,home,Udinese,Roberto Pereyra,roberto-pereyra,R. Pereyra,M,37,184.0,1199,M,122701,EUR,663206400,F,37,37,False,14.0,10.0,2.0,1.0,4.0,5.0,7.0,11.0,1.0,4.0,5.0,,,,,66.0,25.0,6.7,10.0,0.165217,1,,,,1.0,2.0,1.0,,,,,,1.0,,1.0,,2.0,,1.0,,0.1211,0.1013,1.0,2.0,,,,1.0,1.0,2.0,True,1.0,,,,,,,,
