match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_lastManTackle,captain,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_shotOffTarget,stat_errorLeadToAGoal,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_accurateCross,player_sofascoreId,stat_hitWoodwork
12530669,home,Eyüpspor,Berke Özer,berke-ozer,B. Özer,G,1,191,3020,M,847494,EUR,959212800,G,1,1,False,29.0,23.0,8.0,2.0,0.0,21.0,24.0,2.0,5.0,3.0,10.0,2.0,1.0,2.0,2.0,2.0,90.0,42.0,6.2,6.0,0.00085543,0,-0.7991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530669,home,Eyüpspor,Rúben Vezo,ruben-vezo,R. Vezo,D,21,183,435,M,233180,EUR,767232000,D,14,14,False,24.0,19.0,2.0,1.0,0.0,6.0,7.0,13.0,19.0,1.0,1.0,,,,,,81.0,47.0,6.7,11.0,0.0207121,0,,2.0,1.0,1.0,8.0,6.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,
12530669,home,Eyüpspor,Robin Yalçın,robin-yalcin,R. Yalçın,D,2,183,91,M,138154,EUR,759456000,D,6,6,False,42.0,31.0,12.0,7.0,0.0,12.0,15.0,19.0,27.0,,4.0,,,,,,90.0,46.0,6.1,12.0,0.00799114,0,,,,,1.0,3.0,,1.0,,,,,2.0,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,
12530669,home,Eyüpspor,Luccas Claro,luccas-claro,L. Claro,D,4,182,171,M,998209,EUR,687916800,D,4,4,False,47.0,40.0,4.0,2.0,0.0,26.0,30.0,14.0,17.0,3.0,2.0,,,,,,90.0,62.0,7.3,7.0,0.0100038,1,,,3.0,,4.0,3.0,,,,,3.0,1.0,1.0,1.0,,2.0,2.0,,,,,True,1.0,1.0,0.0564,0.2884,,,,,,,,,
12530669,home,Eyüpspor,Umut Meraş,umut-meras,U. Meraş,D,77,178,154,M,609746,EUR,819417600,D,77,77,False,7.0,5.0,,,0.0,3.0,5.0,2.0,3.0,1.0,3.0,,,,,,29.0,11.0,6.8,3.0,0.00724951,0,,1.0,,1.0,,2.0,,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,
12530669,home,Eyüpspor,Yalçın Kayan,yalcin-kayan,Y. Kayan,M,20,182,80,M,945548,EUR,917654400,M,30,30,False,57.0,53.0,,,0.0,28.0,29.0,25.0,28.0,,6.0,,,,,,90.0,66.0,6.4,7.0,0.0266799,0,,,1.0,,5.0,4.0,2.0,1.0,2.0,2.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12530669,home,Eyüpspor,Emre Mor,emre-mor,E. Mor,M,99,169,2594,M,826258,EUR,869702400,M,66,66,False,24.0,21.0,,,0.0,10.0,10.0,11.0,16.0,,1.0,,,,,,62.0,32.0,6.7,6.0,0.0202474,1,,2.0,,1.0,1.0,3.0,,,,,,,,,1.0,2.0,1.0,,,,,,,,0.0162,,1.0,,,,,,,,
12530669,home,Eyüpspor,Melih Kabasakal,kabasakal-melih,M. Kabasakal,M,6,178,97,M,828872,EUR,824601600,M,57,57,False,17.0,15.0,,,0.0,5.0,6.0,10.0,11.0,1.0,1.0,,,,,,62.0,31.0,6.8,5.0,0.00664585,1,,,,,2.0,4.0,1.0,,1.0,,,1.0,3.0,2.0,2.0,1.0,,,,,,,,,0.0132,,,1.0,1.0,,,,,,
12530669,home,Eyüpspor,Emre Akbaba,emre-akbaba,E. Akbaba,M,8,180,414,M,343527,EUR,718156800,M,8,8,False,9.0,8.0,,,0.0,2.0,3.0,6.0,7.0,,2.0,,,,,,62.0,18.0,6.8,4.0,0.307725,1,,1.0,3.0,,6.0,2.0,2.0,,1.0,,,,1.0,,,1.0,,1.0,,,,,,,0.1146,,,1.0,,1.0,1.0,,,,
12530669,home,Eyüpspor,Prince Ampem,prince-ampem,P. Ampem,M,40,171,278,M,923888,EUR,892425600,M,40,40,False,24.0,21.0,1.0,1.0,0.0,9.0,10.0,12.0,14.0,,4.0,,,,,,90.0,41.0,6.5,10.0,0.139545,1,,,2.0,,7.0,6.0,1.0,2.0,2.0,1.0,,2.0,1.0,1.0,4.0,4.0,1.0,1.0,,,,,1.0,,0.0329,0.1121,,,,,1.0,,,,
