match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_aerialWon,stat_challengeLost,stat_shotOffTarget,player_firstName,player_lastName,stat_dispossessed,stat_errorLeadToAShot,stat_unsuccessfulTouch,captain,stat_accurateCross,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside,stat_bigChanceMissed,player_sofascoreId,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_ownGoals
11453017,home,Al-Taawoun,Mailson,mailson,Mailson,G,1,198.0,587,M,883367,EUR,840499200,G,1,1,False,31.0,19.0,17.0,6.0,17.0,21.0,2.0,10.0,1.0,8.0,1.0,4.0,8.0,90.0,46.0,8.5,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453017,home,Al-Taawoun,Abdulmalik Al Oyayari,al-oyayari-abdulmalik,A. A. Oyayari,D,15,175.0,54,M,1210456,EUR,1071014400,D,15,15,False,34.0,26.0,3.0,1.0,5.0,8.0,21.0,29.0,9.0,5.0,1.0,,,90.0,60.0,7.7,11.0,0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,7.0,5.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
11453017,home,Al-Taawoun,Andrei Girotto,andrei-girotto,A. Girotto,D,3,186.0,274,M,794836,EUR,698284800,D,4,4,False,30.0,22.0,5.0,2.0,12.0,17.0,10.0,13.0,2.0,3.0,1.0,,,90.0,42.0,6.6,8.0,1,,2.0,4.0,,,9.0,,1.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
11453017,home,Al-Taawoun,Waleed Al-Ahmed,waleed-al-ahmed,W. Al-Ahmed,D,23,189.0,197,M,978400,EUR,925689600,D,23,23,False,32.0,28.0,4.0,2.0,19.0,22.0,9.0,10.0,5.0,3.0,1.0,,,90.0,46.0,7.0,4.0,2,,,1.0,,,4.0,,1.0,3.0,2.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
11453017,home,Al-Taawoun,Muath Faqeehi,muath-faqeehi,M. Faqeehi,D,42,188.0,464,M,1457521,EUR,1022716800,D,42,42,False,38.0,33.0,3.0,2.0,15.0,17.0,18.0,25.0,5.0,4.0,,,,80.0,56.0,7.0,10.0,0,4.0,,3.0,,,2.0,,1.0,5.0,3.0,2.0,1.0,,,,Muath Muath,,1.0,,,,,,,,,,,,,,,,
11453017,home,Al-Taawoun,Flávio,flavio,Flávio,M,8,177.0,261,M,839521,EUR,823910400,M,24,24,False,54.0,50.0,7.0,6.0,20.0,22.0,30.0,32.0,6.0,7.0,1.0,,,90.0,68.0,7.3,7.0,0,,,3.0,,,,,,5.0,5.0,2.0,1.0,,1.0,,,,,1.0,3.0,,,,,,,,,,,,,,
11453017,home,Al-Taawoun,Ashraf El Mahdioui,ashraf-el-mahdioui,A. E. Mahdioui,M,18,183.0,1641,M,788348,EUR,832896000,M,18,18,False,91.0,83.0,10.0,9.0,30.0,34.0,53.0,57.0,4.0,17.0,2.0,,,90.0,104.0,7.7,9.0,0,,,1.0,,,,,4.0,2.0,1.0,1.0,1.0,,,,,,,,1.0,True,,,,,,,,,,,,,
11453017,home,Al-Taawoun,Álvaro Medrán,alvaro-medran,Á. Medrán,M,10,176.0,321,M,537018,EUR,763689600,M,10,10,False,78.0,69.0,11.0,8.0,18.0,22.0,54.0,59.0,1.0,7.0,,,,90.0,97.0,7.9,14.0,3,3.0,1.0,3.0,1.0,,1.0,,,,,,4.0,1.0,,2.0,,,1.0,,2.0,,3.0,1.0,,,,,,,,,,,
11453017,home,Al-Taawoun,Mateus Castro,mateus-castro,Mateus Castro,F,10,167.0,280,M,815630,EUR,779241600,F,16,16,False,32.0,28.0,1.0,1.0,9.0,10.0,19.0,26.0,2.0,4.0,,,,90.0,61.0,7.2,15.0,5,4.0,2.0,6.0,2.0,,1.0,,2.0,2.0,1.0,1.0,1.0,,,2.0,,,2.0,,2.0,,,2.0,1.0,,,,,,,,,,
11453017,home,Al-Taawoun,Joao Pedro,joao-pedro,J. Pedro,F,9,182.0,429,M,351734,EUR,735436800,F,30,30,False,21.0,18.0,2.0,2.0,6.0,7.0,12.0,14.0,5.0,2.0,2.0,,,86.0,38.0,6.7,12.0,1,,1.0,6.0,3.0,,2.0,,,2.0,2.0,1.0,1.0,1.0,,,,,1.0,,5.0,,,,1.0,,,,,,,,,,
