match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_goalAssist,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_wasFouled,stat_fouls,stat_keyPass,stat_totalContest,stat_clearanceOffLine,stat_totalCross,stat_accurateCross,stat_wonContest,stat_bigChanceMissed,stat_blockedScoringAttempt,player_sofascoreId,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside
10389948,home,Nantes,Alban Lafont,alban-lafont,A. Lafont,G,40,195,2914,M,826201,EUR,917049600,G,1,1,False,True,22.0,13.0,12.0,3.0,11.0,12.0,2.0,10.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,90.0,33.0,7.0,9.0,0.0,0.0,0.00076288,0,0.8212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389948,home,Nantes,Jean-Charles Castelletto,jean-charles-castelletto,J.-C. Castelletto,D,21,186,1499,M,191204,EUR,791078400,D,21,21,False,,17.0,13.0,1.0,1.0,11.0,13.0,2.0,4.0,4.0,6.0,5.0,2.0,,,,90.0,53.0,7.4,10.0,0.0,0.0,0.0072843,0,,,,4.0,4.0,2.0,5.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
10389948,home,Nantes,Andrei Girotto,andrei-girotto,A. Girotto,D,3,186,273,M,794836,EUR,698284800,D,3,3,False,,25.0,16.0,13.0,5.0,11.0,14.0,5.0,11.0,3.0,9.0,8.0,7.0,,,,90.0,51.0,7.6,11.0,0.0639,0.0,0.0039916,1,,,,1.0,7.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,,,,,,,,,,,,,,
10389948,home,Nantes,Nicolas Pallois,nicolas-pallois,N. Pallois,D,5,190,248,M,106496,EUR,559008000,D,4,4,False,,17.0,13.0,3.0,1.0,10.0,14.0,3.0,3.0,,2.0,5.0,6.0,,,,90.0,35.0,7.3,7.0,0.0,0.0,0.001733,0,,,,,4.0,2.0,2.0,2.0,1.0,1.0,,,1.0,,,,2.0,,1.0,1.0,,,,,,,,,,,,
10389948,home,Nantes,Marcus Coco,marcus-coco,M. Coco,D,97,180,173,M,785418,EUR,835574400,M,11,11,False,,18.0,14.0,1.0,,7.0,8.0,8.0,12.0,2.0,4.0,,6.0,,,,59.0,33.0,6.9,7.0,0.0,0.0,0.0171064,0,,,,3.0,7.0,1.0,3.0,2.0,,1.0,,1.0,1.0,,,,2.0,,,,2.0,1.0,,,,,,,,,,
10389948,home,Nantes,Ludovic Blas,ludovic-blas,L. Blas,F,10,180,1176,M,806076,EUR,883526400,M,10,10,False,,19.0,12.0,2.0,,4.0,6.0,8.0,14.0,2.0,6.0,,8.0,,,,90.0,37.0,6.2,16.0,0.177,0.0,0.0133089,3,,,,2.0,7.0,,1.0,1.0,1.0,2.0,,,3.0,,1.0,,1.0,1.0,4.0,,1.0,,3.0,1.0,2.0,,,,,,,
10389948,home,Nantes,Samuel Moutoussamy,moutoussamy-samuel,S. Moutoussamy,M,92,178,6604,M,892624,EUR,839808000,M,8,8,False,,22.0,16.0,4.0,3.0,9.0,12.0,7.0,11.0,,2.0,,5.0,,,,90.0,35.0,6.6,12.0,0.0,0.0,0.00371892,0,,Samuel,Moutoussamy,,4.0,,2.0,1.0,1.0,3.0,,,2.0,,,1.0,2.0,,,,1.0,,,,,,,,,,,
10389948,home,Nantes,Pedro Chirivella,pedro-chirivella,P. Chirivella,M,4,178,556,M,799216,EUR,864345600,M,5,5,False,,34.0,23.0,6.0,2.0,14.0,16.0,9.0,18.0,1.0,5.0,1.0,9.0,,,,90.0,45.0,7.1,11.0,0.0416,0.0,0.00461453,1,,,,,,,3.0,2.0,1.0,,,,,,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,
10389948,home,Nantes,Quentin Merlin,quentin-merlin,Q. Merlin,M,26,173,1164,M,1102502,EUR,1021507200,M,29,29,False,,43.0,29.0,15.0,8.0,16.0,20.0,14.0,28.0,1.0,7.0,2.0,7.0,,,,89.0,76.0,7.8,26.0,0.0147,0.0,0.0576718,1,,Quentin Merlin,,,3.0,1.0,,3.0,2.0,1.0,,1.0,1.0,1.0,1.0,2.0,,5.0,2.0,,5.0,1.0,1.0,,,,,,,,,
10389948,home,Nantes,Mostafa Mohamed,mostafa-mohamed,M. Mohamed,F,31,185,32494,M,873551,EUR,880675200,F,31,31,False,,15.0,8.0,2.0,1.0,3.0,4.0,5.0,12.0,3.0,8.0,4.0,2.0,,,,79.0,33.0,7.0,11.0,0.0,0.0,0.00555939,0,,,,4.0,6.0,,1.0,4.0,2.0,2.0,,,1.0,,,1.0,2.0,,,,1.0,,,,,mostafamohamed11,,,,,,
