match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_sofascoreId,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_possessionLostCtrl,stat_expectedGoals,captain,stat_totalTackle,stat_wonTackle,stat_fouls,stat_challengeLost,stat_errorLeadToAGoal,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_totalOffside,stat_hitWoodwork,stat_errorLeadToAShot,stat_goals,stat_bigChanceMissed,stat_goodHighClaim,stat_goalAssist,stat_bigChanceCreated,stat_outfielderBlock,stat_clearanceOffLine
11368737,home,Real Sociedad,Álex Remiro,alex-remiro,Á. Remiro,G,1,191,2805,M,791773,EUR,796003200,G,1,1,False,19.0,19.0,3.0,3.0,19.0,19.0,4.0,1.0,1.0,90.0,22.0,6.3,5.407e-05,0,-0.1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368737,home,Real Sociedad,Hamari Traoré,hamari-traore,H. Traoré,D,14,175,4235,M,362014,EUR,696470400,D,18,18,False,21.0,19.0,,,7.0,8.0,1.0,,,45.0,35.0,6.5,0.0412316,1,,,,hamarintos27,13.0,15.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0588,,,,,,,,,,,,,,,,,,,,,,
11368737,home,Real Sociedad,Robin Le Normand,robin-le-normand,R. Le Normand,D,24,187,6479,M,787751,EUR,847670400,D,24,24,False,94.0,88.0,4.0,4.0,57.0,57.0,5.0,,,90.0,107.0,6.6,0.0243353,0,,,,lenormand_r,31.0,37.0,,,3.0,3.0,4.0,6.0,,,6.0,1.0,2.0,1.0,8.0,,True,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11368737,home,Real Sociedad,Jon Pacheco,jon-pacheco,J. Pacheco,D,5,184,537,M,934383,EUR,978912000,D,20,20,False,107.0,98.0,10.0,5.0,64.0,66.0,5.0,,,90.0,108.0,5.8,0.0156437,0,,,,,34.0,41.0,,,2.0,5.0,6.0,5.0,,,,,,,9.0,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,
11368737,home,Real Sociedad,Javi Galán,javi-galan,J. Galán,D,20,172,2472,M,825133,EUR,785203200,D,25,25,False,61.0,50.0,3.0,,21.0,24.0,4.0,,,90.0,102.0,6.5,0.0297602,0,,,,,31.0,43.0,6.0,2.0,,,7.0,7.0,1.0,,,3.0,1.0,1.0,19.0,,,5.0,4.0,3.0,1.0,,3.0,1.0,,,,,,,,,,,,,,
11368737,home,Real Sociedad,Martín Zubimendi,martin-zubimendi,M. Zubimendi,M,36,180,26245,M,966837,EUR,917913600,M,4,4,False,63.0,53.0,2.0,,25.0,27.0,8.0,,,90.0,75.0,7.1,0.0350429,2,,,,martin_zubimendi,28.0,36.0,,,,,1.0,3.0,1.0,,,4.0,1.0,2.0,12.0,0.1629,,1.0,,,,,,,1.0,1.0,0.179,1.0,,,,,,,,,,
11368737,home,Real Sociedad,Takefusa Kubo,kubo-takefusa,T. Kubo,M,14,174,23791,M,880218,EUR,991612800,M,14,14,False,46.0,39.0,4.0,4.0,4.0,4.0,2.0,,,90.0,74.0,7.5,0.18611,3,,,,KuboTake,38.0,57.0,15.0,3.0,,1.0,4.0,4.0,,,1.0,,2.0,1.0,25.0,0.1131,,,,1.0,,,5.0,2.0,2.0,1.0,0.1964,3.0,1.0,,,,,,,,,
11368737,home,Real Sociedad,Brais Méndez,brais-mendez,B. Méndez,M,23,184,2013,M,845385,EUR,852595200,M,23,23,False,27.0,23.0,5.0,3.0,5.0,5.0,1.0,,,64.0,43.0,8.0,0.449742,3,,,,,20.0,25.0,3.0,2.0,1.0,3.0,3.0,11.0,,2.0,,,,4.0,5.0,0.1784,,3.0,3.0,2.0,,,1.0,1.0,1.0,,,2.0,1.0,,,,,,,,,
11368737,home,Real Sociedad,Arsen Zakharyan,arsen-zakharyan,A. Zakharyan,M,21,183,4558,M,1066045,EUR,1053907200,M,12,12,False,27.0,20.0,3.0,2.0,8.0,8.0,2.0,,,72.0,40.0,6.7,0.0648712,2,,Arsen Zakharyan,,zaha47,13.0,23.0,4.0,1.0,2.0,2.0,6.0,3.0,,2.0,,,,1.0,12.0,0.1612,,,,3.0,,,1.0,,,,,,,1.0,,,,,,,,
11368737,home,Real Sociedad,Ander Barrenetxea,ander-barrenetxea,A. Barrenetxea,F,7,174,1646,M,966862,EUR,1009411200,M,7,7,False,5.0,3.0,1.0,1.0,,,,,,7.0,5.0,,0.00581304,0,,,,,3.0,5.0,,,,1.0,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
