match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_errorLeadToAShot,stat_keyPass,player_lastName,stat_dispossessed,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,captain,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_interceptionWon,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves
12450211,home,Paris Saint-Germain,Matvey Safonov,matvey-safonov,M. Safonov,G,39,191,16026,M,MSafonov,800749,EUR,919900800,G,39,39,False,34.0,27.0,14.0,7.0,0.0,24.0,26.0,3.0,8.0,1.0,3.0,1.0,90.0,37.0,6.5,7.0,0.00068807,0,-0.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450211,home,Paris Saint-Germain,Lucas Beraldo,lucas-beraldo,L. Beraldo,D,4,182,17502,M,lberaldo,1108441,EUR,1069632000,D,35,35,False,116.0,112.0,8.0,7.0,0.0,61.0,63.0,51.0,53.0,6.0,4.0,,90.0,129.0,7.6,4.0,0.0584635,1,,Lucas Beraldo,1.0,3.0,2.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0886,,,,,,,,,,,,,,,,,,,,
12450211,home,Paris Saint-Germain,Lucas Hernández,lucas-hernandez,L. Hernández,D,21,183,10246,M,lucashernandez21,352370,EUR,824256000,D,21,21,False,100.0,97.0,1.0,,0.0,77.0,77.0,20.0,23.0,4.0,5.0,,90.0,108.0,6.7,3.0,0.0272722,1,,,1.0,,1.0,2.0,,,,1.0,1.0,1.0,1.0,0.0132,1.0,1.0,,,,,,,,,,,,,,,,,,
12450211,home,Paris Saint-Germain,Warren Zaïre-Emery,warren-zaire-emery,W. Zaïre-Emery,M,33,178,16154,M,wzairemery6,1142672,EUR,1141776000,D,33,33,False,88.0,86.0,2.0,1.0,0.0,41.0,42.0,45.0,46.0,,7.0,,90.0,104.0,6.5,9.0,0.0647038,0,,,,,6.0,1.0,1.0,,,,,,1.0,,,,,4.0,1.0,2.0,1.0,,,,,,,,,,,,,
12450211,home,Paris Saint-Germain,Achraf Hakimi,hakimi-achraf,A. Hakimi,D,2,181,124757,M,AHakimi,814594,EUR,910137600,M,2,2,False,50.0,47.0,1.0,1.0,0.0,18.0,20.0,29.0,32.0,,4.0,,61.0,60.0,7.0,6.0,0.239782,0,,,,,2.0,2.0,2.0,,,,1.0,1.0,1.0,,,1.0,,,,1.0,,True,2.0,,,,,,,,,,,
12450211,home,Paris Saint-Germain,Kang-in Lee,kang-in-lee,K. Lee,M,19,173,19307,M,kanginlee,917087,EUR,982540800,M,19,19,False,71.0,69.0,8.0,7.0,0.0,32.0,32.0,39.0,46.0,,5.0,,73.0,92.0,7.6,12.0,0.277504,0,,,,,4.0,5.0,2.0,2.0,2.0,,3.0,3.0,,,,3.0,,2.0,,3.0,,,7.0,2.0,,,,,,,,,,
12450211,home,Paris Saint-Germain,Désiré Doué,desire-doue,D. Doué,F,14,181,91970,M,DD14,1154605,EUR,1117756800,M,14,14,False,64.0,55.0,5.0,4.0,0.0,19.0,20.0,37.0,46.0,,4.0,,81.0,86.0,8.3,10.0,0.491287,4,,Désiré Doué,,,3.0,8.0,2.0,3.0,3.0,,4.0,2.0,1.0,1.141,,4.0,,,,,2.0,,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.5747,,,,
12450211,home,Paris Saint-Germain,Senny Mayulu,mayulu-senny,S. Mayulu,M,24,183,21840,M,,1473491,EUR,1147824000,M,24,24,False,66.0,61.0,1.0,1.0,1.0,21.0,21.0,40.0,45.0,1.0,3.0,,90.0,87.0,7.8,12.0,0.771295,4,,,2.0,,6.0,4.0,,3.0,1.0,1.0,1.0,1.0,2.0,0.2927,,1.0,,1.0,,2.0,1.0,,,,1.0,,2.0,1.0,,0.393,1.0,,,
12450211,home,Paris Saint-Germain,Ibrahim Mbaye,ibrahim-mbaye,I. Mbaye,F,49,175,36953,M,,1590918,EUR,1201132800,F,49,49,False,43.0,38.0,,,0.0,12.0,13.0,26.0,33.0,1.0,2.0,,61.0,62.0,7.2,15.0,0.0732568,2,,,,1.0,8.0,4.0,1.0,3.0,2.0,,,,1.0,0.13,,2.0,,4.0,,1.0,2.0,,3.0,,2.0,1.0,2.0,,,0.3199,2.0,,,
12450211,home,Paris Saint-Germain,Gonçalo Ramos,goncalo-ramos,G. Ramos,F,9,185,23725,M,goncaloramos88,934510,EUR,992995200,F,9,9,False,20.0,16.0,,,0.0,5.0,6.0,11.0,14.0,,1.0,,90.0,30.0,7.4,9.0,0.029438,5,,,3.0,2.0,5.0,2.0,,,,2.0,,,,1.4363,,1.0,,2.0,,2.0,,,,,,1.0,3.0,,1.0,1.3471,,,,
