match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_fouls,stat_expectedGoalsOnTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_wasFouled,stat_dispossessed,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_outfielderBlock,stat_totalOffside,stat_keyPass,captain,stat_punches,stat_goals,stat_hitWoodwork
12499408,home,1. FC Union Berlin,Frederik Rønnow,frederik-ronnow,F. Rønnow,G,1,188,637,M,137692,EUR,712886400,G,1,1,False,26.0,14.0,18.0,6.0,0.0,9.0,12.0,5.0,14.0,1.0,2.0,1.0,1.0,1.0,9.0,1.0,2.0,1.0,1.0,90.0,35.0,6.7,13.0,0.0943,0.0291569,1,-0.4138,,,,,,,,,,,,,,,,,,,,,,,,,,
12499408,home,1. FC Union Berlin,Danilho Doekhi,danilho-doekhi,D. Doekhi,D,5,187,772,M,830803,EUR,899164800,D,5,5,False,31.0,18.0,7.0,,0.0,14.0,14.0,4.0,17.0,5.0,5.0,1.0,,3.0,5.0,,,,,90.0,38.0,6.6,14.0,0.4584,0.0320974,5,,,,4.0,8.0,1.0,1.0,1.0,2.0,0.025,,,,,,,,,,,,,,,,,
12499408,home,1. FC Union Berlin,Leopold Querfeld,querfeld-leopold,L. Querfeld,D,14,190,1226,M,1086547,EUR,1071878400,D,14,14,False,47.0,35.0,11.0,6.0,0.0,23.0,27.0,12.0,20.0,7.0,13.0,,,1.0,6.0,,,,,90.0,65.0,7.4,13.0,0.0864,0.0357666,1,,,,5.0,5.0,,,,1.0,,6.0,1.0,2.0,2.0,1.0,4.0,,,,,,,,,,,
12499408,home,1. FC Union Berlin,Diogo Leite,leite-diogo,D. Leite,D,4,188,993,M,855663,EUR,917049600,D,4,4,False,41.0,27.0,6.0,2.0,0.0,13.0,16.0,14.0,25.0,7.0,8.0,,,1.0,4.0,,,,,90.0,51.0,6.6,17.0,0.0402,0.0112779,1,,,,3.0,8.0,,,,4.0,,4.0,,1.0,,,1.0,1.0,2.0,,,,,,,,,
12499408,home,1. FC Union Berlin,Josip Juranović,josip-juranovic,J. Juranović,D,18,173,3077,M,791642,EUR,808531200,M,18,18,False,23.0,15.0,3.0,1.0,0.0,4.0,5.0,18.0,38.0,,2.0,2.0,2.0,,2.0,,,,,90.0,70.0,7.4,30.0,,0.735408,0,,,,,2.0,2.0,,,1.0,,1.0,1.0,,,,,,1.0,20.0,7.0,1.0,1.0,6.0,,,,
12499408,home,1. FC Union Berlin,Lucas Tousart,tousart-lucas,L. Tousart,M,24,185,445,M,787889,EUR,862272000,M,29,29,False,15.0,8.0,1.0,,0.0,2.0,4.0,6.0,12.0,5.0,9.0,2.0,1.0,,4.0,,,,,75.0,27.0,6.8,11.0,,0.00527981,0,,,,2.0,4.0,,,,2.0,,1.0,1.0,1.0,,,2.0,,2.0,1.0,,,,,,,,
12499408,home,1. FC Union Berlin,Rani Khedira,rani-khedira,R. Khedira,M,8,188,962,M,149479,EUR,759628800,M,8,8,False,21.0,15.0,2.0,,0.0,3.0,4.0,12.0,21.0,4.0,7.0,2.0,2.0,,5.0,,,,,90.0,37.0,6.9,11.0,,0.0313033,0,,,,4.0,6.0,,,,1.0,,,2.0,1.0,,,,1.0,,4.0,,1.0,,,True,,,
12499408,home,1. FC Union Berlin,Tom Rothe,rothe-tom,T. Rothe,M,15,192,809,M,1210666,EUR,1099008000,M,15,15,False,13.0,9.0,2.0,1.0,0.0,2.0,2.0,7.0,16.0,3.0,6.0,2.0,,,1.0,,,,,65.0,47.0,6.9,14.0,0.3124,0.0566658,3,,,,2.0,6.0,1.0,1.0,2.0,1.0,0.2609,2.0,,1.0,1.0,,2.0,,2.0,5.0,,,,1.0,,,,
12499408,home,1. FC Union Berlin,Woo-Yeong Jeong,woo-yeong-jeong,W. Jeong,M,11,179,1574,M,927405,EUR,937785600,F,11,11,False,14.0,12.0,,,0.0,1.0,1.0,11.0,18.0,1.0,1.0,,,,3.0,,,,,65.0,27.0,6.6,10.0,0.0894,0.0185357,2,,,,3.0,4.0,,,2.0,,,,,,,,,1.0,2.0,5.0,,,,,,,,
12499408,home,1. FC Union Berlin,Marin Ljubičić,marin-ljubicic,M. Ljubičić,F,27,183,1866,M,1090010,EUR,1014854400,F,27,27,False,9.0,4.0,,,0.0,3.0,4.0,1.0,5.0,,1.0,,,,,,,,,45.0,14.0,6.3,8.0,,0.00900084,0,,,,5.0,8.0,,,,2.0,,,,,,,1.0,1.0,1.0,,,,,,,,,
