match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wasFouled,stat_fouls,captain,stat_aerialLost,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_wonTackle,stat_errorLeadToAGoal,stat_shotValueNormalized,player_firstName,player_lastName,stat_accurateCross,stat_totalContest,stat_wonContest,stat_keyPass,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_challengeLost,stat_blockedScoringAttempt,stat_totalOffside,stat_goodHighClaim,stat_goals,stat_hitWoodwork
14073461,home,Chesterfield,Zac Hemming,zachary-hemming,Z. Hemming,G,1,188.0,31,M,970411,EUR,952387200,G,1,1,False,40.0,29.0,15.0,4.0,0.0,24.0,26.0,5.0,14.0,12.0,2.0,3.0,90.0,47.0,6.9,11.0,0.6191,0,0.1,0.02,-0.22,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14073461,home,Chesterfield,Vontae Daley-Campbell,vontae-daley-campbell,V. Daley-Campbell,D,20,183.0,31,M,934232,EUR,986169600,D,20,20,False,46.0,39.0,4.0,1.0,0.0,21.0,24.0,18.0,22.0,4.0,,,90.0,76.0,6.6,15.0,,0,0.08,0.09,-0.22,,7.0,3.0,3.0,5.0,3.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
14073461,home,Chesterfield,Chey Dunkley,chey-dunkley,C. Dunkley,D,22,188.0,43,M,257983,EUR,697939200,D,22,22,False,62.0,51.0,4.0,,0.0,37.0,40.0,14.0,22.0,4.0,,,90.0,78.0,6.3,12.0,,3,-0.08,0.05,-0.59,,,11.0,3.0,14.0,5.0,,3.0,,,True,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,-0.53,,,,,,,,,,,,,,
14073461,home,Chesterfield,Kyle McFadzean,kyle-mcfadzean,K. McFadzean,D,6,185.0,55,M,129118,EUR,540777600,D,6,6,False,82.0,75.0,14.0,7.0,0.0,50.0,51.0,25.0,31.0,2.0,,,90.0,93.0,6.8,8.0,,0,0.2,0.16,-0.18,,,,1.0,2.0,6.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
14073461,home,Chesterfield,Lewis Gordon,lewis-gordon,L. Gordon,D,19,172.0,21,M,1020222,EUR,981936000,D,19,19,False,45.0,35.0,3.0,,0.0,8.0,13.0,27.0,32.0,1.0,,,90.0,73.0,6.4,14.0,,0,0.32,0.15,-0.28,,3.0,,4.0,2.0,2.0,,,,1.0,,3.0,,,,,1.0,,,,,,1.0,3.0,2.0,1.0,,,,,,,,
14073461,home,Chesterfield,Matthew Max Dibley-Dias,matthew-max-dibley-dias,M. M. Dibley-Dias,M,18,171.0,61,M,1461519,EUR,1066867200,M,18,18,False,22.0,20.0,2.0,1.0,0.0,6.0,6.0,14.0,16.0,2.0,,,39.0,27.0,6.5,2.0,,0,0.08,0.03,-0.11,,,,2.0,4.0,,,3.0,1.0,2.0,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,
14073461,home,Chesterfield,Ryan Stirk,ryan-stirk,R. Stirk,M,8,178.0,29,M,991400,EUR,969840000,M,8,8,False,92.0,78.0,14.0,6.0,0.0,29.0,31.0,49.0,61.0,6.0,,,90.0,107.0,6.6,17.0,,0,0.37,0.18,-0.17,,1.0,,7.0,1.0,2.0,,,,3.0,,3.0,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,
14073461,home,Chesterfield,Dilan Markanday,dilan-markanday,D. Markanday,M,24,167.0,275,M,966554,EUR,998265600,M,24,24,False,30.0,26.0,1.0,1.0,0.0,7.0,8.0,19.0,22.0,3.0,,,76.0,54.0,6.8,15.0,,2,0.43,0.13,-0.18,,6.0,,7.0,7.0,,,2.0,1.0,1.0,,1.0,3.0,,1.0,,,,,-0.2,,,3.0,5.0,4.0,4.0,1.0,4.0,1.0,1.0,,,,
14073461,home,Chesterfield,Ronan Darcy,ronan-darcy,R. Darcy,M,49,177.0,61,M,982593,EUR,991785600,M,27,27,False,33.0,29.0,,,0.0,11.0,12.0,18.0,21.0,1.0,,,76.0,47.0,6.2,13.0,,2,-0.1,0.27,-0.15,,7.0,,2.0,1.0,,,1.0,,1.0,,,,1.0,,1.0,,1.0,,-0.51,,,1.0,1.0,,2.0,1.0,2.0,,1.0,,,,
14073461,home,Chesterfield,Armando Dobra,armando-dobra,A. Dobra,M,17,167.0,114,M,990361,EUR,987206400,M,17,17,False,23.0,22.0,,,0.0,5.0,5.0,17.0,18.0,4.0,,,68.0,53.0,7.7,11.0,,2,0.29,0.31,-0.08,,1.0,,11.0,13.0,,,3.0,5.0,3.0,,,4.0,,,2.0,,,,-0.12,,,,8.0,5.0,,,2.0,1.0,,,,,
