match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_aerialWon,stat_totalContest,stat_blockedScoringAttempt,stat_expectedGoals,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_wasFouled,stat_totalOffside,stat_shotOffTarget,stat_goalAssist,stat_dispossessed,stat_bigChanceCreated,stat_outfielderBlock,stat_accurateCross,stat_goals,stat_goodHighClaim,stat_lastManTackle,stat_bigChanceMissed
12190340,home,Crystal Palace,Dean Henderson,,,dean-henderson,D. Henderson,G,1,188,5010,M,deanhenderson,788134,EUR,858124800,G,30,30,False,24.0,6.0,21.0,3.0,4.0,7.0,2.0,17.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,90.0,28.0,6.9,18.0,0.00038488,0,0.1637,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12190340,home,Crystal Palace,Nathaniel Clyne,,,nathaniel-clyne,N. Clyne,D,17,175,676,M,,43215,EUR,670809600,D,17,17,False,32.0,28.0,2.0,,15.0,16.0,13.0,17.0,1.0,,5.0,1.0,,,,,90.0,39.0,6.8,6.0,0.00521923,0,,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
12190340,home,Crystal Palace,Joachim Andersen,,,joachim-andersen,J. Andersen,D,5,190,2378,M,,362682,EUR,833500800,D,16,16,False,53.0,40.0,17.0,8.0,21.0,26.0,19.0,28.0,5.0,6.0,9.0,2.0,2.0,,,,90.0,68.0,7.4,18.0,0.0176782,1,,1.0,2.0,4.0,1.0,,,,1.0,True,3.0,1.0,1.0,0.0622,,,,,,,,,,,,,,,
12190340,home,Crystal Palace,Chris Richards,,,chris-richards,C. Richards,D,26,188,2004,M,,931844,EUR,954201600,D,26,26,False,44.0,39.0,4.0,2.0,25.0,27.0,14.0,17.0,3.0,6.0,5.0,,,,,,90.0,54.0,7.2,5.0,0.0141529,1,,,2.0,4.0,1.0,,,1.0,1.0,,2.0,1.0,,0.0303,1.0,1.0,0.0801,,,,,,,,,,,,
12190340,home,Crystal Palace,Daniel Muñoz,,,daniel-munoz,D. Muñoz,M,2,183,12060,M,daniel.chitiva,870360,EUR,833068800,M,12,12,False,48.0,36.0,1.0,1.0,14.0,16.0,22.0,33.0,11.0,2.0,8.0,9.0,5.0,,,,89.0,76.0,7.7,14.0,0.0543291,0,,1.0,1.0,2.0,,1.0,,1.0,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,
12190340,home,Crystal Palace,Adam Wharton,,,adam-wharton,A. Wharton,M,20,182,5795,M,,1109771,EUR,1076025600,M,20,20,False,44.0,31.0,3.0,,11.0,13.0,20.0,32.0,6.0,2.0,6.0,5.0,2.0,,,,83.0,67.0,7.1,15.0,0.022215,4,,1.0,,4.0,2.0,2.0,,2.0,,,,,2.0,0.0671,,1.0,0.0236,1.0,,1.0,,,,,,,,,
12190340,home,Crystal Palace,Will Hughes,,,will-hughes,W. Hughes,M,19,185,1026,M,,193554,EUR,798076800,M,19,19,False,49.0,41.0,3.0,1.0,19.0,22.0,22.0,27.0,6.0,,7.0,1.0,1.0,,,,90.0,70.0,8.2,9.0,0.204141,1,,,,4.0,3.0,3.0,,,2.0,,,1.0,,0.0291,1.0,,,4.0,,1.0,1.0,1.0,1.0,3.0,,,,,
12190340,home,Crystal Palace,Tyrick Mitchell,,,tyrick-mitchell,T. Mitchell,M,3,174,1388,M,,988275,EUR,936144000,M,3,3,False,38.0,29.0,3.0,1.0,12.0,18.0,17.0,20.0,3.0,,4.0,1.0,1.0,,,,90.0,60.0,6.8,14.0,0.0222911,1,,,1.0,3.0,,,2.0,,1.0,,1.0,,1.0,0.0382,,,,1.0,,,,2.0,,,,,,,
12190340,home,Crystal Palace,Jordan Ayew,,,jordan-ayew,J. Ayew,F,9,182,13272,M,jordanayew9,103045,EUR,684547200,F,9,9,False,37.0,32.0,,,11.0,12.0,21.0,26.0,7.0,,6.0,3.0,2.0,,,,73.0,54.0,7.5,11.0,0.0801349,2,,1.0,4.0,10.0,,,,1.0,1.0,,,6.0,,0.0349,2.0,1.0,0.0209,2.0,,1.0,1.0,1.0,1.0,,,,,,
12190340,home,Crystal Palace,Eberechi Eze,,,eberechi-eze,E. Eze,F,10,178,55840,M,eze,864921,EUR,899078400,F,10,10,False,38.0,31.0,3.0,1.0,11.0,12.0,25.0,36.0,7.0,,5.0,,,,,,83.0,78.0,7.5,25.0,0.294245,5,,10.0,,11.0,,,4.0,2.0,3.0,,,9.0,2.0,0.2312,4.0,1.0,0.2434,3.0,3.0,2.0,,4.0,,,5.0,,,,
