match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_wasFouled,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_wonContest,stat_wonTackle,player_sofascoreId,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_penaltyWon,stat_bigChanceCreated,stat_goodHighClaim,stat_penaltyFaced,stat_lastManTackle,stat_penaltyConceded,stat_ownGoals,stat_bigChanceMissed
14062197,home,TSG Hoffenheim,Oliver Baumann,oliver-baumann,O. Baumann,G,1,185,1392,M,40244,EUR,644284800,G,1,1,False,True,43.0,30.0,18.0,6.0,0.0,27.0,29.0,3.0,14.0,6.0,1.0,2.0,2.0,1.0,1.0,90.0,49.0,6.9,13.0,0.00738049,45.587262811769,6.0,1.4516104881011,0.3647,0,0.5785,0.05,-0.03,-0.22,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062197,home,TSG Hoffenheim,Vladimír Coufal,vladimir-coufal,V. Coufal,D,34,179,1730,M,138024,EUR,714441600,D,34,34,False,,41.0,28.0,9.0,2.0,0.0,15.0,18.0,13.0,23.0,5.0,1.0,,,,,90.0,86.0,6.8,23.0,0.0578626,103.93899348124,13.0,35.499271525835,,0,,0.29,0.13,-0.24,,,,6.0,2.0,1.0,3.0,6.0,1.0,2.0,1.0,1.0,5.0,12.332627159214,13.887237882315,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14062197,home,TSG Hoffenheim,Robin Hranáč,robin-hranac,R. Hranáč,D,2,189,292,M,957615,EUR,949104000,D,2,2,False,,57.0,44.0,10.0,3.0,0.0,35.0,41.0,9.0,16.0,3.0,,,,,,90.0,82.0,6.8,15.0,0.00310276,73.750198053737,8.0,31.924689892848,,0,,-0.08,0.02,0.25,,,,,,9.0,10.0,11.0,1.0,,13.0,2.0,,16.09131913734,18.279191037899,1.0,,8.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14062197,home,TSG Hoffenheim,Ozan Kabak,ozan-kabak,O. Kabak,D,5,185,2402,M,857740,EUR,953942400,D,5,5,False,,43.0,35.0,2.0,1.0,0.0,21.0,24.0,14.0,19.0,2.0,,,,,,90.0,65.0,7.1,9.0,0.0120552,48.465098165838,7.0,27.891289101615,,0,,0.06,0.04,0.17,,,,,,11.0,8.0,14.0,,1.0,11.0,1.0,2.0,,,,,6.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
14062197,home,TSG Hoffenheim,Albian Hajdari,albian-hajdari,A. Hajdari,D,21,189,835,M,1000269,EUR,1053216000,D,21,21,False,,36.0,29.0,7.0,4.0,0.0,16.0,17.0,13.0,19.0,3.0,,,,,,90.0,62.0,7.1,11.0,0.00879858,58.647196802305,7.0,22.653004823261,,0,,0.21,0.04,0.3,,,,,,3.0,4.0,7.0,3.0,1.0,8.0,3.0,,17.087277374681,17.62662420885,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
14062197,home,TSG Hoffenheim,Andrej Kramarić,andrej-kramaric,A. Kramarić,F,27,177,7591,M,67647,EUR,677289600,M,27,27,False,,36.0,29.0,1.0,,0.0,7.0,12.0,22.0,24.0,5.0,,,,,,83.0,48.0,8.2,8.0,0.0589799,138.88354599842,14.0,50.140920424514,,6,,0.29,0.26,0.14,,,,1.0,,,4.0,1.0,,,2.0,1.0,,22.122718366697,53.811821116016,3.0,,3.0,,,,,,1.0,andrejkramaric,1.0,2.0,3.0,1.0,2.0,1.0,1.0842,1.5652,0.6,,,,,,,,
14062197,home,TSG Hoffenheim,Leon Avdullahu,avdullahu-leon,L. Avdullahu,M,7,185,842,M,1493305,EUR,1077494400,M,7,7,False,,70.0,62.0,7.0,4.0,0.0,33.0,34.0,29.0,36.0,3.0,,,,,,90.0,88.0,7.2,11.0,0.030368,155.58789007152,19.0,89.226585061422,,0,,0.31,0.25,0.2,,,,,,,4.0,4.0,2.0,1.0,3.0,3.0,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,
14062197,home,TSG Hoffenheim,Grischa Prömel,grischa-promel,G. Prömel,M,6,182,280,M,253993,EUR,789609600,M,6,6,False,,52.0,42.0,6.0,2.0,0.0,22.0,27.0,20.0,25.0,4.0,,,,,,90.0,68.0,6.9,14.0,0.100912,149.48787829913,12.0,82.783245774293,,0,,0.33,0.1,-0.01,,,,,,1.0,2.0,4.0,1.0,,1.0,1.0,2.0,29.046668401799,62.423688603953,2.0,2.0,1.0,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,
14062197,home,TSG Hoffenheim,Tim Lemperle,tim-lemperle,T. Lemperle,F,19,186,851,M,1014290,EUR,1012867200,F,19,19,False,,11.0,8.0,1.0,,0.0,3.0,4.0,5.0,7.0,,,,,,,45.0,29.0,6.5,12.0,0.0167729,56.677192668036,8.0,-5.6926135401014,,0,,0.02,-0.33,0.18,,,,2.0,,1.0,6.0,3.0,1.0,2.0,1.0,,2.0,,,,,1.0,,,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
14062197,home,TSG Hoffenheim,Fisnik Asllani,fisnik-asllani,F. Asllani,F,11,186,3700,M,1010117,EUR,1028764800,F,11,11,False,,24.0,18.0,2.0,1.0,0.0,10.0,10.0,8.0,14.0,2.0,,,,,,78.0,34.0,6.5,8.0,0.00499025,21.694197710908,5.0,6.0634010599495,,1,,-0.37,0.07,0.14,,,,,,,5.0,2.0,,,1.0,1.0,1.0,,,,,4.0,,1.0,1.0,2.0,,1.0,,,1.0,,,,,0.0555,,-0.37,1.0,,,,,,,
14062197,home,TSG Hoffenheim,Bazoumana Touré,bazoumana-toure,B. Touré,M,29,175,3686,M,1568123,EUR,1141257600,F,29,29,False,,22.0,17.0,,,1.0,6.0,8.0,11.0,14.0,4.0,,,,,,89.0,35.0,7.3,9.0,0.232814,224.56410573303,16.0,143.38441086207,,0,,0.23,0.4,-0.04,,Bazoumana Touré,,3.0,2.0,1.0,6.0,6.0,,5.0,1.0,,2.0,34.911168677716,151.01864092592,6.0,3.0,2.0,,,,1.0,3.0,,,1.0,,,,,1.0,,,,,1.0,,,,,,
14062197,home,TSG Hoffenheim,Max Moerstedt,max-moerstedt,M. Moerstedt,F,33,194,1285,M,1418703,EUR,1137283200,F,33,33,True,,6.0,4.0,,,0.0,1.0,2.0,3.0,4.0,1.0,,,,,,45.0,14.0,6.6,3.0,0.0649485,25.316629309254,5.0,-9.9448122135635,,1,,0.1,-0.19,-0.02,,Max Moerstedt,,,,1.0,7.0,6.0,1.0,,,1.0,4.0,,,,1.0,3.0,,,,3.0,,,,,1.0,,,,,0.078,,-0.52,,,,,,,,
14062197,home,TSG Hoffenheim,Ihlas Bebou,ihlas-bebou,I. Bebou,F,9,183,465,M,254297,EUR,767059200,F,9,9,True,,1.0,,,,0.0,,,,1.0,,,,,,,12.0,3.0,6.5,1.0,,,,,,1,,-0.06,,-0.05,,,,,,,3.0,,,,,,,,,,,2.0,,,,,,,,1.0,,1.0,,,,0.1474,0.6161,-0.43,,,,,,,,
