match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,player_firstName,player_lastName,stat_aerialWon,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoalsOnTarget,stat_accurateCross,stat_keyPass,stat_wonContest,player_sofascoreId,captain,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot
13472604,home,Grêmio,Tiago Volpi,tiago-volpi,T. Volpi,G,18,189,1690,M,243509,EUR,661564800,G,1,1,False,12.0,11.0,5.0,4.0,0.0,10.0,10.0,1.0,2.0,3.0,90.0,13.0,6.3,1.0,0.00034404,27.549421251064,4.0,16.695,7.56,0,-1.2662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472604,home,Grêmio,Marcos Rocha,marcos-rocha,M. Rocha,D,14,176,2464,M,82576,EUR,597801600,D,14,14,False,67.0,55.0,10.0,5.0,0.0,21.0,22.0,34.0,45.0,3.0,90.0,97.0,6.7,22.0,0.14706,174.91639464685,25.0,36.645,10.92,1,,4.0,3.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,0.0476,,,,,,,,,,,,,,,,,,,,,,,
13472604,home,Grêmio,Gustavo Martins,gustavo-martins,G. Martins,D,53,191,1207,M,1105796,EUR,1029024000,D,53,53,False,31.0,27.0,3.0,1.0,0.0,19.0,19.0,8.0,12.0,5.0,90.0,43.0,6.7,7.0,0.00502969,95.344456980665,11.0,27.3,21.315,1,,,4.0,6.0,5.0,,,,,3.0,,1.0,1.0,3.0,1.0,3.0,0.025,Gustavo Martins,,3.0,1.0,1.0,0.0415,,,,,,,,,,,,,,,,,
13472604,home,Grêmio,Wagner Leonardo,wagner-leonardo,W. Leonardo,D,3,186,1490,M,976235,EUR,932688000,D,3,3,False,54.0,52.0,5.0,4.0,0.0,34.0,34.0,18.0,20.0,7.0,90.0,64.0,7.2,2.0,0.00730403,203.30530772167,24.0,136.08,20.685,1,,,3.0,3.0,5.0,,,,,3.0,,3.0,2.0,,,,0.0078,,,2.0,1.0,1.0,0.1498,,,,,,,,,,,,,,,,,
13472604,home,Grêmio,Marlon,marlon,Marlon,D,23,178,1921,M,870787,EUR,864086400,D,23,23,False,51.0,44.0,11.0,5.0,0.0,21.0,21.0,23.0,30.0,9.0,90.0,80.0,6.8,20.0,0.092301,226.19944448129,23.0,158.235,28.665,0,,10.0,2.0,8.0,3.0,,1.0,1.0,,3.0,3.0,1.0,1.0,2.0,2.0,4.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,
13472604,home,Grêmio,Dodi,dodi,Dodi,M,17,169,1040,M,870804,EUR,829699200,M,17,17,False,46.0,44.0,1.0,,0.0,19.0,20.0,25.0,26.0,4.0,68.0,63.0,7.0,3.0,0.0233456,188.9679789319,18.0,91.665,33.915,0,,,,4.0,5.0,1.0,1.0,1.0,,2.0,2.0,4.0,3.0,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
13472604,home,Grêmio,Arthur,arthur,Arthur,M,29,172,8983,M,794927,EUR,839808000,M,29,29,False,74.0,70.0,5.0,5.0,0.0,17.0,19.0,53.0,55.0,6.0,90.0,93.0,7.5,8.0,0.0620442,373.54093338174,39.0,145.11,30.45,0,,,1.0,5.0,11.0,,,4.0,,1.0,,4.0,3.0,1.0,4.0,2.0,,,,1.0,,,,,,2.0,arthurmelo,True,,,,,,,,,,,,
13472604,home,Grêmio,Alysson,alysson-edward-franco-da-rocha,Alysson,M,47,184,2252,M,1631879,EUR,1146787200,M,47,47,False,29.0,27.0,,,0.0,3.0,3.0,24.0,26.0,2.0,56.0,45.0,6.8,8.0,0.1226,103.79198256784,13.0,13.86,16.905,1,,2.0,1.0,4.0,5.0,,2.0,1.0,1.0,,,4.0,3.0,1.0,1.0,,0.0287,Alysson Edward Franco da Rocha,,,,,,,1.0,,,,,,,,,,,,,,,
13472604,home,Grêmio,Willian,willian,Willian,F,88,175,9655,M,31417,EUR,587088000,M,88,88,False,40.0,37.0,2.0,2.0,1.0,12.0,12.0,25.0,28.0,1.0,68.0,61.0,7.1,12.0,0.114136,125.23035863238,17.0,46.41,12.915,1,,9.0,,4.0,1.0,1.0,1.0,2.0,,,1.0,,,,1.0,,0.0388,,,,,,,3.0,2.0,,willianborges88,,1.0,,,,,,,,,,,
13472604,home,Grêmio,Cristian Pavón,cristian-pavon,C. Pavón,M,7,169,2406,M,358956,EUR,822182400,M,7,7,False,18.0,16.0,1.0,,0.0,5.0,5.0,11.0,13.0,2.0,75.0,41.0,6.1,18.0,0.0298501,136.50680933277,15.0,71.4,23.52,2,,4.0,1.0,9.0,2.0,,3.0,6.0,,,,,,3.0,1.0,,0.0626,,,,1.0,,0.0708,,,1.0,,,1.0,,,,,,,,,,,
