match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,injury,length
12618490,FT,0.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
12618490,,,,,90,7.0,,1,,,card,Hussain Alsebyani,Time wasting,False,121514532.0,False,yellow,1152012.0,Hussain Al-Sebyani,,
12618490,,,,,90,1.0,,1,,,substitution,,,,122989389.0,True,regular,,,False,
12618490,,,,,90,1.0,,1,,,substitution,,,,122989390.0,False,regular,,,False,
12618490,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,7.0
12618490,,,,,85,,,6,,,substitution,,,,122989372.0,False,regular,,,False,
12618490,,,,,69,,,22,,,substitution,,,,122989326.0,True,regular,,,False,
12618490,,,,,69,,,22,,,substitution,,,,122989331.0,True,regular,,,False,
12618490,,,,,69,,,22,,,substitution,,,,122989332.0,True,regular,,,False,
12618490,,,,,61,,,30,,,substitution,,,,122989290.0,True,regular,,,False,
12618490,,0.0,1.0,,60,,,31,,,goal,,,,186469408.0,False,regular,182001.0,Yannick Carrasco,,
12618490,,,,,56,,,35,,,card,Yannick Carrasco,Argument,False,121514463.0,False,yellow,182001.0,Yannick Carrasco,,
12618490,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
12618490,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,3.0
12618490,,,,,28,,,18,,,card,Moteb Al-Harbi,Argument,False,121514362.0,False,yellow,1022679.0,Moteb Al-Harbi,,
