match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_blockedScoringAttempt,stat_challengeLost,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_keyPass,player_sofascoreId,stat_outfielderBlock,stat_goals,captain,stat_hitWoodwork,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_errorLeadToAGoal
12441691,home,PSV Eindhoven,Walter Benítez,,,walter-benitez,W. Benítez,G,44,193,4345,M,249859,EUR,727401600,G,1,1,False,22.0,21.0,4.0,3.0,0.0,20.0,20.0,1.0,2.0,1.0,6.0,1.0,1.0,90.0,26.0,6.5,1.0,0.00027349,0,-0.4449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441691,home,PSV Eindhoven,Richard Ledezma,,,richard-ledezma,R. Ledezma,D,37,175,944,M,985176,EUR,968198400,D,37,37,False,73.0,64.0,6.0,3.0,0.0,23.0,24.0,41.0,51.0,,6.0,,,76.0,91.0,7.0,12.0,0.0293549,0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12441691,home,PSV Eindhoven,Ryan Flamingo,Ryan Flamingo,,ryan-flamingo,R. Flamingo,D,6,186,1614,M,1046960,EUR,1041292800,D,6,6,False,53.0,49.0,7.0,6.0,0.0,28.0,29.0,21.0,24.0,9.0,,,,90.0,68.0,7.2,5.0,0.0116662,1,,,2.0,3.0,5.0,,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.1372,,,,,,,,,,,,,,,,,,
12441691,home,PSV Eindhoven,Olivier Boscagli,,,boscagli-olivier,O. Boscagli,D,21,181,1043,M,788784,EUR,879811200,D,18,18,False,98.0,91.0,11.0,11.0,0.0,34.0,37.0,57.0,62.0,3.0,5.0,,,90.0,111.0,7.8,8.0,0.0952258,1,,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,,3.0,,,2.0,1.0,,0.0137,1.0,,,,,,,,,,,,,,,,,
12441691,home,PSV Eindhoven,Mauro Júnior,,,mauro-junior,M. Júnior,D,17,171,1141,M,893499,EUR,925948800,D,17,17,False,81.0,72.0,3.0,1.0,0.0,25.0,28.0,47.0,55.0,4.0,6.0,,,90.0,102.0,7.1,14.0,0.0748594,2,,2.0,,3.0,3.0,4.0,3.0,,,1.0,,,1.0,,,1.0,0.1482,,1.0,1.0,0.0485,,,,,,,,,,,,,,
12441691,home,PSV Eindhoven,Guus Til,,,guus-til,G. Til,M,20,183,2263,M,845798,EUR,882748800,M,20,20,False,31.0,26.0,,,2.0,10.0,11.0,18.0,24.0,,5.0,,,90.0,47.0,7.9,12.0,0.376697,1,,4.0,,5.0,4.0,2.0,,2.0,1.0,,1.0,1.0,,,1.0,,0.3368,,,1.0,0.4154,2.0,3.0,3.0,3.0,,,,,,,,,,
12441691,home,PSV Eindhoven,Joey Veerman,,,joey-veerman,J. Veerman,M,23,185,3780,M,850816,EUR,911433600,M,23,23,False,72.0,64.0,7.0,6.0,0.0,17.0,19.0,48.0,55.0,3.0,4.0,,,89.0,85.0,7.3,11.0,0.501449,1,,2.0,,1.0,2.0,,,,,1.0,1.0,1.0,1.0,,1.0,,0.4519,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,
12441691,home,PSV Eindhoven,Malik Tillman,,,malik-tillman,M. Tillman,M,10,186,5864,M,975798,EUR,1022544000,M,7,7,False,45.0,33.0,3.0,1.0,0.0,17.0,18.0,16.0,27.0,,8.0,,,89.0,62.0,7.7,15.0,0.191087,1,,,1.0,4.0,11.0,1.0,1.0,3.0,3.0,2.0,5.0,,,,2.0,1.0,0.0197,1.0,1.0,,,,1.0,1.0,3.0,MalikTillman8,1.0,,,,,,,,
12441691,home,PSV Eindhoven,Ivan Perišić,,,ivan-perisic,I. Perišić,M,5,187,17305,M,38710,EUR,602380800,F,5,5,False,47.0,44.0,3.0,3.0,0.0,12.0,13.0,32.0,37.0,,2.0,,,76.0,61.0,9.5,9.0,0.035976,3,,3.0,1.0,4.0,1.0,,,1.0,,2.0,,,,1.0,,1.0,1.2913,,1.0,3.0,2.6232,,1.0,,1.0,ivanperisic444,,3.0,,,,,,,
12441691,home,PSV Eindhoven,Luuk de Jong,,,luuk-de-jong,L. de Jong,F,26,188,8572,M,40878,EUR,651715200,F,9,9,False,17.0,14.0,,,0.0,3.0,3.0,11.0,15.0,2.0,,,,90.0,28.0,7.1,6.0,0.237341,3,,1.0,,3.0,6.0,,,,,,6.0,1.0,3.0,,1.0,,0.5569,,2.0,,,,1.0,1.0,2.0,luukdejong9,,,True,1.0,,,,,
