match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_aerialLost,stat_interceptionWon,player_firstName,player_lastName,stat_shotOffTarget,stat_outfielderBlock,stat_keyPass,stat_totalContest,stat_wonContest,stat_totalOffside,stat_blockedScoringAttempt,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceMissed,stat_bigChanceCreated
11352618,home,Nottingham Forest,Matt Turner,matt-turner,M. Turner,G,30,190,1518,M,833943,EUR,772416000,G,1,1,False,31.0,22.0,14.0,5.0,18.0,19.0,4.0,12.0,1.0,11.0,1.0,2.0,2.0,1.0,1.0,90.0,45.0,6.8,9.0,0.0,0.0,0.00427804,0,-0.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352618,home,Nottingham Forest,Gonzalo Montiel,gonzalo-montiel,G. Montiel,D,29,175,8927,M,822933,EUR,852076800,D,29,29,False,29.0,19.0,6.0,1.0,11.0,13.0,8.0,17.0,2.0,2.0,,,,,,53.0,42.0,6.2,16.0,0.0,0.0,0.00528679,0,,gonzalo_montiel29,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
11352618,home,Nottingham Forest,Joe Worrall,joe-worrall,J. Worrall,D,4,193,320,M,838399,EUR,852854400,D,4,4,False,55.0,46.0,6.0,2.0,35.0,36.0,11.0,19.0,1.0,2.0,,,,,,90.0,62.0,6.5,9.0,0.0,0.0,0.00340237,0,,,,1.0,3.0,1.0,3.0,,,,,True,2.0,2.0,,,,,,,,,,,,,,,,
11352618,home,Nottingham Forest,Scott McKenna,scott-mckenna,S. McKenna,D,26,188,973,M,358108,EUR,847756800,D,26,26,False,59.0,49.0,7.0,2.0,39.0,44.0,10.0,15.0,6.0,3.0,,,,,,90.0,72.0,7.2,10.0,0.0229,0.0,0.0656232,1,,,,6.0,2.0,,5.0,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,
11352618,home,Nottingham Forest,Ola Aina,ola-aina,O. Aina,D,34,182,4052,M,800417,EUR,844732800,D,43,43,False,38.0,31.0,1.0,,12.0,14.0,19.0,26.0,6.0,6.0,1.0,,,,,90.0,62.0,6.8,14.0,0.03,0.0,0.0128457,1,,,2.0,1.0,4.0,1.0,4.0,3.0,1.0,1.0,2.0,,,,,,1.0,,1.0,2.0,1.0,,,,,,,,,
11352618,home,Nottingham Forest,Ibrahim Sangaré,ibrahim-sangare,I. Sangaré,M,6,191,10181,M,843754,EUR,881020800,M,6,6,False,39.0,30.0,4.0,1.0,19.0,24.0,11.0,16.0,6.0,10.0,,,,,,90.0,56.0,7.0,13.0,0.0573,0.0,0.035642,1,,ibrahim_sangare,1.0,1.0,8.0,2.0,1.0,5.0,4.0,1.0,3.0,,1.0,3.0,,,1.0,1.0,,2.0,,1.0,,,,,,,,
11352618,home,Nottingham Forest,Orel Mangala,orel-mangala,O. Mangala,M,5,178,1576,M,793988,EUR,890179200,M,5,5,False,28.0,24.0,1.0,,15.0,15.0,9.0,13.0,4.0,4.0,1.0,,,,,71.0,38.0,6.8,7.0,0.0979,0.0,0.0141585,2,,,,2.0,2.0,,1.0,1.0,,3.0,2.0,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,
11352618,home,Nottingham Forest,Anthony Elanga,anthony-elanga,A. Elanga,M,20,178,10434,M,979232,EUR,1019865600,M,21,21,False,26.0,20.0,2.0,1.0,4.0,7.0,17.0,22.0,4.0,4.0,2.0,,,,,90.0,48.0,6.8,16.0,0.0309,0.0136,0.267331,1,,anthonyelanga,3.0,1.0,4.0,,,,,3.0,,,1.0,,,,,,1.0,2.0,1.0,,,1.0,2.0,1.0,,,,
11352618,home,Nottingham Forest,Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6974,M,865912,EUR,948931200,M,10,10,False,40.0,33.0,4.0,4.0,11.0,13.0,22.0,35.0,8.0,7.0,1.0,,,,,90.0,68.0,7.7,18.0,0.2661,0.241,0.0624493,4,,Morgangibbs27,8.0,2.0,8.0,,,1.0,1.0,1.0,1.0,,6.0,,,,1.0,,2.0,6.0,4.0,,2.0,,,1.0,,,,
11352618,home,Nottingham Forest,Callum Hudson-Odoi,callum-hudson-odoi,C. Hudson-Odoi,M,7,177,9224,M,867442,EUR,973555200,M,14,14,False,22.0,17.0,4.0,3.0,3.0,3.0,14.0,21.0,4.0,1.0,1.0,,,,,71.0,32.0,8.0,7.0,0.1269,0.7192,0.213625,3,,Calteck10,2.0,,2.0,1.0,,1.0,1.0,,1.0,,,,,,,,3.0,2.0,2.0,,1.0,,,2.0,1.0,,,
