match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_totalContest,stat_unsuccessfulTouch,stat_wasFouled,captain,stat_dispossessed,stat_outfielderBlock,stat_totalCross,stat_wonContest,stat_penaltyConceded,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_goals,stat_keyPass,stat_accurateCross,player_sofascoreId,stat_bigChanceCreated,stat_bigChanceMissed,stat_blockedScoringAttempt
12513696,home,Estoril Praia,Kevin Chamorro,,,kevin-chamorro,K. Chamorro,G,22,183,263,M,905406,EUR,955152000,G,1,1,False,26.0,11.0,18.0,4.0,0.0,7.0,8.0,4.0,18.0,8.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,90.0,36.0,7.0,15.0,0.00225488,0,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12513696,home,Estoril Praia,Kévin Boma,Kévin Boma,,kevin-boma,K. Boma,D,44,193,411,M,1049465,EUR,1037750400,D,44,44,False,17.0,16.0,1.0,1.0,0.0,14.0,14.0,2.0,3.0,2.0,,,,,,,,45.0,23.0,6.5,1.0,0.00047258,0,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
12513696,home,Estoril Praia,Felix Bacher,,,felix-bacher,F. Bacher,D,25,190,92,M,943525,EUR,972432000,D,25,25,False,32.0,24.0,7.0,2.0,0.0,21.0,25.0,3.0,7.0,2.0,,,,,,,,90.0,51.0,7.1,10.0,0.00112125,0,,5.0,8.0,8.0,1.0,,4.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12513696,home,Estoril Praia,Pedro Álvaro,,,pedro-alvaro,P. Álvaro,D,,186,247,M,869330,EUR,951955200,D,23,23,False,28.0,23.0,1.0,,0.0,18.0,19.0,5.0,9.0,,,,,,,,,90.0,38.0,6.5,6.0,0.00232894,0,,10.0,4.0,2.0,4.0,,1.0,1.0,2.0,5.0,3.0,2.0,,,,True,1.0,1.0,,,,,,,,,,,,,,,
12513696,home,Estoril Praia,Wagner Pina,,,wagner-pina,W. Pina,M,20,180,484,M,1513625,EUR,1036281600,M,20,20,False,10.0,8.0,,,0.0,2.0,3.0,6.0,9.0,3.0,,,,,,,,67.0,34.0,6.2,15.0,0.00315489,0,,6.0,4.0,1.0,,,1.0,1.0,1.0,,1.0,,5.0,3.0,2.0,,,,2.0,,,,,,,,,,,,,,
12513696,home,Estoril Praia,Xeka,,,xeka,Xeka,M,8,186,229,M,858705,EUR,784425600,M,88,88,False,36.0,29.0,3.0,2.0,0.0,16.0,17.0,13.0,21.0,8.0,,,,,,,,90.0,51.0,6.7,12.0,0.00996892,0,,5.0,5.0,,1.0,,3.0,3.0,1.0,2.0,,,4.0,1.0,,,,,2.0,2.0,,,,,,,,,,,,,
12513696,home,Estoril Praia,Jordan Holsgrove,,,jordan-holsgrove,J. Holsgrove,M,10,180,223,M,920684,EUR,936921600,M,10,10,False,57.0,43.0,6.0,2.0,0.0,24.0,28.0,19.0,29.0,3.0,,,,,,,,90.0,67.0,6.3,17.0,0.0194281,0,,3.0,4.0,,,,2.0,2.0,1.0,1.0,1.0,,2.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,
12513696,home,Estoril Praia,Pedro Amaral,,,amaral-pedro,P. Amaral,D,24,178,86,M,834247,EUR,872467200,M,24,24,False,15.0,14.0,1.0,1.0,0.0,11.0,12.0,3.0,4.0,1.0,,,,,,,,84.0,28.0,6.6,3.0,0.00316903,0,,2.0,2.0,4.0,,,2.0,1.0,2.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
12513696,home,Estoril Praia,Rafik Guitane,,,rafik-guitane,R. Guitane,F,99,170,2125,M,826210,EUR,927676800,F,99,99,False,17.0,12.0,,,0.0,6.0,8.0,6.0,9.0,4.0,,,,,,,,67.0,30.0,6.3,14.0,0.00523622,1,,6.0,1.0,,,,,,,1.0,,,2.0,4.0,1.0,,3.0,,,,,1.0,1.0,0.0404,0.0771,,,,,,,,
12513696,home,Estoril Praia,Yanis Begraoui,,,yanis-begraoui,Y. Begraoui,F,14,175,1812,M,930246,EUR,994204800,F,14,14,False,10.0,6.0,2.0,1.0,0.0,3.0,3.0,3.0,7.0,1.0,,,,,,,,66.0,20.0,7.1,6.0,0.00262023,2,,4.0,3.0,1.0,,,1.0,1.0,1.0,2.0,,,,1.0,2.0,,1.0,,,,,1.0,,0.8296,0.9216,1.0,1.0,,,,,,
