match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,length,injury,description
10438171,FT,0.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
10438171,,,,,90,3.0,,1,,,card,Cuca,Foul,False,120542790.0,False,yellow,1093294.0,Cuca,,,
10438171,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,9.0,,
10438171,,,,,83,,,8,,,card,Vítor Tormena,Foul,False,120542773.0,True,yellow,892426.0,Vítor Tormena,,,
10438171,,,,,82,,,9,,,substitution,,,,121436465.0,True,regular,,,,False,
10438171,,,,,81,,,10,,,substitution,,,,121436464.0,True,regular,,,,False,
10438171,,,,,74,,,17,,,inGamePenalty,,goalkeeperSave,,118410627.0,True,missed,314380.0,Ricardo Horta,,,Goalkeeper save
10438171,,,,,73,,,18,,,substitution,,,,121436448.0,True,regular,,,,False,
10438171,,,,,72,,,19,,,card,Léo Bolgado,Foul,False,120542745.0,False,yellow,1095918.0,Léo Bolgado,,,
10438171,,,,,68,,,23,,,substitution,,,,121436438.0,False,regular,,,,False,
10438171,,,,,68,,,23,,,substitution,,,,121436437.0,False,injury,,,,True,
10438171,,,,,61,,,30,,,substitution,,,,121436418.0,False,regular,,,,False,
10438171,,,,,61,,,30,,,substitution,,,,121436417.0,False,regular,,,,False,
10438171,,,,,59,,,32,,,card,Yan Eteki,Foul,False,120542693.0,False,yellow,848082.0,Yan Eteki,,,
10438171,,,,,58,,,33,,,substitution,,,,121436405.0,True,regular,,,,False,
10438171,,,,,46,,,45,,,substitution,,,,121436367.0,True,regular,,,,False,
10438171,HT,0.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
10438171,,,,,45,8.0,,1,,,card,Iuri Medeiros,Argument,False,120542624.0,True,yellow,252613.0,Iuri Medeiros,,,
10438171,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,6.0,,
10438171,,,,,34,,,12,,,substitution,,,,121436230.0,False,injury,,,,True,
10438171,,0.0,1.0,,23,,,23,,,goal,,,,167019672.0,False,regular,123231.0,Rafael Martins,,,
