match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,player_sofascoreId,stat_interceptionWon,stat_unsuccessfulTouch,stat_keyPass,stat_shotOffTarget,stat_expectedGoals,stat_accurateCross,stat_blockedScoringAttempt,player_firstName,player_lastName,captain,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goalAssist,stat_totalOffside
11368666,home,Deportivo Alavés,Antonio Sivera,antonio-sivera,A. Sivera,G,1,184.0,563,M,369004,EUR,839721600,G,1,1,False,25.0,11.0,25.0,11.0,11.0,25.0,3.0,7.0,2.0,4.0,4.0,3.0,90.0,37.0,8.3,14.0,0.00324217,0,0.6695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368666,home,Deportivo Alavés,Nahuel Tenaglia,nahuel-tenaglia,N. Tenaglia,D,14,182.0,1025,M,896073,EUR,824860800,D,14,14,False,12.0,8.0,2.0,1.0,4.0,7.0,6.0,1.0,,,,,90.0,36.0,7.2,8.0,0.00530408,0,,4.0,6.0,1.0,1.0,2.0,5.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
11368666,home,Deportivo Alavés,Abdelkabir Abqar,abqar-abdelkabir,A. Abqar,D,3,188.0,4060,M,1101232,EUR,921024000,D,5,5,False,17.0,9.0,5.0,1.0,2.0,8.0,5.0,6.0,,,,,90.0,30.0,7.3,10.0,0.0195531,0,,7.0,9.0,,2.0,,4.0,2.0,1.0,,,,3.0,1.0,1.0,1.0,1.0,abdel.abqar,1.0,2.0,1.0,,,,,,,,,,,,
11368666,home,Deportivo Alavés,Rafa Marín,rafa-marin,R. Marín,D,4,190.0,2354,M,984623,EUR,1021766400,D,16,16,False,27.0,20.0,8.0,3.0,5.0,12.0,7.0,4.0,,,,,90.0,44.0,7.5,7.0,0.0310808,1,,15.0,15.0,,1.0,2.0,2.0,4.0,,,,,1.0,1.0,1.0,1.0,1.0,,3.0,,,1.0,0.016,,,,,,,,,,
11368666,home,Deportivo Alavés,Javi López,lopez-javi,J. López,D,25,183.0,401,M,945404,EUR,1009843200,D,27,27,False,24.0,19.0,8.0,6.0,9.0,15.0,4.0,5.0,,,,,90.0,51.0,6.8,14.0,0.0111777,1,,11.0,12.0,3.0,1.0,,5.0,2.0,,,2.0,,1.0,1.0,,1.0,2.0,,,1.0,,,0.0476,1.0,1.0,,,,,,,,
11368666,home,Deportivo Alavés,Carlos Benavídez,carlos-benavidez,C. Benavídez,M,23,185.0,382,M,873717,EUR,891216000,M,23,23,False,22.0,16.0,4.0,1.0,6.0,11.0,2.0,5.0,,,,,90.0,33.0,7.2,7.0,0.0100573,1,,10.0,11.0,,,1.0,3.0,4.0,,,,,,3.0,,,3.0,,1.0,1.0,,,0.0361,,,,,True,1.0,1.0,0.3128,,
11368666,home,Deportivo Alavés,Antonio Blanco,antonio-blanco,A. Blanco,M,8,176.0,1655,M,855832,EUR,964310400,M,8,8,False,23.0,18.0,1.0,,10.0,14.0,2.0,3.0,,,,,90.0,33.0,6.9,6.0,0.00898627,0,,8.0,10.0,1.0,,1.0,4.0,3.0,1.0,,1.0,1.0,,1.0,1.0,,3.0,,2.0,,,,,,,,,,,,,,
11368666,home,Deportivo Alavés,Andoni Gorosabel,andoni-gorosabel,A. Gorosabel,D,2,174.0,530,M,866810,EUR,839116800,M,2,2,False,9.0,5.0,2.0,,5.0,13.0,,7.0,,,,,88.0,29.0,6.9,14.0,0.0529258,0,,3.0,3.0,7.0,1.0,1.0,5.0,6.0,1.0,2.0,1.0,1.0,,2.0,1.0,2.0,2.0,,1.0,4.0,1.0,,,3.0,,,,,,,,,
11368666,home,Deportivo Alavés,Jon Guridi,jon-guridi,J. Guridi,M,18,179.0,324,M,788141,EUR,793929600,M,18,18,False,17.0,14.0,1.0,1.0,6.0,9.0,1.0,3.0,,,,,70.0,25.0,6.5,6.0,0.0384984,0,,8.0,8.0,,1.0,1.0,4.0,2.0,1.0,1.0,,,,,,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,
11368666,home,Deportivo Alavés,Giuliano Simeone,giuliano-simeone,G. Simeone,M,20,178.0,16028,M,1099352,EUR,1040169600,M,20,20,False,21.0,17.0,1.0,,13.0,21.0,,4.0,,,,,79.0,40.0,6.5,14.0,0.0630742,2,,4.0,4.0,4.0,2.0,,10.0,3.0,3.0,1.0,6.0,2.0,,,,1.0,,giulisimeone,1.0,1.0,1.0,1.0,0.1382,,1.0,,,,,,,,
