match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_keyPass,captain,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_challengeLost,stat_fouls,stat_dispossessed,stat_bigChanceCreated,stat_wonTackle,stat_hitWoodwork,stat_bigChanceMissed,stat_goalAssist,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_penaltyConceded,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyMiss
10913349,home,Al Batin,Meshaal Huriss,Meshaal Huriss,,meshaal-huriss,M. Huriss,G,1,185.0,2,M,1085983,EUR,846892800.0,G,22,22,False,20.0,16.0,8.0,5.0,13.0,16.0,3.0,4.0,9.0,4.0,1.0,1.0,7.0,90.0,34.0,8.1,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913349,home,Al Batin,Bader Alhwidy Alshammary,Bader Alhwidy Alshammary,,bader-alhwidy-alshammary,B. A. Alshammary,D,29,,2,M,1085356,EUR,,D,29,29,False,40.0,28.0,5.0,1.0,22.0,24.0,7.0,17.0,4.0,,,,,75.0,59.0,6.6,14.0,1,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10913349,home,Al Batin,Mohammed Naji,Mohammed,Naji,mohammed-naji,M. Naji,D,4,170.0,4,M,893173,EUR,751939200.0,D,3,3,False,61.0,56.0,10.0,5.0,43.0,44.0,13.0,18.0,1.0,,,,,90.0,73.0,6.7,9.0,0,1.0,,4.0,5.0,1.0,1.0,,1.0,,,True,4.0,1.0,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,
10913349,home,Al Batin,Mudasiru Salifu,Mudasiru,Salifu,mudasiru-salifu,M. Salifu,M,,177.0,195,M,1392856,EUR,859852800.0,D,90,90,False,59.0,55.0,11.0,8.0,48.0,48.0,7.0,11.0,5.0,,,,,90.0,65.0,6.7,4.0,0,,,2.0,,,,,3.0,,,,,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
10913349,home,Al Batin,Saqr Al-Enazi,Saqr Al-Enazi,,saqr-al-enazi,S. Al-Enazi,D,2,,1,M,1134254,EUR,907372800.0,D,24,24,False,41.0,37.0,4.0,2.0,22.0,23.0,16.0,21.0,7.0,,,,,90.0,69.0,6.3,10.0,0,3.0,1.0,6.0,2.0,1.0,,,3.0,1.0,2.0,,2.0,,,1.0,,1.0,2.0,,1.0,,,,,,,,,,,,,,
10913349,home,Al Batin,Yousef Fawaz,Yousef Fawaz,,yousef-fawaz,Y. Fawaz,M,77,173.0,9,M,1214204,EUR,1013644800.0,M,77,77,False,14.0,12.0,2.0,2.0,10.0,10.0,2.0,6.0,2.0,,,,,65.0,24.0,6.6,7.0,0,2.0,,5.0,3.0,2.0,1.0,,,2.0,1.0,,,,,,1.0,,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,
10913349,home,Al Batin,Juan Pedroza,,,juan-pedroza,J. Pedroza,M,18,176.0,186,M,972585,EUR,923529600.0,M,8,8,False,45.0,41.0,6.0,5.0,26.0,26.0,15.0,23.0,8.0,,,,,90.0,69.0,8.2,10.0,0,4.0,,8.0,13.0,2.0,,,1.0,10.0,,,,1.0,1.0,,,2.0,2.0,4.0,,,3.0,1.0,,,,,,,,,,,
10913349,home,Al Batin,Andrés Roa,,,andres-roa,A. Roa,F,,175.0,286,M,832707,EUR,738201600.0,M,10,10,False,33.0,27.0,,,9.0,10.0,18.0,23.0,2.0,,,,,65.0,45.0,6.2,11.0,1,,,4.0,3.0,2.0,1.0,1.0,,,,,,,,,2.0,2.0,,1.0,2.0,,,,1.0,,,,,,,,,,
10913349,home,Al Batin,Nawaf Al-Sehimai,,,nawaf-al-sehimai,N. Al-Sehimai,M,94,169.0,1,M,923013,EUR,783993600.0,M,94,94,False,39.0,35.0,4.0,4.0,21.0,22.0,14.0,17.0,2.0,,,,,75.0,52.0,6.9,6.0,0,,,2.0,3.0,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,
10913349,home,Al Batin,Abdullah Al-Barrih,Abdullah Al-Barrih,,abdullah-al-barrih,A. Al-Barrih,M,10,178.0,1,M,1084261,EUR,868838400.0,M,21,21,False,25.0,21.0,5.0,4.0,10.0,10.0,11.0,16.0,4.0,,,,,65.0,35.0,6.9,7.0,1,1.0,,1.0,4.0,4.0,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,
