match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_keyPass,stat_blockedScoringAttempt,captain,player_sofascoreId,stat_outfielderBlock,stat_goals,stat_totalOffside
11067381,home,Internacional,Keiller,keiller,Keiller,G,18,193,462,M,840082,EUR,846547200,G,1,1,False,23.0,15.0,10.0,2.0,13.0,15.0,2.0,8.0,1.0,1.0,2.0,3.0,1.0,90.0,28.0,6.4,8.0,0.0,0.0,0.00065358,0,0.0416,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067381,home,Internacional,Rômulo Zwarg,romulo,R. Zwarg,M,23,182,491,M,989384,EUR,951868800,D,40,40,False,32.0,30.0,1.0,1.0,15.0,15.0,15.0,20.0,,1.0,,,,60.0,51.0,6.9,6.0,0.0602,0.0,0.012642,2,,3.0,1.0,2.0,4.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,
11067381,home,Internacional,Igor Gomes,igor-gomes,I. Gomes,D,25,186,325,M,997023,EUR,983836800,D,21,21,False,70.0,58.0,6.0,4.0,34.0,36.0,25.0,36.0,2.0,10.0,,,,90.0,83.0,6.8,15.0,0.0997,0.4064,0.0501044,1,,2.0,2.0,1.0,4.0,5.0,2.0,2.0,,1.0,2.0,2.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,
11067381,home,Internacional,Nicolás Hernández,nicolas-hernandez,N. Hernández,D,22,180,256,M,887155,EUR,885081600,D,22,22,False,62.0,58.0,6.0,5.0,32.0,33.0,26.0,29.0,3.0,6.0,,,,90.0,70.0,6.8,4.0,0.0,0.0,0.0381679,0,,,3.0,2.0,5.0,2.0,,,,4.0,,,,,3.0,,,,,,,,,,,,,
11067381,home,Internacional,Dalbert,dalbert,Dalbert,D,36,181,321,M,385386,EUR,747446400,D,29,29,False,53.0,43.0,6.0,1.0,22.0,26.0,22.0,31.0,1.0,9.0,,,,90.0,84.0,6.6,21.0,0.0,0.0,0.0799142,0,,4.0,1.0,4.0,5.0,8.0,2.0,,,1.0,3.0,3.0,2.0,1.0,1.0,,,1.0,,1.0,,2.0,,,,,,
11067381,home,Internacional,Campanharo,campanharo,Campanharo,M,,178,121,M,220094,EUR,702345600,M,17,17,False,27.0,24.0,1.0,1.0,9.0,9.0,15.0,19.0,,3.0,,,,70.0,38.0,6.6,8.0,0.0244,0.0,0.0294625,1,,1.0,2.0,,7.0,5.0,5.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,
11067381,home,Internacional,Gabriel Girotto,gabriel-girotto,Gabriel,M,6,171,540,M,242052,EUR,710726400,M,23,23,False,101.0,100.0,7.0,7.0,44.0,44.0,56.0,57.0,1.0,7.0,,,,90.0,114.0,7.4,3.0,0.024,0.0,0.0358305,2,,,,1.0,2.0,6.0,,,1.0,1.0,4.0,4.0,2.0,1.0,1.0,,,,1.0,,,,1.0,,,,,
11067381,home,Internacional,Gabriel Barros,barros-gabriel,G. Barros,M,7,182,180,M,1020259,EUR,1003968000,M,42,42,False,32.0,31.0,1.0,1.0,8.0,8.0,23.0,26.0,1.0,5.0,,,,61.0,44.0,6.7,8.0,0.143,0.0,0.131988,1,,2.0,,,2.0,1.0,3.0,1.0,1.0,1.0,,,3.0,,1.0,,,,,,,2.0,,,,,,
11067381,home,Internacional,Bruno Henrique,bruno-henrique,B. Henrique,M,8,180,899,M,345113,EUR,624931200,M,8,8,False,67.0,57.0,4.0,2.0,22.0,22.0,38.0,50.0,,3.0,,,,79.0,81.0,7.4,13.0,0.1865,0.1228,0.17627,3,,5.0,,,6.0,3.0,,,1.0,,,,,3.0,2.0,,,3.0,3.0,1.0,1.0,3.0,1.0,,,,,
11067381,home,Internacional,Lucca,lucca,L. Holanda,F,99,180,616,M,1199435,EUR,1049241600,F,45,45,False,16.0,13.0,,,3.0,3.0,10.0,13.0,1.0,1.0,,,,79.0,27.0,6.9,6.0,0.0905,0.1345,0.0148988,2,,,4.0,,4.0,3.0,1.0,1.0,,1.0,2.0,1.0,3.0,,,Lucca,,,,,1.0,,1.0,,,,,
