match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_aerialWon,stat_totalClearance,player_firstName,player_lastName,player_sofascoreId,stat_shotOffTarget,stat_keyPass,stat_challengeLost,stat_hitWoodwork,stat_blockedScoringAttempt,stat_totalOffside,stat_goodHighClaim,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceCreated,stat_bigChanceMissed,stat_goalAssist
10388376,home,Eintracht Frankfurt,Kevin Trapp,kevin-trapp,K. Trapp,G,35,189,1775,M,38440,EUR,647395200,G,1,1,False,True,20.0,15.0,7.0,2.0,13.0,15.0,2.0,5.0,6.0,1.0,2.0,90.0,26.0,6.7,5.0,0.0,0.0,0.00029148,0,-0.4919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388376,home,Eintracht Frankfurt,Ansgar Knauff,ansgar-knauff,A. Knauff,M,7,180,2079,M,997012,EUR,1010620800,D,36,36,False,,40.0,30.0,2.0,,17.0,19.0,14.0,23.0,4.0,,,82.0,65.0,6.8,15.0,0.0,0.0,0.0725134,0,,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10388376,home,Eintracht Frankfurt,Tuta,tuta,Tuta,D,3,184,1088,M,964191,EUR,931046400,D,35,35,False,,90.0,80.0,9.0,4.0,64.0,66.0,16.0,24.0,5.0,,,90.0,101.0,6.5,11.0,0.0,0.0,0.0111258,0,,,,5.0,2.0,1.0,,,,,,,1.0,1.0,3.0,1.0,4.0,,,,,,,,,,,,,,,,
10388376,home,Eintracht Frankfurt,Evan Ndicka,evan-ndicka,E. Ndicka,D,5,190,9201,M,848287,EUR,935107200,D,2,2,False,,86.0,82.0,2.0,1.0,57.0,58.0,25.0,28.0,7.0,,,90.0,92.0,6.9,4.0,0.1031,0.0,0.00604147,1,,,,2.0,4.0,,,,1.0,1.0,1.0,,,2.0,,3.0,1.0,,,evanndicka,1.0,,,,,,,,,,,,
10388376,home,Eintracht Frankfurt,Luca Pellegrini,luca-pellegrini,L. Pellegrini,D,3,178,1348,M,826186,EUR,920764800,D,33,33,False,,64.0,50.0,14.0,9.0,27.0,29.0,24.0,47.0,8.0,,,90.0,101.0,7.5,32.0,0.0302,0.0,0.0628449,1,,12.0,1.0,4.0,8.0,,2.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,
10388376,home,Eintracht Frankfurt,Kristijan Jakić,kristijan-jakic,K. Jakić,M,17,181,2258,M,796206,EUR,863568000,M,6,6,False,,57.0,47.0,8.0,7.0,22.0,25.0,26.0,34.0,7.0,,,90.0,69.0,7.1,14.0,0.0237,0.0,0.243232,1,,2.0,1.0,6.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,1.0,2.0,3.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,
10388376,home,Eintracht Frankfurt,Djibril Sow,djibril-sow,D. Sow,M,20,184,1940,M,799054,EUR,855187200,M,8,8,False,,56.0,46.0,4.0,2.0,26.0,29.0,20.0,27.0,8.0,,,90.0,66.0,6.9,11.0,0.0,0.0,0.0307298,0,,,,,6.0,,,,,1.0,,,4.0,,,1.0,1.0,,,,,,,,,,,,,,,,
10388376,home,Eintracht Frankfurt,Randal Kolo Muani,randal-kolo-muani,R. K. Muani,F,39,187,23574,M,871706,EUR,912816000,M,9,9,False,,11.0,6.0,,,3.0,3.0,3.0,10.0,3.0,,,90.0,28.0,6.1,14.0,0.1157,0.0,0.00550689,2,,2.0,,7.0,3.0,2.0,2.0,1.0,,,,3.0,1.0,3.0,,1.0,,,,RKM,1.0,,1.0,,1.0,,,,,,,,
10388376,home,Eintracht Frankfurt,Daichi Kamada,daichi-kamada,D. Kamada,M,18,184,6899,M,794338,EUR,839203200,M,15,15,False,,20.0,14.0,1.0,,5.0,6.0,10.0,15.0,5.0,,,64.0,26.0,6.7,7.0,0.2012,0.0,0.133391,1,,1.0,1.0,2.0,2.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,kamadadaichi,1.0,1.0,,,,1.0,,,,,,,
10388376,home,Eintracht Frankfurt,Mario Götze,mario-gotze,M. Götze,M,27,176,5881,M,66518,EUR,707529600,M,27,27,False,,46.0,32.0,5.0,2.0,14.0,15.0,19.0,34.0,5.0,,,90.0,55.0,7.2,16.0,0.0,0.0,0.119347,0,,3.0,1.0,,3.0,,,,,2.0,1.0,,1.0,1.0,,,,,,MarioGotze,,2.0,,,,,,,,,,,
10388376,home,Eintracht Frankfurt,Rafael Borré,rafael-borre,R. Borré,F,19,174,5880,M,560116,EUR,811123200,F,19,19,False,,18.0,14.0,,,4.0,5.0,10.0,15.0,1.0,,,64.0,26.0,6.7,9.0,0.0866,0.0,0.0399522,1,,2.0,,3.0,,,,,,,,3.0,,2.0,1.0,,1.0,,,rafaelsantosborre,1.0,1.0,,,,1.0,,,,,,,
10388376,home,Eintracht Frankfurt,Jesper Lindstrøm,jesper-lindstrom,J. Lindstrøm,M,19,182,2675,M,947929,EUR,951782400,M,29,29,True,,7.0,6.0,,,3.0,3.0,3.0,6.0,1.0,,,26.0,13.0,6.6,3.0,0.0847,0.0,0.00134548,2,,2.0,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,2.0,,,,,,,,
