match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,player_firstName,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,captain,stat_blockedScoringAttempt,stat_wasFouled,stat_dispossessed,stat_goals,player_lastName,stat_bigChanceCreated,stat_accurateCross,stat_lastManTackle
11369311,home,Valencia,Giorgi Mamardashvili,giorgi-mamardashvili,G. Mamardashvili,G,25,200,17187,M,mamardashvili,930997,EUR,970185600,G,25,25,False,33.0,14.0,29.0,10.0,6.0,7.0,8.0,26.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,3.0,3.0,90.0,43.0,7.6,20.0,0.0,0.0,0.00240427,0,0.565,,,,,,,,,,,,,,,,,,,,,,,,,
11369311,home,Valencia,Thierry Correia,correia-thierry,T. Correia,D,12,176,798,M,,851282,EUR,920937600,D,12,12,False,35.0,29.0,3.0,,16.0,17.0,13.0,19.0,1.0,5.0,5.0,1.0,1.0,,,,,83.0,60.0,7.1,9.0,0.0,0.0,0.00714065,0,,1.0,1.0,1.0,5.0,3.0,1.0,2.0,4.0,2.0,1.0,,,,,,,,,,,,,,,
11369311,home,Valencia,Cristhian Mosquera,cristhian-mosquera,C. Mosquera,D,3,191,15807,M,,1144630,EUR,1088294400,D,3,3,False,34.0,29.0,1.0,,24.0,26.0,5.0,8.0,,4.0,4.0,5.0,,2.0,,,,90.0,45.0,7.0,5.0,0.2169,0.0,0.0017468,1,,,,1.0,3.0,,1.0,,3.0,2.0,,Cristhian Mosquera,1.0,1.0,1.0,,,,,,,,,,,
11369311,home,Valencia,Mouctar Diakhaby,mouctar-diakhaby,M. Diakhaby,D,4,192,4026,M,mouctar_dkh,797306,EUR,850953600,D,4,4,False,33.0,30.0,8.0,6.0,25.0,28.0,5.0,5.0,1.0,2.0,7.0,1.0,,,,,,90.0,47.0,7.4,3.0,0.3048,0.9536,0.00170443,1,,,,2.0,2.0,,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,,,,
11369311,home,Valencia,José Luis Gayà,jose-luis-gaya,J. L. Gayà,D,14,172,1685,M,,227922,EUR,801360000,D,14,14,False,33.0,24.0,9.0,4.0,10.0,12.0,14.0,22.0,,1.0,1.0,4.0,,,,,,70.0,47.0,6.9,11.0,0.0919,0.0,0.0390125,2,,,1.0,,,,,1.0,,,2.0,,,,,,,True,2.0,1.0,,,,,,
11369311,home,Valencia,Pepelu,pepelu,Pepelu,M,18,185,1838,M,,826948,EUR,902793600,M,18,18,False,41.0,39.0,1.0,1.0,18.0,18.0,21.0,28.0,1.0,4.0,3.0,5.0,1.0,2.0,,,,90.0,62.0,6.7,12.0,0.0,0.0,0.0190734,0,,,5.0,2.0,11.0,3.0,1.0,1.0,3.0,2.0,,,,,,,1.0,,,,3.0,,,,,
11369311,home,Valencia,Javier Guerra,javier-guerra,J. Guerra,M,8,187,1800,M,,1122610,EUR,1052784000,M,8,8,False,23.0,16.0,2.0,1.0,6.0,7.0,10.0,17.0,,7.0,1.0,5.0,4.0,1.0,,,,90.0,49.0,7.7,14.0,0.0569,0.2217,0.0108789,1,,,1.0,,3.0,,2.0,2.0,1.0,,,,2.0,,,1.0,,,,4.0,2.0,1.0,,,,
11369311,home,Valencia,Fran Pérez,fran-perez,F. Pérez,M,21,176,466,M,,966637,EUR,1031529600,M,23,23,False,14.0,13.0,1.0,1.0,6.0,6.0,7.0,8.0,,3.0,1.0,3.0,3.0,3.0,,,,90.0,32.0,6.6,10.0,0.0,0.0,0.0189757,0,,1.0,,2.0,13.0,2.0,4.0,1.0,2.0,1.0,1.0,,,,,,,,,1.0,2.0,,,1.0,,
11369311,home,Valencia,André Almeida,andre-almeida,A. Almeida,M,10,176,1200,M,,845693,EUR,959644800,M,10,10,False,26.0,23.0,,,6.0,9.0,18.0,19.0,1.0,3.0,,3.0,,,,,,70.0,33.0,7.3,5.0,0.0795,0.0,0.146672,1,,,2.0,,1.0,,1.0,,1.0,1.0,3.0,,,,,,,,1.0,1.0,,,,1.0,1.0,
11369311,home,Valencia,Sergi Canós,sergi-canos,S. Canós,M,7,173,366,M,,790833,EUR,854841600,M,7,7,False,14.0,12.0,1.0,1.0,6.0,6.0,6.0,9.0,,5.0,,8.0,4.0,1.0,,,,59.0,30.0,7.5,9.0,0.0358,0.0666,0.0149629,2,,,1.0,1.0,4.0,,2.0,,2.0,,,,1.0,,,2.0,1.0,,,2.0,1.0,,,,,
