match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_duelLost,stat_dispossessed,stat_totalTackle,stat_keyPass,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_errorLeadToAShot,stat_wasFouled,stat_wonTackle,stat_fouls,stat_aerialLost,player_sofascoreId,stat_bigChanceMissed,stat_goalAssist,stat_interceptionWon,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside,stat_hitWoodwork
12059487,home,Feyenoord,Timon Wellenreuther,,,timon-wellenreuther,T. Wellenreuther,G,22,186,589,M,253875,EUR,817948800,G,22,22,False,60.0,56.0,6.0,2.0,53.0,54.0,3.0,6.0,1.0,12.0,1.0,1.0,1.0,90.0,69.0,6.6,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12059487,home,Feyenoord,Lutsharel Geertruida,,,lutsharel-geertruida,L. Geertruida,D,6,185,2491,M,856739,EUR,963878400,D,4,4,False,84.0,81.0,,,50.0,52.0,31.0,32.0,3.0,2.0,,,,90.0,97.0,7.0,6.0,1,True,3.0,4.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
12059487,home,Feyenoord,Thomas Beelen,,,thomas-beelen,T. Beelen,D,3,190,422,M,1127916,EUR,992217600,D,3,3,False,103.0,93.0,4.0,2.0,60.0,69.0,33.0,34.0,2.0,11.0,,,,90.0,110.0,7.0,11.0,0,,5.0,7.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12059487,home,Feyenoord,Dávid Hancko,,,david-hancko,D. Hancko,D,17,188,4795,M,807771,EUR,881971200,D,33,33,False,108.0,95.0,16.0,9.0,44.0,47.0,52.0,64.0,3.0,7.0,,,,90.0,126.0,8.1,17.0,2,,1.0,3.0,1.0,,,,2.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
12059487,home,Feyenoord,Marcos López,,,marcos-lopez,M. López,D,15,176,2887,M,883745,EUR,943056000,D,15,15,False,48.0,39.0,3.0,,26.0,29.0,13.0,19.0,1.0,2.0,,,,45.0,58.0,6.7,10.0,2,,1.0,2.0,,,,1.0,,,1.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,
12059487,home,Feyenoord,Mats Wieffer,,,mats-wieffer,M. Wieffer,M,27,188,2173,M,959628,EUR,942710400,M,20,20,False,69.0,56.0,7.0,2.0,21.0,26.0,35.0,43.0,1.0,3.0,,,,90.0,89.0,7.1,18.0,1,,7.0,12.0,,,,1.0,9.0,4.0,4.0,1.0,,,1.0,,1.0,,,1.0,,1.0,2.0,4.0,,,,,,,,,
12059487,home,Feyenoord,Quinten Timber,,,quinten-timber,Q. Timber,M,27,177,8638,M,959805,EUR,992736000,M,8,8,False,40.0,30.0,2.0,1.0,12.0,14.0,18.0,27.0,,3.0,,,,81.0,54.0,6.6,16.0,1,,,5.0,2.0,,,1.0,6.0,2.0,4.0,,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,,,
12059487,home,Feyenoord,Yankuba Minteh,,,minteh-yankuba,Y. Minteh,M,11,180,7041,M,1400106,EUR,1090454400,M,19,19,False,34.0,24.0,3.0,,4.0,5.0,20.0,31.0,,3.0,,,,90.0,58.0,7.9,15.0,6,,,10.0,10.0,8.0,1.0,,4.0,,1.0,4.0,2.0,,,,3.0,2.0,,,,1.0,1.0,1.0,1.0,minteh01,2.0,,,,,,
12059487,home,Feyenoord,Calvin Stengs,,,calvin-stengs,C. Stengs,M,23,187,1731,M,857480,EUR,913939200,M,10,10,False,48.0,43.0,2.0,,9.0,11.0,35.0,39.0,,3.0,,,,89.0,70.0,7.9,12.0,1,,1.0,7.0,6.0,5.0,,4.0,4.0,1.0,,2.0,2.0,1.0,1.0,2.0,1.0,,,,,1.0,,1.0,,,,1.0,1.0,,,,
12059487,home,Feyenoord,Igor Paixão,,,igor-paixao,I. Paixão,F,14,168,12533,M,981815,EUR,962150400,M,14,14,False,10.0,10.0,1.0,1.0,3.0,3.0,9.0,11.0,,1.0,,,,45.0,23.0,6.8,5.0,0,,,4.0,4.0,2.0,,,3.0,,1.0,3.0,4.0,2.0,,,,,,,,1.0,,1.0,,,,,,,,,
