match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,injury,confirmed
14053833,FT,0.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
14053833,,,,,90,0.0,,1,,,injuryTime,4.0,,,,,,,,,,
14053833,,,,,89,,,2,,,card,,Clint Leemans,Foul,False,124602653.0,True,yellow,336811.0,Clint Leemans,,
14053833,,,,,73,,,18,,,substitution,,,,,125448390.0,True,regular,,,False,
14053833,,,,,73,,,18,,,substitution,,,,,125448391.0,True,regular,,,False,
14053833,,,,,73,,,18,,,substitution,,,,,125448392.0,True,regular,,,False,
14053833,,,,,70,,,21,,,substitution,,,,,125448361.0,False,regular,,,False,
14053833,,,,,70,,,21,,,substitution,,,,,125448342.0,False,regular,,,False,
14053833,,,,,68,,,23,,,card,,Miliano Jonathans,Foul,False,124602572.0,False,yellow,1211982.0,Miliano Jonathans,,
14053833,,,,,63,,,28,,,card,,Mohamed Nassoh,Foul,False,124602559.0,True,yellow,1088895.0,Mohamed Nassoh,,
14053833,,,,,62,,,29,,,substitution,,,,,125448264.0,False,regular,,,False,
14053833,,,,,55,,,36,,,substitution,,,,,125448224.0,True,regular,,,False,
14053833,,,,,52,,,39,,,card,,Arthur Zagre,Foul,False,124602498.0,False,yellow,910053.0,Arthur Zagre,,
14053833,,,,,46,,,45,,,substitution,,,,,125448182.0,False,regular,,,False,
14053833,HT,0.0,2.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
14053833,,,,,45,0.0,,1,,,injuryTime,4.0,,,,,,,,,,
14053833,,,,,32,,,14,,,substitution,,,,,125448091.0,True,regular,,,False,
14053833,,0.0,2.0,,31,,,15,,,goal,,,,,337212192.0,False,regular,1384483.0,Irakli Yegoian,,
14053833,,0.0,1.0,,18,,,28,,,goal,,,,,337210731.0,False,regular,794362.0,Emil Hansson,,
14053833,,,,,14,,,32,,,substitution,,,,,125448013.0,False,injury,,,True,
14053833,,,,,12,,,34,,,card,,Rio Hillen,Foul,False,124602233.0,True,red,1012927.0,Rio Hillen,,
14053833,,,,,11,,,35,,,varDecision,,,,,94822.0,True,cardUpgrade,1012927.0,Rio Hillen,,False
