match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_aerialLost,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_shotOffTarget,stat_interceptionWon,stat_keyPass,stat_wonTackle,captain,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_goalAssist,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,player_sofascoreId,stat_bigChanceCreated,stat_hitWoodwork
11391371,home,Toulouse,Guillaume Restes,Guillaume,Restes,guillaume-restes,G. Restes,G,1,188,2069,M,1154630,EUR,1110499200,G,50,50,False,20.0,17.0,4.0,1.0,17.0,20.0,5.0,90.0,23.0,6.0,3.0,0.00018175,0,-1.0498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391371,home,Toulouse,Mikkel Desler,,,mikkel-desler,M. Desler,D,3,187,109,M,226958,EUR,793152000,D,3,3,False,67.0,55.0,3.0,2.0,22.0,24.0,11.0,90.0,91.0,6.6,19.0,0.0310127,2,,34.0,46.0,3.0,1.0,3.0,4.0,5.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0517,,,,,,,,,,,,,,,,,,,,,,
11391371,home,Toulouse,Christian Mawissa,,,christian-mawissa,C. Mawissa,D,13,184,895,M,1407848,EUR,1113782400,D,13,13,False,72.0,63.0,4.0,,43.0,45.0,7.0,60.0,81.0,6.2,11.0,0.0129999,1,,20.0,27.0,,,1.0,10.0,3.0,,2.0,1.0,1.0,,,1.0,0.0207,8.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11391371,home,Toulouse,Rasmus Nicolaisen,,,rasmus-nicolaisen,R. Nicolaisen,D,2,190,261,M,798124,EUR,858470400,D,2,2,False,98.0,87.0,6.0,3.0,47.0,54.0,2.0,90.0,104.0,7.0,11.0,0.0439867,1,,40.0,44.0,,,7.0,3.0,9.0,,,,,,1.0,1.0,0.1011,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11391371,home,Toulouse,Gabriel Suazo,,,gabriel-suazo,G. Suazo,M,12,178,3981,M,818986,EUR,871084800,D,17,17,False,59.0,49.0,2.0,1.0,23.0,23.0,5.0,80.0,85.0,6.7,18.0,0.0680621,0,,27.0,41.0,5.0,1.0,,3.0,4.0,1.0,3.0,2.0,,2.0,1.0,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,
11391371,home,Toulouse,Niklas Schmidt,,,niklas-schmidt,N. Schmidt,M,31,183,152,M,795002,EUR,888710400,M,20,20,False,76.0,64.0,8.0,5.0,22.0,25.0,5.0,80.0,83.0,6.9,17.0,0.0860079,0,,42.0,55.0,4.0,,2.0,3.0,3.0,1.0,,,,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,
11391371,home,Toulouse,Vincent Sierro,,,vincent-sierro,V. Sierro,M,14,184,461,M,794412,EUR,813110400,M,8,8,False,31.0,30.0,4.0,4.0,12.0,12.0,1.0,60.0,44.0,6.6,5.0,0.143568,3,,20.0,25.0,6.0,2.0,1.0,4.0,2.0,2.0,,,2.0,,2.0,1.0,0.2567,1.0,,,,,1.0,1.0,1.0,,True,1.0,,,,,,,,,,,
11391371,home,Toulouse,Shavy Warren Babicka,,,babicka-shavy-warren,S. W. Babicka,F,80,180,1188,M,1136280,EUR,959817600,M,80,80,False,27.0,18.0,,,1.0,2.0,2.0,90.0,48.0,6.7,20.0,0.266203,1,,18.0,28.0,3.0,1.0,,6.0,5.0,2.0,6.0,2.0,1.0,4.0,,,0.0342,,,,,3.0,,,2.0,2.0,,,,,,,,,,,,,
11391371,home,Toulouse,Yann Gboho,,,yann-gboho,Y. Gboho,F,10,173,957,M,911851,EUR,979430400,M,37,37,False,27.0,22.0,,,4.0,4.0,2.0,90.0,45.0,7.0,14.0,0.0275958,2,,18.0,28.0,5.0,,,5.0,7.0,,3.0,2.0,,1.0,4.0,1.0,0.0943,1.0,2.0,,,1.0,1.0,,,,,,1.0,0.0158,,,,,,,,,
11391371,home,Toulouse,Aron Dønnum,,,aron-donnum,A. Dønnum,M,15,179,643,M,863133,EUR,893030400,M,15,15,False,22.0,17.0,,,5.0,7.0,1.0,60.0,33.0,6.1,11.0,0.016923,0,,12.0,16.0,1.0,,,6.0,4.0,,6.0,1.0,,,2.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
