match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_aerialWon,stat_totalOffside,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_shotOffTarget,stat_errorLeadToAGoal,stat_challengeLost,stat_bigChanceCreated,stat_keyPass,player_firstName,player_lastName,captain,stat_dispossessed,stat_goals,stat_goalAssist,stat_bigChanceMissed,stat_hitWoodwork,player_sofascoreId,stat_penaltyWon
10433843,home,Kayserispor,Bilal Bayazit,bilal-bayazit,B. Bayazit,G,25,185,235,M,825850,EUR,923529600,G,25,25,False,40.0,29.0,18.0,7.0,27.0,31.0,2.0,9.0,1.0,1.0,12.0,1.0,1.0,5.0,1.0,6.0,90.0,55.0,7.3,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433843,home,Kayserispor,Onur Bulut,onur-bulut,O. Bulut,D,6,179,564,M,142494,EUR,766454400,D,38,38,False,42.0,35.0,4.0,2.0,14.0,18.0,22.0,25.0,4.0,4.0,2.0,2.0,,,,,90.0,64.0,7.0,11.0,0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10433843,home,Kayserispor,Majid Hosseini,majid-hosseini,M. Hosseini,D,5,187,801,M,359332,EUR,835228800,D,5,5,False,39.0,36.0,7.0,4.0,27.0,28.0,9.0,11.0,2.0,3.0,1.0,,,,,,90.0,46.0,6.7,4.0,0,,,,1.0,,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10433843,home,Kayserispor,Dimitris Kolovetsios,dimitris-kolovetsios,D. Kolovetsios,D,,183,104,M,68228,EUR,687571200,D,4,4,False,43.0,38.0,5.0,1.0,37.0,37.0,1.0,6.0,,10.0,1.0,,,,,,90.0,60.0,6.9,5.0,2,,,1.0,1.0,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
10433843,home,Kayserispor,Lionel Carole,lionel-carole,L. Carole,D,23,180,84,M,122922,EUR,671414400,D,21,21,False,28.0,24.0,1.0,,15.0,18.0,10.0,13.0,,3.0,3.0,,,,,,90.0,52.0,6.1,8.0,1,3.0,1.0,,2.0,1.0,,,,4.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,
10433843,home,Kayserispor,Ramazan Civelek,ramazan-civelek,R. Civelek,M,28,172,61,M,781408,EUR,822268800,M,28,28,False,28.0,23.0,1.0,,8.0,8.0,16.0,21.0,,2.0,6.0,,,,,,69.0,32.0,6.9,6.0,0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,
10433843,home,Kayserispor,Miguel Cardoso,miguel-cardoso,M. Cardoso,M,7,176,325,M,344009,EUR,771984000,M,7,7,False,24.0,19.0,1.0,1.0,9.0,11.0,10.0,18.0,5.0,1.0,3.0,1.0,,,,,87.0,40.0,6.9,11.0,1,5.0,,3.0,5.0,3.0,2.0,,,,2.0,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,
10433843,home,Kayserispor,Campanharo,campanharo,Campanharo,M,,178,121,M,220094,EUR,702345600,M,88,88,False,42.0,34.0,5.0,2.0,22.0,24.0,12.0,19.0,3.0,1.0,6.0,1.0,,,,,87.0,55.0,6.4,13.0,1,1.0,,,4.0,2.0,,,1.0,3.0,,,2.0,,1.0,2.0,,,1.0,,,1.0,,,,,,,,,,,,
10433843,home,Kayserispor,Bernard Mensah,bernard-mensah,B. Mensah,M,43,180,416,M,546220,EUR,782352000,M,43,43,False,38.0,35.0,4.0,4.0,23.0,26.0,12.0,14.0,4.0,,8.0,3.0,,,,,87.0,56.0,6.6,15.0,1,2.0,,,3.0,,,,1.0,1.0,,,5.0,,,1.0,,,1.0,,,,,,,,True,3.0,,,,,,
10433843,home,Kayserispor,Mame Thiam,mame-thiam,M. Thiam,F,17,185,1076,M,180981,EUR,718588800,M,27,27,False,28.0,19.0,1.0,,10.0,11.0,9.0,17.0,8.0,,3.0,1.0,,,,,90.0,35.0,7.1,9.0,1,,,2.0,3.0,1.0,1.0,,,1.0,2.0,2.0,,,1.0,4.0,1.0,1.0,,,,,,2.0,,,,,1.0,,,,,
