match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_dispossessed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_keyPass,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_shotOffTarget,stat_unsuccessfulTouch,captain,stat_blockedScoringAttempt,stat_hitWoodwork,stat_goalAssist,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine
10389904,home,RC Lens,Brice Samba,brice-samba,B. Samba,G,30,186,2098,M,164055,EUR,767232000,G,30,30,False,46.0,32.0,22.0,8.0,28.0,31.0,4.0,15.0,1.0,2.0,11.0,1.0,3.0,3.0,4.0,90.0,59.0,7.8,14.0,0.0,0.0,0.00205399,0,0.9866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389904,home,RC Lens,Jonathan Gradit,jonathan-gradit,J. Gradit,D,24,180,273,M,369650,EUR,722563200,D,24,24,False,68.0,57.0,10.0,6.0,40.0,44.0,17.0,24.0,1.0,9.0,6.0,2.0,,,,90.0,83.0,7.7,11.0,0.0,0.0,0.00704813,0,,2.0,3.0,1.0,1.0,4.0,5.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10389904,home,RC Lens,Kevin Danso,danso-kevin,K. Danso,D,4,190,3440,M,794953,EUR,906163200,D,4,4,False,75.0,68.0,5.0,3.0,56.0,60.0,12.0,15.0,1.0,3.0,8.0,,,,,90.0,95.0,7.9,9.0,0.0278,0.0959,0.00440737,1,,,2.0,,,5.0,2.0,1.0,,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10389904,home,RC Lens,Facundo Medina,facundo-medina,F. Medina,D,32,184,4462,M,860307,EUR,927849600,D,14,14,False,83.0,76.0,9.0,4.0,62.0,66.0,14.0,17.0,2.0,5.0,7.0,1.0,,,,90.0,92.0,7.1,8.0,0.0,0.0,0.0044284,0,,2.0,3.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
10389904,home,RC Lens,Przemysław Frankowski,przemyslaw-frankowski,P. Frankowski,D,95,176,5767,M,286909,EUR,797644800,M,29,29,False,47.0,36.0,6.0,2.0,18.0,24.0,21.0,29.0,1.0,3.0,5.0,,,,,88.0,71.0,7.2,17.0,0.0181,0.0,0.29962,1,,,3.0,2.0,,,2.0,2.0,,,,,,2.0,,,przemek.franek_,6.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,
10389904,home,RC Lens,Jean Onana,jean-onana,J. Onana,M,14,189,1410,M,978301,EUR,947289600,M,6,6,False,63.0,57.0,4.0,2.0,43.0,45.0,14.0,18.0,,3.0,10.0,1.0,,,,88.0,73.0,7.1,9.0,0.0195,0.0203,0.0142639,1,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,1.0,,,2.0,,,,,,,,,,
10389904,home,RC Lens,Seko Fofana,seko-fofana,S. Fofana,M,42,184,11416,M,191188,EUR,799804800,M,8,8,False,64.0,58.0,3.0,2.0,42.0,44.0,16.0,22.0,,3.0,8.0,1.0,,,,90.0,81.0,7.3,13.0,0.4009,0.0347,0.0232173,5,,,2.0,3.0,2.0,1.0,,,,1.0,1.0,,,2.0,,,sekofofana,2.0,,,,3.0,2.0,True,1.0,1.0,,,,,,,
10389904,home,RC Lens,Deiver Machado,deiver-machado,D. Machado,M,27,179,1117,M,822110,EUR,746928000,M,3,3,False,28.0,25.0,2.0,1.0,18.0,19.0,8.0,11.0,,5.0,10.0,2.0,,,,77.0,53.0,8.1,8.0,0.0431,0.0,0.602856,2,,2.0,3.0,2.0,2.0,1.0,1.0,,,1.0,,,1.0,4.0,,,,2.0,1.0,,2.0,2.0,1.0,,,,1.0,,,,,,
10389904,home,RC Lens,Florian Sotoca,florian-sotoca,F. Sotoca,F,7,187,757,M,788921,EUR,656812800,F,7,7,False,54.0,49.0,2.0,2.0,19.0,21.0,30.0,36.0,2.0,5.0,1.0,3.0,,,,90.0,70.0,6.8,10.0,0.1884,0.0,0.104923,3,,3.0,5.0,,,3.0,,,1.0,1.0,,,,1.0,,,,3.0,,,,2.0,1.0,,1.0,,,1.0,,,,,
10389904,home,RC Lens,Adrien Thomasson,adrien-thomasson,A. Thomasson,M,28,177,523,M,231946,EUR,755481600,F,28,28,False,35.0,31.0,4.0,3.0,14.0,14.0,17.0,21.0,1.0,2.0,1.0,,,,,77.0,44.0,7.3,9.0,0.3018,0.921,0.066162,2,,,7.0,,,1.0,1.0,1.0,4.0,1.0,1.0,,,3.0,,,,,,2.0,,1.0,3.0,,,,,,1.0,1.0,,,
10389904,home,RC Lens,Loïs Openda,lois-openda,L. Openda,F,20,177,15661,M,835480,EUR,950659200,F,11,11,False,21.0,15.0,,,5.0,5.0,10.0,16.0,2.0,8.0,3.0,3.0,,,,89.0,39.0,9.3,9.0,1.1214,1.5644,0.187114,5,,,1.0,3.0,2.0,1.0,1.0,,,,4.0,,,3.0,,,l_openda,,,,1.0,,2.0,,1.0,,1.0,1.0,2.0,,,,
